PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-26,15:05:50,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,92.58141,-2.409302,-4.90241,2270.866883,237.787577,02:00:00,4.95974,2.28084,6.09317,-19.14765,13.55568,19.74702,1.12613,-0.61915,84.15911,-6.032644,-1.359927,0.411592,-11.74516,8.04115,-1.91322,50,4.76336,10.67276,-133.97594,-6.25651,-21.23278,30.40095,-17.63736,7843453c-735a-4aef-a64a-6f559129cabb,NA,NA,NA,NA,NA,1000250471,"Pipercic, Jacob",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LON_ISL22,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,55813d70-0a75-11f0-8990-a7b2f620c16b,91.57712,NA,NA,8.42231,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:05:50,2025-03-26T19:05:50Z,2025-03-26T19:05:50Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.40656,-134.97214,15.20048,4.9589,-5.67856,-8.81868,-2.27435,11.36853,-10.61639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-26,15:06:07,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,92.55469,-3.069041,-4.427009,2265.67187,240.04991,02:00:00,4.98495,2.3772,6.08847,-20.93722,11.72442,18.4582,0.39001,-0.1879,84.44912,-6.999113,-1.111484,0.41133,-10.97666,7.26469,-2.04561,50,4.73634,9.62351,-133.98775,-7.88116,-19.87802,29.98549,-19.01817,24e09539-7a7d-4391-aebd-97fa7fb18fa4,NA,NA,NA,NA,NA,1000250471,"Pipercic, Jacob",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LON_ISL22,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,5fa33bf0-0a75-11f0-8990-a7b2f620c16b,91.63551,NA,NA,8.10557,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:06:07,2025-03-26T19:06:07Z,2025-03-26T19:06:07Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.41209,-134.97153,14.99274,4.98467,-7.2572,-9.50908,-2.37204,10.27568,-9.93901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-26,15:06:32,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Slider,NA,NA,82.06332,-0.266388,-3.711929,2793.573864,110.148291,09:45:00,4.77003,2.37615,5.61258,-37.82691,3.89256,-7.39823,1.36863,-1.7097,76.0453,-7.169347,-5.028102,0.46488,2.8378,2.36496,-2.0537,50,4.72251,8.01122,-119.0749,-1.8243,4.10515,21.24603,-28.75287,433957b9-0b6e-46a7-b37b-450f34baa674,NA,NA,NA,NA,NA,1000250471,"Pipercic, Jacob",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LON_ISL22,1,Top,0,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,6ec6a950-0a75-11f0-8990-a7b2f620c16b,81.07994,NA,NA,6.01802,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:06:32,2025-03-26T19:06:32Z,2025-03-26T19:06:32Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.88735,-119.94376,10.62302,4.77307,-0.64844,-14.37644,-2.37789,7.84334,2.05258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-26,15:06:51,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,92.77904,-0.493584,-2.669139,2275.853549,236.55983,02:00:00,4.88127,2.46673,5.89756,-21.07001,11.70615,16.00521,2.6667,1.32077,83.91301,-4.466855,0.201252,0.41205,-8.97981,6.4737,-2.26096,50,4.82957,5.55623,-134.54741,-1.86075,-16.29497,31.94239,-20.42674,91f26e66-5cb9-4a82-88c6-04f85f636f67,NA,NA,NA,NA,NA,1000250471,"Pipercic, Jacob",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,LON_ISL22,1,Top,0,3,0,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,79a34540-0a75-11f0-8990-a7b2f620c16b,91.47529,NA,NA,8.86604,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:06:51,2025-03-26T19:06:51Z,2025-03-26T19:06:51Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.59867,-135.63477,15.97119,4.88108,-1.1654,-10.21337,-2.45955,6.11093,-8.14748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-26,15:07:44,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,92.25385,-0.03221,-2.86363,2284.495136,237.031199,02:00:00,4.89524,2.4293,5.85534,-20.2493,12.80186,18.04592,3.17783,1.27031,83.75515,-3.851171,0.369067,0.413776,-10.34166,6.89992,-2.20824,50,4.88095,5.95494,-133.90332,-0.74552,-18.64312,30.83075,-19.73544,41e4b19f-c63a-4265-b391-ee6a15704822,NA,NA,NA,NA,NA,808816,"Sorensen, Noah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LON_ISL22,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,9952d7c0-0a75-11f0-8990-a7b2f620c16b,91.09392,NA,NA,8.49869,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:07:44,2025-03-26T19:07:44Z,2025-03-26T19:07:44Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.64575,-134.96875,15.41537,4.89492,-0.06352,-9.86772,-2.42516,6.5992,-9.32156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-26,15:08:07,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,91.49248,-0.712013,-4.473202,2254.346267,238.290147,02:00:00,4.85312,2.26477,5.93178,-21.21804,12.39072,18.22714,2.42232,-0.37483,83.07725,-4.70774,-1.211696,0.417251,-10.70111,6.89252,-1.91756,50,4.78417,9.58999,-132.52884,-2.34224,-18.9368,29.64926,-19.97694,b51e3751-609d-4c3f-af99-2f3ac25cec0a,NA,NA,NA,NA,NA,808816,"Sorensen, Noah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,LON_ISL22,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,a74ae480-0a75-11f0-8990-a7b2f620c16b,90.33511,NA,NA,8.41523,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:08:07,2025-03-26T19:08:07Z,2025-03-26T19:08:07Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.56682,-133.54662,14.82463,4.8528,-1.65649,-9.98847,-2.25791,10.24004,-9.4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-26,15:08:30,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,91.60275,-0.085118,-3.065751,2237.576564,240.681601,02:00:00,4.86243,2.36788,5.90215,-20.21493,13.05304,21.38383,3.09873,1.30126,83.65362,-3.890782,0.768045,0.41513,-12.07316,7.04437,-2.13465,50,4.84407,6.25385,-133.02978,-0.85921,-21.62767,28.62785,-19.55489,348dc567-370b-4647-bc6b-ce8d91bf3b12,NA,NA,NA,NA,NA,808816,"Sorensen, Noah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,LON_ISL22,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,b4c9a290-0a75-11f0-8990-a7b2f620c16b,90.79661,NA,NA,7.94913,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:08:30,2025-03-26T19:08:30Z,2025-03-26T19:08:30Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.59948,-134.01593,14.31392,4.86207,-0.1856,-9.77744,-2.3629,6.99886,-10.81384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-26,15:08:52,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Slider,NA,NA,83.59949,1.317502,-0.831564,2403.744478,167.67371,11:30:00,4.62703,2.37585,6.05156,-28.58277,10.94686,-2.13622,3.46505,1.42802,76.70732,-4.028697,-1.215965,0.452515,0.87689,5.65717,-2.31009,50,4.7141,1.84672,-121.49398,1.92243,1.31695,22.73252,-23.67775,ea304cdc-66c3-4e2f-9adc-f3e9a59610ad,NA,NA,NA,NA,NA,808816,"Sorensen, Noah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,LON_ISL22,1,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,c248fce0-0a75-11f0-8990-a7b2f620c16b,83.29547,NA,NA,6.89217,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:08:52,2025-03-26T19:08:52Z,2025-03-26T19:08:52Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.4451,-122.32287,11.36626,4.62826,2.78578,-11.83888,-2.37656,1.7987,0.65847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-26,15:09:16,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,91.99134,-1.842177,-2.708524,2268.222089,242.970763,02:00:00,4.79767,2.3762,5.98573,-22.88218,10.41756,18.11843,1.18095,1.37387,83.28309,-6.139697,0.548338,0.415329,-10.1926,6.2691,-2.17252,50,4.63959,5.53209,-133.37207,-5.05287,-18.13674,31.92993,-21.01882,1d503d9f-91f2-4d65-964a-5ce9238116ea,NA,NA,NA,NA,NA,808816,"Sorensen, Noah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,LON_ISL22,1,Top,0,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,d08e3f40-0a75-11f0-8990-a7b2f620c16b,90.75325,NA,NA,8.70825,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:09:16,2025-03-26T19:09:16Z,2025-03-26T19:09:16Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.51199,-134.44792,15.96497,4.79792,-4.34466,-10.50941,-2.36921,6.14319,-9.06837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-26,15:10:07,"Ciancimino, Joey",822873,Right,MON_HAW,Undefined,Fastball,NA,NA,91.27555,-1.771373,-3.865547,2271.832109,233.502028,01:45:00,4.80632,2.28474,5.72932,-18.87855,15.01064,18.78887,1.57915,0.24503,83.24338,-5.325835,-0.511621,0.418989,-10.65532,8.46638,-1.97386,50,4.64679,8.10973,-132.25933,-4.7128,-18.85704,28.44066,-17.1908,13e3684a-4bce-4ba7-aa21-918c2fe307fc,NA,NA,NA,NA,NA,1000121050,"Power, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LON_ISL22,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MON_HAW,LON_ISL22,MonmouthU,D1,CAA,20250326-MonmouthU-1,ee96ff90-0a75-11f0-8990-a7b2f620c16b,89.96055,NA,NA,8.03217,NA,NA,NA,4d39ae14-2291-42af-b83e-969248f4b754,2025-03-26,19:10:07,2025-03-26T19:10:07Z,2025-03-26T19:10:07Z,NA,v3,4164,longisland,26 March 2025 15:00-longisland@monmouth,"Dux, Shane",1000330772,Right,MON_HAW,54.76904,-133.2809,14.22033,4.80498,-4.09531,-8.5954,-2.27732,8.78707,-9.42852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
