PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-02,18:35:39,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.55686,-2.684849,-4.53025,2093.413195,236.090658,01:45:00,5.94355,2.29081,5.7429,-22.73226,9.83512,13.27103,1.53958,-0.83032,85.81829,-6.875655,-2.16362,0.410736,-7.82067,5.93792,-1.92134,50,5.7053,10.03974,-134.1071,-7.11985,-14.45571,24.93399,-21.19842,2089edf0-c2ee-4ef0-aa0a-14134ed8e509,NA,NA,NA,NA,NA,831194,"Lopez, Isaac",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UTR_VAQ,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,2fc079b0-101b-11f0-9bfc-0998229335fa,91.76805,NA,NA,6.73856,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:35:39,2025-04-02T23:35:39Z,2025-04-02T23:35:39Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.76019,-134.98924,12.467,5.94393,-6.36987,-10.59921,-2.28559,10.55117,-7.22785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-02,18:35:56,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.44574,-2.32117,-4.708305,2100.138537,247.887304,02:15:00,5.92093,2.40501,5.66783,-26.05564,6.60414,14.06879,1.57676,-0.82271,85.94563,-7.092129,-2.203113,0.411318,-8.25815,4.16642,-2.01544,50,5.70735,10.41937,-133.9893,-6.41508,-15.27053,24.29351,-24.46972,0c5f9d9b-01b4-460f-9b5f-9410ffc5f5aa,NA,NA,NA,NA,NA,831194,"Lopez, Isaac",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UTR_VAQ,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,3a26fb40-101b-11f0-9bfc-0998229335fa,91.63813,NA,NA,6.50011,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:35:56,2025-04-02T23:35:56Z,2025-04-02T23:35:56Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.83651,-134.86335,12.14676,5.92232,-5.53469,-12.23486,-2.4002,10.96878,-7.63527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-02,18:36:15,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.30408,-4.207819,-5.583035,2093.54843,246.132111,02:15:00,5.87179,2.39295,5.79877,-24.77001,8.31386,16.51044,-0.13203,-1.44076,85.20737,-8.758369,-2.64032,0.41398,-9.95796,5.62174,-1.94291,50,5.50857,12.32929,-133.2781,-10.72993,-18.04678,26.61608,-21.98578,808d1ddd-a233-4540-a033-2624b17daac4,NA,NA,NA,NA,NA,831194,"Lopez, Isaac",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UTR_VAQ,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,45690fc0-101b-11f0-9bfc-0998229335fa,91.0489,NA,NA,7.09671,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:36:15,2025-04-02T23:36:15Z,2025-04-02T23:36:15Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.70578,-134.21457,13.30804,5.87249,-9.95637,-10.99289,-2.38788,12.96425,-9.02339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-02,18:36:35,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,93.2775,-1.380812,-3.706916,2014.474911,247.474997,02:15:00,5.86362,2.43303,5.72656,-24.67486,7.48937,15.76284,2.51833,0.28911,85.89943,-5.938639,-0.891794,0.408186,-9.03481,4.44642,-2.13334,50,5.73274,8.0774,-135.34237,-4.1702,-16.88676,27.41531,-23.8633,8143d258-0e55-415a-a95d-41ac5e3ef9a0,NA,NA,NA,NA,-19.796739,831194,"Lopez, Isaac",1713.772227,NA,100.6189,Right,5.735763,NA,NA,NA,104.08772,101.98353,0.777381,-21.737471,1.4635,2.50441,-0.04817,NA,NA,NA,NA,NA,1,4,UTR_VAQ,1,Top,0,2,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,513589f0-101b-11f0-9bfc-0998229335fa,92.34136,4.70265,NA,7.37807,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:36:35,2025-04-02T23:36:35Z,2025-04-02T23:36:35Z,LineDrive,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.77747,-136.30667,13.70766,5.86466,-3.33084,-11.93165,-2.42789,8.67137,-8.44338,49.609075,1.5242,137.09562,-18.97884,NA,NA,NA,NA,NA,NA,2.57063,13.58683,-21.83154,NA,NA,NA,NA,NA,NA,-0.02978,-50.05812,0.62623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-04-02,18:37:15,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.859,-1.454796,-2.814861,2206.97732,228.939614,01:45:00,5.94388,2.476,5.37117,-19.25899,13.56284,14.45922,2.97299,1.03954,85.49232,-5.029782,-0.247737,0.412338,-7.95689,7.47426,-2.23392,50,5.79972,5.94923,-134.75536,-4.12303,-14.76828,26.71045,-18.30156,ada0188a-d58b-4a87-a1f3-0d2b46d1db5c,NA,NA,NA,NA,NA,831202,"Moomau, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UTR_VAQ,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,68c8d900-101b-11f0-9bfc-0998229335fa,91.4116,NA,NA,7.36668,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:37:15,2025-04-02T23:37:15Z,2025-04-02T23:37:15Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,55.13102,-135.76859,13.35522,5.94296,-3.42878,-9.15078,-2.47022,6.50945,-7.38414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-02,18:37:35,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,91.98858,-2.785949,-5.198518,2168.395998,246.301262,02:15:00,5.88625,2.35909,5.82749,-24.72619,8.40296,16.86548,1.22302,-1.08157,84.78447,-7.350869,-2.189251,0.414264,-9.9928,5.30744,-1.94344,50,5.64273,11.38762,-133.10381,-7.37486,-18.06938,26.4449,-22.57689,04bb50d7-6064-4242-a77f-172edbf6fbd4,NA,NA,NA,NA,NA,831202,"Moomau, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UTR_VAQ,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,74cb5750-101b-11f0-9bfc-0998229335fa,90.98661,NA,NA,7.20411,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:37:35,2025-04-02T23:37:35Z,2025-04-02T23:37:35Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.67641,-134.0297,13.22245,5.8871,-6.5844,-11.28844,-2.35322,12.02026,-9.03469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-02,18:37:52,"Baker, Von",831159,Right,RIC_OWL,Undefined,Cutter,NA,NA,85.4929,0.4981,-1.120579,2326.986642,134.930367,10:30:00,5.81138,2.5799,5.3749,-32.61482,5.79067,-4.77677,3.56058,1.1311,79.34791,-5.459267,-1.969587,0.446034,2.13807,3.12268,-2.47598,50,5.83281,2.63493,-124.29591,-0.10376,3.39605,21.3373,-27.21404,16625437-2df4-4ddd-a2ad-b99a67e0b54c,NA,NA,NA,NA,NA,831202,"Moomau, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,UTR_VAQ,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,7f20e8f0-101b-11f0-9bfc-0998229335fa,84.50575,NA,NA,6.14499,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:37:52,2025-04-02T23:37:52Z,2025-04-02T23:37:52Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,55.12771,-125.17306,10.66865,5.81407,1.01499,-13.60702,-2.58143,2.49532,1.69802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-02,18:38:13,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,91.96142,-3.942686,-4.613712,2055.132707,235.965618,01:45:00,5.87513,2.43281,5.88031,-21.61974,11.38784,15.42265,0.39408,-0.57615,85.08821,-7.942646,-1.855587,0.413502,-9.09548,7.11205,-2.0685,50,5.54242,10.08929,-133.06731,-9.93574,-16.4882,25.60335,-19.2814,ff3603ea-0afa-43de-a1de-bbd93f1d90ff,NA,NA,NA,NA,NA,831202,"Moomau, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,UTR_VAQ,1,Top,1,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,8bcc2a60-101b-11f0-9bfc-0998229335fa,91.15409,NA,NA,6.87321,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:38:13,2025-04-02T23:38:13Z,2025-04-02T23:38:13Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.62383,-133.95402,12.80167,5.87496,-9.26797,-9.6407,-2.42781,10.66031,-8.2441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-02,18:38:33,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.01134,-2.197365,-4.793046,2061.493064,245.680712,02:15:00,5.84453,2.60187,5.60502,-24.65738,8.65827,16.94824,1.73023,-0.47072,84.77212,-6.738696,-1.779052,0.415428,-9.93339,5.23583,-2.2024,50,5.63958,10.44135,-133.25471,-6.02789,-18.00286,26.50238,-22.68488,eabc61ec-ccee-4c44-a915-8c937d926e0c,NA,NA,NA,NA,36.433319,831202,"Moomau, Easton",NA,NA,96.85767,Left,-4.508582,NA,NA,NA,25.48721,23.08973,0.166194,34.559057,2.19181,1.90445,0.49645,NA,NA,NA,NA,NA,2,5,UTR_VAQ,1,Top,1,3,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,977a2010-101b-11f0-9bfc-0998229335fa,90.73163,1.90445,NA,7.23922,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:38:33,2025-04-02T23:38:33Z,2025-04-02T23:38:33Z,GroundBall,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.89979,-134.22567,13.25119,5.8452,-5.1968,-11.34244,-2.59701,11.10091,-9.00143,192.662113,2.19188,113.9333,-4.96563,NA,NA,NA,NA,NA,NA,1.90434,-11.15845,-1.80345,NA,NA,NA,NA,NA,NA,0.49646,84.10448,-0.59144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
10,2025-04-02,18:39:13,"Baker, Von",831159,Right,RIC_OWL,Undefined,Sinker,NA,NA,92.59617,-0.833664,-3.408121,2168.064528,234.26207,01:45:00,5.85989,2.52113,5.60431,-21.77348,10.95276,13.89261,3.26574,0.49345,85.25892,-4.872082,-0.933015,0.411736,-7.88493,6.05422,-2.2382,50,5.77428,7.37381,-134.38043,-2.74075,-14.55614,26.51014,-20.99755,492e4872-a05a-4bbb-ade7-f3121d4ed96d,NA,NA,NA,NA,NA,831193,"Raygoza, Armani",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UTR_VAQ,1,Top,2,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,UTR_VAQ,RiceUniversity,D1,AMER,20250402-RiceUniversity-1,afabd200-101b-11f0-9bfc-0998229335fa,91.54506,NA,NA,7.33725,NA,NA,NA,71b2dc5d-2c37-4071-a81f-9fb89a084608,2025-04-02,23:39:13,2025-04-02T23:39:13Z,2025-04-02T23:39:13Z,NA,v3,2352,471407,02 April 2025 19:30-utrio@rice,"West, Landon",825305,Right,RIC_OWL,54.89814,-135.34327,13.25507,5.85998,-1.97813,-10.49878,-2.51561,7.90248,-7.27807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
