PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-04,15:39:02,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,81.2275,-1.602843,-2.941027,2098.80179,233.895236,01:45:00,5.85817,2.81043,5.7716,-26.89698,16.03513,19.94304,2.12285,1.73313,73.83838,-6.644062,0.628217,0.471588,-10.97225,9.08615,-2.57907,50,5.70946,5.25008,-117.71826,-4.09652,-15.27959,23.9311,-19.52096,af10461d-1c28-44a7-8f9d-b61626afbd6c,NA,NA,NA,NA,NA,1000310020,"Garza, Albert",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,DAL_COM,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,340a1280-1195-11f0-a2f3-a3eb802c740c,79.92665,NA,NA,7.38912,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:39:02,2025-04-04T20:39:02Z,2025-04-04T20:39:02Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.72447,-118.67482,11.96555,5.85761,-3.31624,-9.76048,-2.80114,5.86083,-7.63979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-04,15:39:16,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,81.161,-2.370158,-3.50653,2056.289257,232.643001,01:45:00,5.82155,2.81701,5.95988,-28.68309,13.59965,16.08812,1.22812,0.90209,74.75106,-7.701021,-0.618445,0.468008,-9.27158,8.01855,-2.54776,50,5.61692,6.61894,-117.70596,-5.73251,-13.05662,21.55038,-20.88201,20c3ae9c-c6b6-4685-8dc8-75358eb2efbd,NA,NA,NA,NA,-12.500065,1000310020,"Garza, Albert",1208.949891,NA,85.66922,Left,2.657663,NA,NA,NA,59.2451,56.94945,0.481441,-14.611904,1.68428,1.2997,-0.91333,NA,NA,NA,NA,NA,1,2,DAL_COM,1,Top,0,1,0,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,3c7c8c40-1195-11f0-a2f3-a3eb802c740c,80.53809,1.76589,NA,6.40994,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:39:16,2025-04-04T20:39:16Z,2025-04-04T20:39:16Z,GroundBall,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.53972,-118.5342,10.77519,5.82181,-4.92995,-10.44101,-2.81179,7.12074,-6.52831,78.576302,1.69281,122.30057,-14.03253,NA,NA,NA,NA,NA,NA,1.30694,5.62545,-17.35317,NA,NA,NA,NA,NA,NA,-0.90736000000000006,-27.33248,-3.8186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-04,15:39:46,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,82.79652,-2.691769,-3.934092,2065.933381,223.795729,01:30:00,5.80646,2.92399,6.09593,-22.77793,18.08151,15.98556,1.41096,0.61174,75.40134,-7.000913,-1.060958,0.460063,-9.4576,10.55339,-2.62925,50,5.5867000000000004,7.64304,-119.89197,-6.27603,-13.6806,24.51884,-16.90834,aac2b51a-85d0-4c3a-b72a-e936a48da63f,NA,NA,NA,NA,NA,1000232652,"Rexin, Lucas",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,DAL_COM,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,4e6b2790-1195-11f0-a2f3-a3eb802c740c,81.92883,NA,NA,7.39518,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:39:46,2025-04-04T20:39:46Z,2025-04-04T20:39:46Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.40209,-120.78887,12.25942,5.80496,-5.65752,-8.45417,-2.91799,8.14347,-6.8403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-04,15:39:58,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,82.5937,-1.723121,-2.95875,2098.597241,215.693175,01:15:00,5.76844,3.01276,5.88926,-25.05281,16.10895,10.5926,2.07816,1.14581,75.41434,-6.423345,-1.059995,0.461762,-6.30929,9.15823,-2.78044,50,5.61505,5.78275,-119.77252,-4.34606,-9.13292,23.89118,-18.91722,9cc8eaaf-fab4-4c99-bbbe-d38ae322d23c,NA,NA,NA,NA,NA,1000232652,"Rexin, Lucas",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,DAL_COM,1,Top,1,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,55dc0fd0-1195-11f0-a2f3-a3eb802c740c,81.6274,NA,NA,7.17936,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:39:58,2025-04-04T20:39:58Z,2025-04-04T20:39:58Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.60848,-120.68828,11.94559,5.76774,-3.62096,-9.45861,-3.0088,6.13282,-4.56646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-04,15:40:16,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,76.15573,-0.109833,-4.441496,1649.818638,238.974569,02:00:00,5.49541,3.07776,6.26517,-35.1684,13.91709,19.7658,2.46315,0.62185,67.7555,-6.787157,-0.880499,0.504252,-11.86721,7.81981,-2.75756,50,5.4705,7.84978,-110.08741,-1.1277,-14.11503,25.14693,-22.87305,991967b0-e99e-4939-a22a-2f275925c6b2,NA,NA,NA,NA,-19.038911,1000232652,"Rexin, Lucas",4384.933583,NA,93.27201,Right,22.270479,102.79506,34.4453,-39.15581,301.69144,299.87658,3.111665,-23.442348,1.837,2.53185,-0.63749,NA,NA,NA,NA,NA,2,3,DAL_COM,1,Top,1,0,2,Changeup,InPlay,Undefined,LineDrive,Out,1,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,604354b0-1195-11f0-a2f3-a3eb802c740c,74.74915,38.80281,NA,8.40023,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:40:16,2025-04-04T20:40:16Z,2025-04-04T20:40:16Z,LineDrive,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.22892,-111.04921,12.57347,5.4969,-0.25288,-11.43653,-3.06811,8.38964,-7.05752,114.763092,1.83683,119.67488,-16.28453,3.53154,-0.8412,0.20005,-0.04305,0.0054,-2.1e-4,2.5319,51.8421,-20.56132,1.77991,-0.31056,0.05386,-0.01136,0.00305,-3.7e-4,-0.63743,-41.2986,0.07952,0.68654,-0.22678,0.04207,-0.00429,3.6e-4,-5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-04-04,15:40:43,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,77.66819,-2.5518,-4.945236,1532.09195,254.983074,02:30:00,5.36406,3.01871,6.39209,-39.76841,5.99307,16.83721,-0.30727,-0.13782,71.58341,-9.912418,-1.901622,0.486879,-10.31209,4.22807,-2.6707,50,5.1615,9.18256,-112.47953,-6.12485,-13.19301,20.66009,-26.76479,e33612f5-7746-4681-b577-c2f7a850ddbf,NA,NA,NA,NA,NA,1000245925,"McCown, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,DAL_COM,1,Top,2,0,0,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,7078a740-1195-11f0-a2f3-a3eb802c740c,77.4164,NA,NA,6.08477,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:40:43,2025-04-04T20:40:43Z,2025-04-04T20:40:43Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.10866,-113.23169,10.33004,5.36674,-5.15045,-13.3824,-3.01375,9.66286,-6.5965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-04,15:40:56,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,82.58657,-1.556061,-3.270595,2111.594904,235.308054,01:45:00,5.8495,3.07214,5.80522,-27.58431,13.74879,17.86816,2.101,1.51627,75.36274,-6.704327,-0.07213,0.462722,-10.04268,7.87685,-2.81422,50,5.70528,6.12987,-119.72048,-4.10458,-14.52262,23.89745,-20.78339,cfa4d69d-c4c3-4fda-9fb5-ae44a1630db6,NA,NA,NA,NA,NA,1000245925,"McCown, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,DAL_COM,1,Top,2,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,78629010-1195-11f0-a2f3-a3eb802c740c,81.45801,NA,NA,7.22383,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:40:56,2025-04-04T20:40:56Z,2025-04-04T20:40:56Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.69211,-120.65344,11.94873,5.84968,-3.2932,-10.39169,-3.0646,6.69683,-7.26131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-04,15:41:12,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,83.32658,-2.134572,-4.066702,2108.850691,236.288621,02:00:00,5.77973,2.91505,6.09243,-27.64813,12.92201,17.17615,1.49542,0.57851,75.49229,-7.328138,-0.978844,0.458432,-10.16127,7.76008,-2.61032,50,5.60035,7.91541,-120.61895,-5.31966,-14.7823,26.20541,-20.88492,c038f47f-935e-4387-81e7-39aad9bb444f,NA,NA,NA,NA,NA,1000245925,"McCown, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,DAL_COM,1,Top,2,2,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,81c81c60-1195-11f0-a2f3-a3eb802c740c,82.22042,NA,NA,7.83429,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:41:12,2025-04-04T20:41:12Z,2025-04-04T20:41:12Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.4048,-121.57216,13.10271,5.78003,-4.55998,-10.44246,-2.90802,8.45311,-7.39115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-04,15:41:25,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,75.45804,0.384816,-2.96636,1963.357465,141.299981,10:45:00,5.38806,3.13825,5.72477,-44.5766,5.71918,-3.11693,2.03225,0.11323,68.27285,-7.854371,-3.523142,0.510431,0.60595,3.29681,-2.88855,50,5.39301,5.77686,-109.27783,-0.60958,0.71937,22.52806,-28.26009,bf0cd281-8d7b-4a2a-99dc-48342b7f7c5f,NA,NA,NA,NA,NA,1000245925,"McCown, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,DAL_COM,1,Top,2,2,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,898ca2e0-1195-11f0-a2f3-a3eb802c740c,73.84433,NA,NA,7.18519,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:41:25,2025-04-04T20:41:25Z,2025-04-04T20:41:25Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.77091,-110.25698,11.26403,5.39281,0.61871,-14.13004,-3.13895,5.74559,0.35969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-04,15:41:37,"Bogusz, Tyler",1000050252,Right,EAS_TEX,Undefined,Undefined,NA,NA,82.40898,-0.9157,-3.123992,2120.086078,223.708288,01:30:00,5.76678,2.66602,6.19817,-24.33568,16.99836,14.79812,2.89217,1.01252,74.26017,-5.555228,-0.456623,0.462728,-8.69949,9.53776,-2.43827,50,5.68568,5.96145,-119.44419,-2.56666,-12.36182,26.52651,-18.62106,f9d0f4b0-ee5b-4818-9321-4a0485daf80d,NA,NA,NA,NA,NA,1000245925,"McCown, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,DAL_COM,1,Top,2,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,DAL_COM,TIGERBALLPARK,D3,Team,20250404-TIGERBALLPARK-2,90c208c0-1195-11f0-a2f3-a3eb802c740c,81.45709,NA,NA,8.1488,NA,NA,NA,ecaa5464-df76-4fc7-9a8f-1ab166eeb72a,2025-04-04,20:41:37,2025-04-04T20:41:37Z,2025-04-04T20:41:37Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.29807,-120.39494,13.26325,5.76571,-1.89926,-9.31053,-2.65987,6.40451,-6.18091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
