PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-06,14:07:29,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,89.09651,-2.563039,3.566303,2225.655858,154.844951,11:15:00,6.40216,-2.29588,6.13471,-19.13784,15.58158,-6.83622,2.43222,0.43492,82.21836,-6.161334,2.3369780000000002,0.42409,4.43063,9.02355,2.02676,50,6.19591,-7.77817,-129.23696,-6.36449,7.56223,24.61697,-16.77263,8f124a90-fd57-4d4c-8086-6f5715141267,NA,NA,NA,NA,NA,1000136863,"Corbin, Caleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_RED,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,62f20130-131a-11f0-b8df-65435760e513,88.87849,NA,NA,6.87815,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:07:29,2025-04-06T19:07:29Z,2025-04-06T19:07:29Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.36593,-130.06592,12.30848,6.40072,-5.79968,-8.38631,2.29297,-8.03283,3.78112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-06,14:07:42,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,88.68813,-2.128293,2.237977,2272.722155,163.321089,11:30:00,6.37228,-2.28706,5.9535,-18.96741,16.01131,-4.50973,2.8154,-0.58624,82.30735,-5.677967,1.428301,0.42567,2.8591,9.04886,2.11166,50,6.19213,-4.85592,-128.89129,-5.3797,4.8824,22.99497,-16.72161,b848e315-8f99-436c-bf41-0bbf5985f965,NA,NA,NA,NA,42.592641,1000136863,"Corbin, Caleb",4553.705479,NA,81.79188,Right,66.729179,NA,NA,NA,NA,41.89371,NA,NA,1.3565,2.3667,0.00107,NA,NA,NA,NA,NA,1,2,SOU_RED,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,6abbdee0-131a-11f0-b8df-65435760e513,88.54844,95.73064,NA,6.38079,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:07:42,2025-04-06T19:07:42Z,2025-04-06T19:07:42Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.54869,-129.70026,11.49749,6.37104,-4.79143,-8.36081,2.28552,-5.02768,2.4412,NA,1.35652,34.88741,-16.39478,4.88412,0.07184,-1.39216,1.04092,-0.36414,0.04958,2.36669,110.203,-27.91985,3.3433,-0.94768,0.64035,-0.42002,0.15702,-0.02449,0.00107,32.07566,-3.39452,0.52706,-0.15824,0.16602,-0.1205,0.04599,-0.00718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
3,2025-04-06,14:08:13,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,81.30728,-0.941218,1.730805,2114.001538,229.763316,01:45:00,6.34454,-2.19429,5.73341,-35.06014,7.10087,6.97079,2.54585,-0.00105,75.35846,-7.375762,2.978424,0.467333,-3.13843,4.2117000000000004,2.04555,50,6.24428,-3.83572,-118.16789,-3.07579,-4.47429,20.77469,-26.16965,1ea14a83-d7ba-43e6-8217-008e8b4adcd2,NA,NA,NA,NA,-6.751369,1000136863,"Corbin, Caleb",3974.776311,NA,93.8488,Right,46.195881,109.84345,113.40991,-5.86651,245.72971,126.91149,5.935079,0.588885,1.1457,0.96054,-0.55129,NA,NA,NA,NA,NA,1,3,SOU_RED,1,Top,0,0,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,7d930570-131a-11f0-b8df-65435760e513,80.65428,130.88709,NA,5.94882,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:08:13,2025-04-06T19:08:13Z,2025-04-06T19:08:13Z,FlyBall,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.7686,-119.00328,10.38735,6.34681,-2.02345,-13.08482,2.19618,-3.6558,-2.23715,NA,1.15265,94.48159,-28.44774,7.9412,-1.53303,0.18842,-0.01215,2.9e-4,-0,0.9597,99.34665,-21.61036,0.57621,0.50953,-0.24978,0.05932,-0.00718,3.4e-4,-0.55288,-11.16577,7.94066,-2.73216,0.62818,-0.09299,0.00723,-1.4e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
4,2025-04-06,14:08:49,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,89.03777,-1.182581,2.105802,2071.031794,170.644853,11:45:00,6.34285,-2.24713,5.97452,-22.8997,11.60957,-1.76606,3.33731,-0.4412,82.95918,-5.432039,1.788549,0.422804,1.37823,6.52768,2.0814,50,6.23626,-4.69009,-129.51131,-3.42412,2.38655,22.09826,-20.87063,a78de069-7cab-4988-8a26-44bacb15dc62,NA,NA,NA,NA,NA,62716,"Kettering, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_RED,1,Top,1,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,930a5250-131a-11f0-b8df-65435760e513,89.14866,NA,NA,6.07859,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:08:49,2025-04-06T19:08:49Z,2025-04-06T19:08:49Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.5272,-130.28149,11.04913,6.34292,-2.69673,-10.43532,2.24631,-4.77326,1.19328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-06,14:09:05,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,90.17153,-2.324306,3.013934,2178.019407,135.691958,10:30:00,6.34619,-2.08484,5.96173,-20.82588,13.04217,-11.81949,2.45123,-0.27242,83.68757,-6.201242,0.892238,0.418858,6.80843,7.55052,1.85218,50,6.1496,-6.41008,-130.96493,-5.99903,12.00558,23.69816,-18.85994,1769811b-b385-44cc-9b5d-bbc4d0dc6ef1,NA,NA,NA,NA,-60.051967,62716,"Kettering, Brooks",5052.996902,NA,84.52091,Left,22.74192,44.70606,38.65219,-100.50527,243.83705,109.44431,3.523258,-75.532675,-0.11906,2.33821,0.41147,NA,NA,NA,NA,NA,2,2,SOU_RED,1,Top,1,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,9c9e8fc0-131a-11f0-b8df-65435760e513,89.98867,41.76787,NA,6.48396,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:09:05,2025-04-06T19:09:05Z,2025-04-06T19:09:05Z,LineDrive,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.5408,-131.78403,11.84908,6.34569,-5.34716,-9.42997,2.08091,-6.82504,6.00279,NA,-0.11889,57.06956,-21.54982,5.35931,-1.31401,0.33559,-0.07418,0.01052,-6.6e-4,2.33802,47.92468,-15.48497,0.53526,0.15144,-0.15578,0.05779,-0.01017,7.1e-4,0.41143,-99.0598,16.3914,-3.65562,0.76829,-0.15068,0.02475,-0.00272,1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-04-06,14:09:29,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,89.87621,-0.832356,1.390631,2256.302915,179.02142,12:00:00,6.28283,-2.06354,5.93929,-23.04974,11.04272,-0.17256,3.58957,-0.7876,83.20616,-5.120496,1.359636,0.420243,0.42307,6.17256,1.95272,50,6.20331,-3.16547,-130.69591,-2.6647,0.74133,24.16894,-21.35789,1e10b20b-7c78-4753-81e3-e6f0d2831d93,NA,NA,NA,NA,NA,62716,"Kettering, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SOU_RED,1,Top,1,0,2,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,aab59630-131a-11f0-b8df-65435760e513,89.69199,NA,NA,6.67005,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:09:29,2025-04-06T19:09:29Z,2025-04-06T19:09:29Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.56103,-131.53665,12.08447,6.28308,-1.92175,-10.67895,2.06328,-3.19126,0.37067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-06,14:09:46,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,91.22846,-1.422544,1.887557,2301.158142,154.380065,11:15:00,6.33301,-2.18804,5.95969,-19.1019,13.85914,-6.22429,3.42103,-0.95572,84.72039,-4.992011,0.76945,0.413211,3.62351,7.73036,2.04156,50,6.20911,-4.10829,-132.66687,-3.91238,6.56923,23.79598,-18.15922,c0f63ed9-f0e5-4603-a2f0-00932205b089,NA,NA,NA,NA,NA,62716,"Kettering, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SOU_RED,1,Top,1,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,b4da05b0-131a-11f0-b8df-65435760e513,91.21839,NA,NA,6.50807,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:09:46,2025-04-06T19:09:46Z,2025-04-06T19:09:46Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.54146,-133.47897,11.89799,6.33205,-3.29265,-9.07961,2.18559,-4.33249,3.28462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-06,14:10:09,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,80.80387,-2.507543,3.438533,2196.899224,229.746978,01:45:00,6.33193,-2.3172,6.0075,-35.51522,6.43162,6.36457,1.04344,1.40278,76.02841,-8.980314,4.581262,0.466145,-2.55091,4.19012,2.0432,50,6.11461,-7.27832,-117.36434,-6.24601,-3.63025,17.98534,-26.21104,7c8f465c-197e-4e30-8d2a-cb528266eb04,NA,NA,NA,NA,NA,62716,"Kettering, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,SOU_RED,1,Top,1,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,c25a2350-131a-11f0-b8df-65435760e513,80.85991,NA,NA,4.77546,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:10:09,2025-04-06T19:10:09Z,2025-04-06T19:10:09Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.49594,-118.0513,8.99267,6.33406,-5.24486,-13.10552,2.31855,-7.13966,-1.81512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-06,14:10:26,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,89.72228,-2.288629,2.150183,2310.186175,167.509326,11:30:00,6.36518,-2.22773,6.10345,-19.32804,14.42686,-3.00768,2.63533,-0.48891,83.867,-5.891464,1.608567,0.418158,2.02528,8.24174,2.06395,50,6.17861,-4.78058,-130.4982,-5.82079,3.57101,21.67105,-17.64207,77ac0f32-1447-4375-b373-4ffe4297874f,NA,NA,NA,NA,-10.245959,62716,"Kettering, Brooks",NA,NA,82.11532,Left,-19.892359,NA,NA,NA,6.89547,6.62653,0.060323,-6.242845,0.11505,2.47818,0.46838,NA,NA,NA,NA,NA,2,6,SOU_RED,1,Top,1,3,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,cc8a2b90-131a-11f0-b8df-65435760e513,90.13932,2.47818,NA,5.85528,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:10:26,2025-04-06T19:10:26Z,2025-04-06T19:10:26Z,GroundBall,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.39931,-131.22673,10.83552,6.36432,-5.2277,-8.82103,2.22668,-4.90063,1.7855,180,0.11232,111.72493,NA,NA,NA,NA,NA,NA,NA,2.47918,-41.08213,NA,NA,NA,NA,NA,NA,NA,0.46887,-20.19502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-04-06,14:11:03,"Helsel, Garrett",811679,Left,SOU_COU,Undefined,Undefined,NA,NA,87.00635,-3.916615,3.503435,1817.484684,134.624519,10:30:00,6.36971,-2.14392,6.10331,-23.39486,12.98761,-12.10772,0.78554,0.09119,80.84861,-8.253015,1.32442,0.434128,7.1641,7.98914,1.88081,50,6.05507,-7.26041,-126.13113,-9.3737,11.69234,22.50388,-19.13518,cae9a907-7862-4cce-88cf-9946affe322b,NA,NA,NA,NA,NA,1000098566,"Mugan, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SOU_RED,1,Top,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_COU,SOU_RED,RoyELeeField,D1,OVC,20250406-RoyELeeField-1,e28cc880-131a-11f0-b8df-65435760e513,86.82341,NA,NA,6.15774,NA,NA,NA,2da70f36-133b-4210-998c-26fe413f97bf,2025-04-06,19:11:03,2025-04-06T19:11:03Z,2025-04-06T19:11:03Z,NA,v3,471448,471444,06 April 2025 14:00-semost@silledward,"Stallcup, John",1000100095,Right,SOU_COU,54.3998,-126.9137,11.25194,6.36947,-8.70828,-9.56759,2.14036,-7.66701,5.84617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
