PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-10,14:02:12,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,93.05449,-3.845277,-2.013884,2375.62866,196.115737,12:30:00,6.45146,0.46682,5.54964,-13.3204,19.91025,5.40284,1.74025,-0.96576,84.08794,-6.402194,-1.051178,0.414897,-3.34169,11.58623,-0.29596,50,6.10928,4.47728,-134.55569,-9.42984,-6.0539,32.42566,-11.18427,942e9215-269f-4c07-8849-d3ba361dea17,NA,NA,NA,NA,NA,1000099295,"Susidko, Dmitri",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAD_GAU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,166b17b0-164f-11f0-a306-0d87d9cdc84a,90.84762,NA,NA,8.96655,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:02:12,2025-04-10T21:02:12Z,2025-04-10T21:02:12Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.95036,-135.74341,16.21283,6.44719,-9.02017,-5.59214,-0.46402,4.69903,-3.02695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-10,14:02:31,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,93.72928,-4.18819,-1.702987,2360.400616,206.94054,01:00:00,6.3834,0.92972,5.5125,-13.81103,18.99599,9.04693,1.30703,0.09056,84.74798,-6.8242,-0.091152,0.412244,-5.10524,11.25079,-0.78741,50,6.0084,3.6072,-135.52314,-10.34795,-9.37872,32.99556,-11.50549,0471fef9-b306-4694-9313-0906100c6b51,NA,NA,NA,NA,NA,1000099295,"Susidko, Dmitri",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SAD_GAU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,21a60040-164f-11f0-a306-0d87d9cdc84a,91.43225,NA,NA,8.9813,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:02:31,2025-04-10T21:02:31Z,2025-04-10T21:02:31Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.98917,-136.73245,16.49778,6.37993,-9.92627,-5.75274,-0.92592,3.95094,-4.68936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-10,14:02:50,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,93.18831,-3.045996,-1.980671,2448.266409,190.005438,12:15:00,6.45446,0.74242,5.57666,-12.8102,20.15411,3.35004,2.5374,-0.82922,84.36036,-5.51349,-1.383528,0.413231,-2.28768,11.43485,-0.57398,50,6.18361,4.5082,-134.90483,-7.54109,-4.17665,31.8974,-11.29716,13c3c58f-c772-4c52-86b9-24b3004d69a4,NA,NA,NA,NA,NA,1000099295,"Susidko, Dmitri",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SAD_GAU,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,2d4e50a0-164f-11f0-a306-0d87d9cdc84a,91.21386,NA,NA,8.82796,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:02:50,2025-04-10T21:02:50Z,2025-04-10T21:02:50Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.92357,-136.064,15.9487,6.45019,-7.13055,-5.64858,-0.74056,4.65998,-2.08833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-10,14:03:10,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,92.95189,-2.589113,-0.608619,2435.08636,206.532317,01:00:00,6.48093,0.57869,5.40534,-14.31639,19.35525,9.01327,2.85997,0.75947,83.22506,-5.343591,0.994566,0.417641,-4.69567,10.93631,-0.53085,50,6.24058,0.99232,-134.47367,-6.50506,-8.41816,34.85703,-12.56804,7bc091d1-37bd-4bb4-9ee6-3cd3fb2a8bd1,NA,NA,NA,NA,NA,1000099295,"Susidko, Dmitri",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SAD_GAU,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,39642fe0-164f-11f0-a306-0d87d9cdc84a,90.25072,NA,NA,9.72683,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:03:10,2025-04-10T21:03:10Z,2025-04-10T21:03:10Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,55.09297,-135.7874,17.42852,6.47682,-6.03138,-6.28402,-0.57423,1.30959,-4.20908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-10,14:03:30,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,92.8833,-5.046277,-3.189931,2427.256812,202.539182,12:45:00,6.32092,0.61747,5.66859,-12.1119,21.09899,8.26556,0.58662,-1.67129,84.31865,-7.379083,-1.71614,0.414774,-5.13209,12.54839,-0.35285,50,5.88522,7.0939,-134.07588,-12.17965,-9.27476,30.9334,-9.49646,30fec1e3-6a1e-4593-95d6-da6622f63107,NA,NA,NA,NA,NA,1000099295,"Susidko, Dmitri",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SAD_GAU,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,454b5e00-164f-11f0-a306-0d87d9cdc84a,90.8746,NA,NA,8.56465,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:03:30,2025-04-10T21:03:30Z,2025-04-10T21:03:30Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.83282,-135.18629,15.4667,6.31631,-11.83876,-4.74823,-0.61347,7.42683,-4.63738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-10,14:04:05,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Curveball,NA,NA,83.75776,-0.735911,-3.285961,2623.685971,349.615981,05:45:00,6.45077,0.87182,4.72189,-48.19396,-6.33095,1.40563,1.73506,-2.13279,76.92612,-9.353036,-3.03909,0.465679,-1.64595,-2.55898,-0.54077,50,6.33279,6.90133,-121.29454,-3.48915,-2.44245,24.59913,-35.97131,90d4e482-0678-456c-85a3-2ba3afeb1495,NA,NA,NA,NA,NA,1000394061,"Derflinger, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAD_GAU,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,5a1b4750-164f-11f0-a306-0d87d9cdc84a,80.94081,NA,NA,6.83164,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:04:05,2025-04-10T21:04:05Z,2025-04-10T21:04:05Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,55.78346,-122.46184,12.29957,6.45786,-1.78221,-17.98565,-0.87101,7.01723,-1.22122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-10,14:04:25,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,91.3536,-1.385534,-3.229751,2422.188218,180.667699,12:00:00,6.44184,0.95109,5.33206,-19.628,14.82402,0.15941,3.50376,-2.06942,83.12242,-5.048901,-3.201518,0.422453,-1.01717,8.16615,-0.65895,50,6.30261,7.45708,-132.28111,-3.88913,-1.79479,29.31899,-17.76509,acff1530-bddd-4c90-a632-be45ef73f878,NA,NA,NA,NA,NA,1000394061,"Derflinger, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAD_GAU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,65a428d0-164f-11f0-a306-0d87d9cdc84a,89.22272,NA,NA,8.23118,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:04:25,2025-04-10T21:04:25Z,2025-04-10T21:04:25Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,55.16877,-133.42181,14.6595,6.44048,-3.19796,-8.88255,-0.95044,7.52691,-0.8974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-10,14:04:50,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,91.93233,-2.316879,-2.201215,2301.087155,193.873072,12:30:00,6.31516,0.97216,5.60326,-15.96631,17.56261,4.06807,2.81882,-0.7449,83.92014,-5.336231,-1.475779,0.416755,-2.70063,9.90327,-0.78629,50,6.10641,4.94435,-133.31093,-5.90711,-4.85157,29.12101,-14.38316,4ef52235-1af1-4ca9-bcad-888ace13a99b,NA,NA,NA,NA,164.340294,1000394061,"Derflinger, James",3088.515706,NA,74.22921,Right,19.231291,-107.96567,15.50976,21.0574,158.81884,56.26038,1.912983,171.887205,1.40497,2.76318,0.7346,NA,NA,NA,NA,NA,2,3,SAD_GAU,1,Top,0,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,74e55760-164f-11f0-a306-0d87d9cdc84a,90.44258,17.75599,NA,8.01219,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:04:50,2025-04-10T21:04:50Z,2025-04-10T21:04:50Z,LineDrive,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.90048,-134.37715,14.56051,6.31305,-5.38049,-7.19158,-0.97057,5.12199,-2.42578,297.919458,1.40503,-98.98282,8.42486,-0.22716,0.39113,-0.39931,0.23087,-0.06228,0.00552,2.76318,35.85959,-23.47412,2.76895,-0.60479,0.2509,-0.12455,0.04467,-0.007,0.73456,27.75008,-10.59532,1.63301,-0.70179,0.51495,-0.28884,0.08574,-0.0097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-10,14:05:47,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,92.80984,-5.389231,-2.538402,2340.359262,203.352923,12:45:00,6.34949,0.79026,5.50373,-18.06009,15.56269,6.18941,-0.21615,-1.06977,84.14714,-8.756988,-1.436095,0.417338,-3.97524,9.94835,-0.57275,50,5.86491,5.6612,-133.91888,-13.25884,-7.12426,32.46917,-14.34504,28633633-69c0-4796-aa56-a666432cc724,NA,NA,NA,NA,NA,1000394061,"Derflinger, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SAD_GAU,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,967c2070-164f-11f0-a306-0d87d9cdc84a,90.31629,NA,NA,8.6627,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:05:47,2025-04-10T21:05:47Z,2025-04-10T21:05:47Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,55.00006,-135.12573,16.23458,6.34782,-12.72565,-7.17252,-0.78809,5.926,-3.56213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-10,14:06:16,"Ladjevic, David",10114360,Right,Gol_W,Undefined,Fastball,NA,NA,92.89915,-4.792846,-2.618589,2427.399655,202.198191,12:45:00,6.25433,0.78845,5.87814,-12.29453,20.6884,7.9526,0.7631,-0.98268,84.09417,-7.172779,-1.193736,0.413348,-4.92236,12.473,-0.58136,50,5.85867,5.79568,-134.25415,-11.59386,-8.878,32.2655,-9.67764,a694477e-d658-4a8d-9449-3d04830e6554,NA,NA,NA,NA,NA,1000394061,"Derflinger, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,SAD_GAU,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,Gol_W,SAD_GAU,GoldenWestCollege,JUCO,NJCAA,20250410-GoldenWestCollege-1,a81a78e0-164f-11f0-a306-0d87d9cdc84a,91.1881,NA,NA,8.80497,NA,NA,NA,0e76a0c3-93e8-4764-965d-9e947fdab0d1,2025-04-10,21:06:16,2025-04-10T21:06:16Z,2025-04-10T21:06:16Z,NA,v3,NA,NA,NA,"Meyers, Roman",1000134917,Right,Gol_W,54.62506,-135.36114,16.13275,6.25075,-11.26184,-4.83882,-0.78543,6.10028,-4.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
