PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-11,19:06:33,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,96.09353,-3.491786,-1.732996,2251.915271,210.262494,01:00:00,5.72628,0.77235,6.34713,-13.71513,15.98918,8.793,1.36355,-0.09069,88.24019,-6.111823,-0.141472,0.392266,-5.05575,9.5589,-0.65047,50,5.46567,3.84912,-139.47428,-8.90159,-9.99424,30.32826,-13.27789,d9a3b764-0c9d-4d0d-88e7-1cdc0cc3316a,NA,NA,NA,NA,NA,815558,"Thompson, Brock",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OKL_COW,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,600d45f0-173a-11f0-847c-7fa886e01cfa,96.08891,NA,NA,7.85333,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:06:33,2025-04-12T01:06:33Z,2025-04-12T01:06:33Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.15296,-140.37442,15.16413,5.72402,-8.5075,-6.63895,-0.76911,4.14575,-4.99712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-11,19:06:49,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,95.82861,-3.074338,-1.160463,2128.476821,213.254444,01:00:00,5.78606,0.74047,6.375,-14.00717,15.98997,9.83941,1.78692,0.49258,87.42491,-5.763592,0.622037,0.394195,-5.49193,9.54064,-0.66121,50,5.55745,2.40604,-139.10902,-7.86269,-10.71941,32.3477,-13.55227,67dfc631-2c64-441d-96e3-2714b4efab3e,NA,NA,NA,NA,16.706597,815558,"Thompson, Brock",NA,NA,63.02166,Left,-47.56901,NA,NA,NA,2.5204,2.5204,0.025483,-0.884671,0.99311,1.74407,-0.49722,NA,NA,NA,NA,NA,1,2,OKL_COW,1,Top,0,0,1,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,69a94b90-173a-11f0-847c-7fa886e01cfa,95.6187,1.74407,NA,8.40371,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:06:49,2025-04-12T01:06:49Z,2025-04-12T01:06:49Z,GroundBall,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.1248,-140.06489,16.17385,5.78387,-7.46222,-6.77614,-0.73699,2.7228,-5.3597,NA,0.99233,59.92139,NA,NA,NA,NA,NA,NA,NA,1.74496,-68.43995,NA,NA,NA,NA,NA,NA,NA,-0.49746,17.9848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-04-11,19:07:34,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,94.26532,-2.210242,-1.533702,2209.489808,199.125342,12:45:00,5.73663,1.13781,6.05829,-13.95556,17.21965,5.63579,2.52615,0.18755,86.37986,-4.877457,-0.519346,0.401861,-3.33205,9.78378,-1.02174,50,5.55735,3.42352,-136.90731,-5.69189,-6.34002,29.51532,-13.55797,7ead2826-f850-45a0-9152-2fdd1172e82c,NA,NA,NA,NA,-153.808005,829670,"Smith, Brayden",3311.571208,NA,74.58629,Left,31.37483,NA,NA,NA,NA,48.32046,NA,NA,2.34565,2.32942,-0.33258,NA,NA,NA,NA,NA,2,1,OKL_COW,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,848e0f90-173a-11f0-847c-7fa886e01cfa,93.79467,25.83699,NA,7.88546,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:07:34,2025-04-12T01:07:34Z,2025-04-12T01:07:34Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.44158,-137.86153,14.75766,5.73428,-5.25357,-6.77898,-1.13573,3.62849,-3.17001,NA,2.34565,-83.80749,5.18676,-0.1761,-0.0266,0.02873,-0.01057,0.00587,-0.00205,2.32942,56.9538,-28.94423,3.78987,-0.85724,0.18384,-0.0366,0.00487,4.8e-4,-0.33258,-41.22386,7.18667,-1.31394,0.28064,-0.05511,0.01247,-0.0026,3.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-04-11,19:08:00,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Curveball,NA,NA,80.51334,-0.066136,-0.935996,2455.474436,23.226536,06:45:00,5.76641,1.08078,5.594,-54.98952,-11.05926,-5.37032,1.12219,-0.24075,73.75547,-10.060868,-1.897854,0.477038,2.43992,-5.19111,-0.99691,50,5.72479,2.12086,-116.90638,-2.04748,3.33926,24.32118,-39.27853,018998b0-a255-41e1-863b-29cfd1d42c49,NA,NA,NA,NA,NA,829670,"Smith, Brayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OKL_COW,1,Top,0,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,93f98270-173a-11f0-847c-7fa886e01cfa,79.01346,NA,NA,6.75787,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:08:00,2025-04-12T01:08:00Z,2025-04-12T01:08:00Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.90792,-117.923,12.16059,5.77606,-0.40564,-19.63926,-1.08265,1.98128,1.66963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-11,19:08:22,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Curveball,NA,NA,79.77581,1.53604,0.275037,2328.014182,34.241135,07:15:00,5.79763,0.8909,5.60024,-54.2116,-9.90772,-7.66052,2.71438,0.50929,73.42648,-8.337837,-1.095072,0.479062,3.94945,-5.00937,-0.90942,50,5.89399,-0.25533,-115.92371,1.23134,5.37378,21.6881,-38.99001,09c3fdf5-f672-4a9e-8547-269c46cd90d1,NA,NA,NA,NA,NA,829670,"Smith, Brayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,OKL_COW,1,Top,0,0,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,a14fa9e0-173a-11f0-847c-7fa886e01cfa,78.67959,NA,NA,6.34933,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:08:22,2025-04-12T01:08:22Z,2025-04-12T01:08:22Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.9023,-116.83728,10.84405,5.80753,2.87371,-19.49501,-0.89389,-0.48169,2.68689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-11,19:09:19,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Curveball,NA,NA,78.57376,1.246271,-0.362984,2412.331722,26.010325,06:45:00,5.79993,0.9839,5.4955,-60.47165,-14.16363,-7.6613,1.92661,0.00592,71.85864,-9.736325,-1.732016,0.489778,3.74847,-7.0602,-0.94685,50,5.86803,1.02423,-114.07778,0.37508,4.88406,23.19035,-41.37313,8aa978ac-fcd7-476d-8757-7069a12de968,NA,NA,NA,NA,NA,702278,"Schubart, Nolan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OKL_COW,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,c3841280-173a-11f0-847c-7fa886e01cfa,76.95817,NA,NA,6.71513,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:09:19,2025-04-12T01:09:19Z,2025-04-12T01:09:19Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,55.00714,-115.09116,11.59518,5.81213,2.18302,-20.68657,-0.98695,0.8108,2.44203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-11,19:09:40,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Curveball,NA,NA,79.08003,1.991388,-0.920245,2479.089104,16.859064,06:30:00,5.84886,0.92297,5.70666,-56.51523,-11.69934,-3.9463,2.99567,-0.26337,72.95967,-8.309628,-1.627095,0.481823,1.7585,-6.08784,-0.84337,50,5.98045,1.99666,-114.93462,2.08641,2.35788,20.82388,-40.33696,edb62e59-d13a-4015-b969-ddae6d8f96b5,NA,NA,NA,NA,NA,702278,"Schubart, Nolan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,OKL_COW,1,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,cfc21330-173a-11f0-847c-7fa886e01cfa,78.22883,NA,NA,6.12036,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:09:40,2025-04-12T01:09:40Z,2025-04-12T01:09:40Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.79685,-115.80045,10.41194,5.85883,3.76358,-20.16848,-0.92435,1.89863,1.17894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.27846,1.854875,0.633293,1.221582,-0.43573,2.71872,0.31639,0.47091,6.07041,-0.49073,127.27755,-1.03205,3.0583,0.61517,117.26753,-11.25367,6.07827,7.56183,-10.96651,-0.52529,0.60973,1.93421,High,High,High,NA,NA,High,Medium,Medium
8,2025-04-11,19:10:10,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,94.95615,-2.600595,-1.838448,2210.089247,207.894397,01:00:00,5.73908,1.06322,6.21521,-15.00024,15.53985,7.72741,2.08623,0.00998,87.12755,-5.455687,-0.4435,0.397747,-4.52504,9.06323,-0.92932,50,5.53645,4.10139,-137.90272,-6.71173,-8.74049,29.78782,-14.66774,23102d5d-112e-4e2a-a826-cac87bfec1f2,NA,NA,NA,NA,NA,702278,"Schubart, Nolan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,OKL_COW,1,Top,1,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,e1dffbe0-173a-11f0-847c-7fa886e01cfa,94.76494,NA,NA,7.82861,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:10:10,2025-04-12T01:10:10Z,2025-04-12T01:10:10Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.28521,-138.82526,14.89391,5.73728,-6.25746,-7.33387,-1.06053,4.37208,-4.37025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-11,19:10:37,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Slider,NA,NA,83.81898,0.234694,-1.314511,2379.737781,49.855388,07:45:00,5.83059,1.09789,5.53969,-41.18797,-1.03756,-2.6600799999999998,2.61767,-0.35259,77.1826,-7.285508,-1.789246,0.456054,1.00102,-0.28984,-0.98204,50,5.82316,2.90157,-121.78302,-0.95635,1.5067,23.41993,-32.61031,f5446000-7544-4a09-8a05-01d1877de8a0,NA,NA,NA,NA,NA,702278,"Schubart, Nolan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,OKL_COW,1,Top,1,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,f194acc0-173a-11f0-847c-7fa886e01cfa,82.64905,NA,NA,6.63638,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:10:37,2025-04-12T01:10:37Z,2025-04-12T01:10:37Z,NA,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.96195,-122.73354,11.70996,5.83512,0.36717,-16.30516,-1.09856,2.84042,0.75335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-11,19:11:02,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Curveball,NA,NA,78.78028,2.011407,-0.521599,2439.809813,24.357182,06:45:00,5.86824,0.96378,5.84576,-54.26046,-9.31926,-4.82347,3.21658,0.07709,72.5882,-7.919808,-1.387581,0.482496,2.34252,-5.00292,-0.9184,50,5.99956,1.21921,-114.51791,2.26132,3.11564,20.83744,-38.82816,057889f7-be32-4337-b322-0f600b6f2ae1,NA,NA,NA,NA,19.211578,702278,"Schubart, Nolan",NA,NA,77.3084,Left,44.432172,103.72278,86.74392,36.62728,261.70908,225.9439,5.106617,18.94943,2.21678,3.01627,-0.17427,NA,NA,NA,NA,NA,3,5,OKL_COW,1,Top,1,0,2,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,ARI_WIL,OKL_COW,UArizona,D1,BIG12,20250411-UArizona-1,0080b670-173b-11f0-847c-7fa886e01cfa,78.1197,94.43675,NA,6.19208,NA,NA,NA,c9d07def-b3b3-40be-ae41-f7677b696cea,2025-04-12,01:11:02,2025-04-12T01:11:02Z,2025-04-12T01:11:02Z,FlyBall,v3,232,4245,11 April 2025 21:00-okstate@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,54.65768,-115.3623,10.41872,5.87604,3.83474,-19.41408,-0.96525,1.09296,1.55782,186.052799,2.22053,76.36905,-14.20086,2.9517,-0.02526,-0.21619,0.06768,-0.00885,4.4e-4,3.01137,79.47385,-19.98474,1.99796,-0.66246,0.18434,-0.02801,0.00185,-3e-5,-0.17344,26.62385,-3.77263,0.50266,0.039,-0.04698,0.01245,-0.0015,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
