PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-12,14:00:17,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,98.02755,-3.584072,-4.906468,2106.830812,247.220563,02:15:00,5.90947,2.5143,6.48658,-20.63084,7.99374,16.86525,0.88322,-0.59602,89.84364,-7.453992,-1.857053,0.385071,-10.18941,5.45193,-2.17609,50,5.64756,11.4632,-141.85035,-9.59542,-20.78679,32.06998,-21.05187,ea0d3db5-be86-409a-8899-859cfe3182b2,NA,NA,NA,NA,NA,831539,"Frei, Gehrig",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MSU_BDG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,602aa7d0-17d0-11f0-b802-2f0f3ca1af21,97.88432,NA,NA,8.18391,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:00:17,2025-04-12T19:00:17Z,2025-04-12T19:00:17Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.01464,-142.7551,16.03499,5.90988,-9.0015,-10.52594,-2.50776,12.04964,-10.3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-12,14:00:33,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,97.48708,-3.57609,-3.930485,2205.766004,247.969883,02:15:00,5.91872,2.54928,6.42203,-20.68891,8.4552,18.45603,0.89532,0.46853,88.79323,-7.465867,-0.58984,0.38855,-10.77461,5.77504,-2.27628,50,5.65343,8.89775,-141.14166,-9.52171,-21.60144,33.96245,-20.59602,6f78257e-f26f-4de4-8cf6-e36b99cb4adc,NA,NA,NA,NA,NA,831539,"Frei, Gehrig",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MSU_BDG,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,69dd69c0-17d0-11f0-b802-2f0f3ca1af21,97.00794,NA,NA,8.69385,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:00:33,2025-04-12T19:00:33Z,2025-04-12T19:00:33Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.07796,-142.11954,16.98122,5.91905,-8.92869,-10.29801,-2.54142,9.51972,-10.80072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-12,14:00:51,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,97.86983,-1.610719,-4.506544,2100.90175,245.324683,02:15:00,5.90626,2.36257,6.29639,-19.79324,9.0867,17.74123,2.76765,-0.32007,89.25803,-5.339717,-1.309296,0.386785,-10.42851,5.45953,-2.03853,50,5.77792,10.38549,-141.82991,-4.66405,-21.22262,32.71573,-21.06358,95e9b984-1563-4eaf-9491-7614391bcce0,NA,NA,NA,NA,NA,831539,"Frei, Gehrig",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MSU_BDG,1,Top,0,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,74a4a8f0-17d0-11f0-b802-2f0f3ca1af21,97.45062,NA,NA,8.6118,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:00:51,2025-04-12T19:00:51Z,2025-04-12T19:00:51Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.20347,-142.79623,16.35786,5.9065,-4.0419,-10.53179,-2.35454,11.01234,-10.61131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-12,14:01:10,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,98.39436,-2.201474,-3.278499,2198.622224,233.964812,01:45:00,5.94181,2.41408,6.45205,-16.13706,12.42111,15.7165,2.57021,0.70847,89.14955,-5.2898,-0.43209,0.384624,-9.19808,7.45382,-2.18823,50,5.77832,7.48564,-142.67718,-5.97931,-18.78243,35.70214,-16.95338,4b21bca2-e2ac-479c-8960-8f6f663e3d33,NA,NA,NA,NA,-30.505435,831539,"Frei, Gehrig",4402.3402830000005,NA,91.54469,Left,30.910149,89.74356,55.83999,-63.6089,331.57768,214.47373,4.411182,-43.851849,1.82761,3.18695,-2.18488,NA,NA,NA,NA,NA,1,4,MSU_BDG,1,Top,0,2,1,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,7fd27220-17d0-11f0-b802-2f0f3ca1af21,97.9981,70.06351,NA,9.24481,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:01:10,2025-04-12T19:01:10Z,2025-04-12T19:01:10Z,FlyBall,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.04706,-143.68631,17.85107,5.94055,-5.50012,-8.47669,-2.40732,8.01653,-9.39121,132.915176,1.82749,99.2572,-20.98353,5.06589,-1.26266,0.32306,-0.07299,0.01039,-6.2e-4,3.18777,68.94827,-20.20367,1.41911,0.00769,-0.11641,0.04275,-0.00654,3.7e-4,-2.18469,-58.48285,1.28867,0.4291,-0.14148,-1e-4,0.01048,-0.00254,1.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
5,2025-04-12,14:02:07,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Slider,NA,NA,85.56748,1.141286,-2.3526030000000002,2714.696778,37.43258,07:15:00,5.76601,2.56921,6.20221,-45.92459,-8.12985,-7.11678,2.99349,-0.19672,78.48366,-7.321175,-3.636621,0.442473,2.99591,-4.13969,-2.38897,50,5.82936,5.38654,-124.31195,0.92232,4.67222,25.7054,-38.63009,9b079654-559a-427f-8eb1-256b53551c43,NA,NA,NA,NA,NA,831535,"Reeves, Sawyer",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MSU_BDG,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,a1929520-17d0-11f0-b802-2f0f3ca1af21,85.18577,NA,NA,7.08382,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:02:07,2025-04-12T19:02:07Z,2025-04-12T19:02:07Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.29928,-125.19781,12.8527,5.77463,2.25359,-19.31505,-2.57182,5.22552,2.33611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-12,14:02:26,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,99.42566,-3.646187,-3.528901,2244.368378,240.715242,02:00:00,5.88303,2.30337,6.56113,-17.17591,10.59056,17.2532,1.09795,0.50169,90.75526,-6.90256,-0.397093,0.379255,-10.07796,6.88878,-2.06673,50,5.62367,8.14719,-144.0767,-9.73319,-21.11418,34.49827,-17.74142,c3f4e53b-01f8-40d4-9bde-797e61e6e3b0,NA,NA,NA,NA,NA,831535,"Reeves, Sawyer",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MSU_BDG,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,aced13a0-17d0-11f0-b802-2f0f3ca1af21,99.3854,NA,NA,8.6704,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:02:26,2025-04-12T19:02:26Z,2025-04-12T19:02:26Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,53.93948,-145.01692,17.24913,5.88235,-9.24967,-8.87071,-2.29661,8.72264,-10.55709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-12,14:02:43,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Slider,NA,NA,87.49906,-0.323493,-3.378545,2620.980739,73.608699,08:30:00,5.67867,2.56028,6.02117,-37.34848,-1.04772,-7.22756,2.26614,-1.17499,80.63912,-7.184638,-4.675729,0.43364,2.78705,-0.08803,-2.29164,50,5.6332,7.79227,-127.00411,-2.01387,4.56065,25.55819,-32.31813,1d4e36e4-c800-4164-b153-ea6244f59668,NA,NA,NA,NA,NA,831535,"Reeves, Sawyer",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MSU_BDG,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,b74eda40-17d0-11f0-b802-2f0f3ca1af21,86.92107,NA,NA,6.85994,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:02:43,2025-04-12T19:02:43Z,2025-04-12T19:02:43Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.47918,-127.90232,12.77909,5.68401,-0.87809,-16.15907,-2.56267,7.63199,2.28032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-12,14:03:02,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Slider,NA,NA,87.11167,0.2945,-2.825064,2669.646341,40.293943,07:15:00,5.65068,2.53528,6.11197,-42.1801,-5.91981,-5.87831,2.40831,-0.5689,80.69929,-7.443225,-3.883393,0.433398,2.34445,-2.93898,-2.31518,50,5.65069,6.47316,-126.6464,-0.77758,3.83203,24.32092,-36.97783,1156f469-9967-48df-b601-8cdba977950d,NA,NA,NA,NA,-48.28237,831535,"Reeves, Sawyer",NA,NA,54.54747,Right,-60.549104,NA,NA,NA,4.14047,4.14047,0.037442,-9.052272,3.10251,2.62513,0.45497,NA,NA,NA,NA,NA,2,4,MSU_BDG,1,Top,0,2,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,c2a9a6e0-17d0-11f0-b802-2f0f3ca1af21,86.96952,2.62513,NA,6.41237,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:03:02,2025-04-12T19:03:02Z,2025-04-12T19:03:02Z,GroundBall,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,54.3918,-127.48701,12.16046,5.65548,0.50049,-18.48891,-2.53662,6.34072,1.91601,NA,3.1015,26.34432,NA,NA,NA,NA,NA,NA,NA,2.62783,-70.11192,NA,NA,NA,NA,NA,NA,NA,0.4561,-29.54991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-04-12,14:03:41,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Sinker,NA,NA,99.16313,-2.61373,-4.471318,2166.742383,233.864889,01:45:00,5.93797,2.45334,6.55553,-16.03493,12.01414,15.13501,2.19617,-0.39356,89.96124,-5.68208,-1.731028,0.38118,-9.19205,7.35851,-2.14967,50,5.74998,10.55384,-143.5711,-7.04986,-19.05233,35.4034,-16.92213,1ffcd425-39eb-4411-b73c-60632566f410,NA,NA,NA,NA,NA,814505,"Reese, Ace",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MSU_BDG,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,d9e56010-17d0-11f0-b802-2f0f3ca1af21,98.88347,NA,NA,9.2019,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:03:41,2025-04-12T19:03:41Z,2025-04-12T19:03:41Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,53.94249,-144.54002,17.7017,5.93659,-6.58674,-8.46106,-2.44564,11.07526,-9.52617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-12,14:04:01,"Quick, Riley",804981,Right,ALA_CRI,Undefined,Cutter,NA,NA,95.34727,-2.332028,-4.698782,2246.375788,193.768323,12:30:00,5.66724,2.56689,6.7002,-22.28733,7.70138,1.65701,1.66922,-1.60119,87.40629,-6.520296,-4.398394,0.39414,-2.18414,5.02044,-2.25451,50,5.50293,11.28629,-138.13357,-6.33307,-4.21851,30.87594,-22.47753,643ae90a-4fbc-4238-96b8-278e534cf91c,NA,NA,NA,NA,NA,814505,"Reese, Ace",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MSU_BDG,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,MSU_BDG,SwellThomasStadium,D1,SEC,20250412-SwellThomasStadium-1,e5b8b810-17d0-11f0-b802-2f0f3ca1af21,95.63219,NA,NA,7.94098,NA,NA,NA,dc96d274-5e39-4117-8a9a-13f9900f0155,2025-04-12,19:04:01,2025-04-12T19:04:01Z,2025-04-12T19:04:01Z,NA,v3,471226,5080,12 April 2025 17:00-missst@alabama,"Neal, Brady",702272,Right,ALA_CRI,53.79851,-138.98002,15.43797,5.6681,-5.71686,-11.23877,-2.5655,11.40194,-2.10925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
