PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,13:05:53,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,91.06843,-1.635101,-0.658412,2073.959999,203.563599,12:45:00,5.74598,0.78996,6.02503,-13.77225,20.00678,8.2193,3.08338,0.86506,82.5284,-4.306188,0.820426,0.418307,-4.39296,11.09363,-0.74267,50,5.61036,1.16013,-132.15621,-4.12139,-7.7037,30.37871,-12.71973,b2533641-cb64-456b-ad7b-6574d1dca449,NA,NA,NA,NA,NA,1000188968,"Herbert, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TOL_ROC,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,8eac2d40-1889-11f0-b0ac-cd8bbf743a38,90.10716,NA,NA,8.54003,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:05:53,2025-04-13T17:05:53Z,2025-04-13T17:05:53Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.4724,-133.18031,15.18936,5.74207,-3.6926,-6.35987,-0.78615,1.41983,-3.85185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-13,13:06:05,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,92.58758,-0.759501,-0.496422,2039.248215,196.474811,12:30:00,5.84758,0.81668,6.22571,-12.72867,19.84899,5.52666,4.08601,0.81918,83.40804,-3.260623,0.501651,0.410801,-2.98445,10.8056,-0.782,50,5.78407,0.92065,-134.36286,-2.07048,-5.38063,32.85797,-12.69276,474447cc-6d3a-434f-8662-656ab18fdd37,NA,NA,NA,NA,NA,1000188968,"Herbert, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TOL_ROC,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,95defb10-1889-11f0-b0ac-cd8bbf743a38,91.75356,NA,NA,9.17954,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:06:05,2025-04-13T17:06:05Z,2025-04-13T17:06:05Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.27003,-135.40306,16.42898,5.84325,-1.66865,-6.34638,-0.81385,1.09098,-2.69031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-13,13:06:17,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,91.77736,-1.902638,-0.54558,2045.251567,195.321266,12:30:00,5.80085,0.77221,6.26152,-11.6252,21.3558,5.53855,3.07701,0.73069,83.12172,-4.194519,0.455313,0.413336,-3.01394,11.95138,-0.73422,50,5.65364,1.03147,-133.21066,-4.66898,-5.36661,31.03586,-10.89344,8898d4d5-b782-4889-9afb-552425864164,NA,NA,NA,NA,173.918884,1000188968,"Herbert, Kaleb",1974.488688,NA,76.4649,Right,21.764146,NA,NA,NA,NA,38.01755,NA,NA,2.63574,3.02204,-0.74229,NA,NA,NA,NA,NA,1,3,TOL_ROC,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,9d28ac40-1889-11f0-b0ac-cd8bbf743a38,91.19077,15.32365,NA,8.65564,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:06:17,2025-04-13T17:06:17Z,2025-04-13T17:06:17Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.2357,-134.19388,15.51793,5.79608,-4.32387,-5.44672,-0.76959,1.20149,-2.6833,323.940635,2.63633,-103.58843,8.20705,NA,NA,NA,NA,NA,NA,3.03246,41.23875,-26.90387,NA,NA,NA,NA,NA,NA,-0.73694,10.85639,-6.86125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-04-13,13:06:39,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Splitter,NA,NA,85.69438,-2.277721,-2.923053,1632.377283,205.528344,12:45:00,5.75384,0.73896,5.92198,-24.64371,14.08154,6.03926,1.58264,-1.47267,77.31608,-6.915217,-1.839826,0.447887,-4.01374,8.36898,-0.50804,50,5.55742,6.07913,-124.01953,-5.68865,-6.15017,28.54482,-19.35041,27fd9445-249e-4dbc-b5d7-eabf65dcceb3,NA,NA,NA,NA,NA,1000188968,"Herbert, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TOL_ROC,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,aa6d6e90-1889-11f0-b0ac-cd8bbf743a38,84.15614,NA,NA,8.3783,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:06:39,2025-04-13T17:06:39Z,2025-04-13T17:06:39Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.57361,-125.06778,14.27241,5.75327,-4.97804,-9.67521,-0.73543,6.30498,-3.07508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-13,13:06:52,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,93.02937,-3.725382,-1.51702,2216.756843,198.090313,12:30:00,5.68195,0.59586,6.50333,-12.06757,19.93241,6.13544,1.251,-0.28556,84.15165,-6.094963,-0.403451,0.407142,-3.65524,11.89823,-0.49206,50,5.41525,3.31154,-134.79938,-9.03335,-6.64498,32.58072,-10.54384,daf5ca05-ec82-4ef1-8ac3-35c527e24fa4,NA,NA,NA,NA,NA,1000188968,"Herbert, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,TOL_ROC,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,b1cf3ba0-1889-11f0-b0ac-cd8bbf743a38,92.57805,NA,NA,8.87772,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:06:52,2025-04-13T17:06:52Z,2025-04-13T17:06:52Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,53.99364,-135.7612,16.29036,5.67733,-8.72208,-5.27192,-0.59272,3.50771,-3.32249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-13,13:07:08,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,92.12404,-1.610923,-0.822504,2150.866889,206.005665,12:45:00,5.76794,0.58773,6.23581,-14.41993,18.50375,8.44941,3.07964,0.53303,83.05583,-4.414558,0.70389,0.412977,-4.6513,10.46115,-0.53045,50,5.6406,1.56431,-133.6894,-4.13146,-8.2901,32.90593,-13.5289,3f2d25b2-e590-4b84-89f3-05d4d143a337,NA,NA,NA,NA,NA,1000188968,"Herbert, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,TOL_ROC,1,Top,0,3,2,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,bbcdfab0-1889-11f0-b0ac-cd8bbf743a38,91.27012,NA,NA,9.06821,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:07:08,2025-04-13T17:07:08Z,2025-04-13T17:07:08Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.26279,-134.73455,16.45297,5.765,-3.70176,-6.76445,-0.58432,1.82762,-4.14505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-13,13:07:40,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,92.55526,-2.779573,-0.457057,2149.778056,196.060807,12:30:00,5.6776,0.85384,6.19121,-12.53615,20.2182,5.47477,2.06448,0.88807,83.39894,-5.236279,0.531156,0.411913,-2.95914,11.67505,-0.82197,50,5.46144,0.83183,-134.16445,-6.80337,-5.31019,33.21485,-11.22308,7e8099f6-13c0-4836-93b3-34dae947ea6c,NA,NA,NA,NA,NA,1000236670,"Konczak, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TOL_ROC,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,ce8d2c70-1889-11f0-b0ac-cd8bbf743a38,91.50572,NA,NA,9.15632,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:07:40,2025-04-13T17:07:40Z,2025-04-13T17:07:40Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.30546,-135.22614,16.60743,5.67317,-6.44463,-5.61154,-0.85127,1.00156,-2.6551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-13,13:07:52,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Curveball,NA,NA,81.6167,1.881384,-0.739587,2334.932659,11.407683,06:30:00,5.66353,1.00015,5.68934,-48.28266,-5.61488,-1.42488,3.39429,0.19204,74.11265,-6.983158,-0.994512,0.470134,0.48843,-2.90807,-0.93707,50,5.79218,1.58682,-118.39499,2.20398,0.68605,24.80977,-36.25866,4624da6d-33de-4be0-a8c2-148d33d2e3de,NA,NA,NA,NA,NA,1000236670,"Konczak, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TOL_ROC,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,d5af7f80-1889-11f0-b0ac-cd8bbf743a38,80.17386,NA,NA,7.50405,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:07:52,2025-04-13T17:07:52Z,2025-04-13T17:07:52Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.81018,-119.39871,12.40489,5.67334,3.67089,-18.12933,-1.00071,1.55906,0.34302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-13,13:08:04,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,91.84592,-1.409263,-0.972265,2155.519881,195.515469,12:30:00,5.72688,1.06317,6.16553,-15.9321,17.34733,4.47823,3.09697,0.53816,82.64482,-4.487885,-0.164383,0.415202,-2.63382,9.78182,-0.9917,50,5.61191,2.07068,-133.23705,-3.71338,-4.65362,33.18898,-14.89076,55faed92-6815-4607-83a0-0a5b049fe6f5,NA,NA,NA,NA,-45.916338,1000236670,"Konczak, Caden",4303.895374,NA,83.83929,Left,52.317102,59.39442,108.22368,-92.58635,243.52885,96.83715,5.309886,-64.697694,0.7142,3.13487,-0.554,NA,NA,NA,NA,NA,2,3,TOL_ROC,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,dced70e0-1889-11f0-b0ac-cd8bbf743a38,90.781,113.66355,NA,9.2011,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:08:04,2025-04-13T17:08:04Z,2025-04-13T17:08:04Z,FlyBall,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,54.33228,-134.31188,16.59449,5.72436,-3.23114,-7.44538,-1.0612,2.22139,-2.32681,146.428651,0.7778,51.03955,-13.11875,-2.81094,5.20222,-2.47532,0.57992,-0.06737,0.0031,3.13057,97.34369,-26.04621,2.37867,0.1366,-0.30861,0.10576,-0.01567,8.7e-4,-0.54209,-54.19906,3.70836,-0.84843,0.5265,-0.20612,0.04085,-0.00382,1.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
10,2025-04-13,13:08:22,"Kapa, Tyler",1000336120,Right,EMU_EAG,Undefined,Fastball,NA,NA,93.71569,-1.073307,-1.029911,2139.14055,197.974602,12:30:00,5.74635,0.88187,6.53779,-11.49701,19.79277,6.07307,3.80352,0.44319,84.79698,-3.348778,0.073204,0.402599,-3.50114,11.0265,-0.81288,50,5.66665,2.19863,-136.14846,-2.79443,-6.5028,32.81999,-11.69421,f1bcd6c0-c8a7-44a5-b8bc-77a0135407af,NA,NA,NA,NA,-163.243893,1000236670,"Konczak, Caden",3500.991222,NA,76.43902,Left,46.999411,NA,NA,NA,NA,25.3209,NA,NA,0.91802,3.79582,-0.42659,NA,NA,NA,NA,NA,2,4,TOL_ROC,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,TOL_ROC,OestrikeStadium,D1,MAC,20250413-OestrikeStadium-1,e7d0c390-1889-11f0-b0ac-cd8bbf743a38,93.62278,28.0819,NA,8.91872,NA,NA,NA,ad468d10-8ad2-421d-a183-c8518499ba32,2025-04-13,17:08:22,2025-04-13T17:08:22Z,2025-04-13T17:08:22Z,NA,v3,471289,471468,13 April 2025 13:00-toledo@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,53.96121,-137.10002,16.40999,5.74275,-2.45538,-5.84711,-0.87936,2.38716,-3.2514,18.626989,0.92165,-73.35615,2.31577,NA,NA,NA,NA,NA,NA,3.80764,81.53538,-33.38947,NA,NA,NA,NA,NA,NA,-0.42999,-21.91196,5.91458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
