PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-12,12:04:52,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Sinker,NA,NA,88.57283,-2.235857,-3.030437,2266.979557,243.422851,02:00:00,5.54701,1.68712,5.11646,-27.77431,8.76638,15.3195,1.12223,0.10632,81.65767,-7.297908,-0.321178,0.435071,-8.41575,5.27614,-1.41422,50,5.31473,6.09967,-128.3934,-6.07885,-14.14879,24.79894,-23.30366,3e21b74f-7dbf-400a-b142-c71dea1d3ed9,NA,NA,NA,NA,NA,825107,"Pennella, JP",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_UNI,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,decf7fc0-17b7-11f0-a930-f1b7f54a8f09,86.63519,NA,NA,6.91516,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:04:52,2025-04-12T16:04:52Z,2025-04-12T16:04:52Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.38416,-129.42916,12.39947,5.5483,-5.10553,-11.65183,-1.68132,6.69062,-7.07439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-12,12:05:09,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Fastball,NA,NA,88.85506,-0.901972,-2.156038,2211.547859,224.512595,01:30:00,5.49728,1.53465,5.15952,-21.00249,14.93548,13.69328,2.8974,0.64537,82.15279,-4.779281,0.267034,0.431467,-7.30965,7.9704,-1.3441,50,5.39713,4.22762,-129.04099,-2.78689,-12.49917,23.29906,-18.54505,6617fa24-53ae-494d-a7d0-2354d9e3098c,NA,NA,NA,NA,NA,825107,"Pennella, JP",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SOU_UNI,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,e8907280-17b7-11f0-a930-f1b7f54a8f09,87.3587,NA,NA,6.70226,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:05:09,2025-04-12T16:05:09Z,2025-04-12T16:05:09Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.34031,-130.00164,11.64953,5.49627,-2.02226,-9.27252,-1.52904,4.74298,-6.24958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-12,12:05:26,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Slider,NA,NA,80.11062,0.241568,-1.87885,2776.608946,95.976549,09:15:00,5.36035,1.65024,4.76697,-42.5142,2.23634,-10.13253,2.04666,-0.97616,74.70737,-7.385799,-3.659271,0.481471,4.5552,1.41028,-1.45259,50,5.34702,4.24766,-116.37278,-1.1056,6.34626,18.57583,-30.20924,5b93455a-fe19-4d86-98cf-dcd2db896f6e,NA,NA,NA,NA,NA,825107,"Pennella, JP",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SOU_UNI,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,f2a6b130-17b7-11f0-a930-f1b7f54a8f09,78.28595,NA,NA,5.40325,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:05:26,2025-04-12T16:05:26Z,2025-04-12T16:05:26Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.73472,-117.2846,9.28791,5.36489,0.37727,-15.10462,-1.65344,3.93615,3.17313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-12,12:05:45,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Fastball,NA,NA,89.61386,-1.764562,-2.65544,2284.189167,233.588284,01:45:00,5.49282,1.6013,5.19219,-23.44974,12.0041,14.86816,1.87644,0.34053,82.69683,-6.071598,-0.022811,0.428552,-8.12449,6.75272,-1.36669,50,5.3113,5.35907,-130.03785,-4.88034,-14.0492,24.7436,-20.49695,13911378-b228-43f3-916a-76eacf5e3782,NA,NA,NA,NA,NA,825107,"Pennella, JP",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SOU_UNI,1,Top,0,2,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,fe754e40-17b7-11f0-a930-f1b7f54a8f09,87.9531,NA,NA,6.91703,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:05:45,2025-04-12T16:05:45Z,2025-04-12T16:05:45Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.30906,-131.04416,12.3718,5.49283,-4.04674,-10.24848,-1.59626,5.93044,-7.0246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-12,12:06:10,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Curveball,NA,NA,76.06239,2.51387,0.246128,2773.136011,47.185937,07:30:00,5.39464,1.47606,4.51292,-61.52669,-11.49733,-13.78898,2.66359,0.56143,71.05132,-8.426039,-2.169146,0.509077,6.76733,-5.7639,-1.48793,50,5.59823,0.10116,-110.52563,2.51702,8.51371,16.55326,-39.42539,8dbd4485-a2f3-4b97-b84f-fd86c306919c,NA,NA,NA,NA,NA,825107,"Pennella, JP",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SOU_UNI,1,Top,0,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,0d5dae70-17b8-11f0-a930-f1b7f54a8f09,74.04069,NA,NA,5.01107,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:06:10,2025-04-12T16:06:10Z,2025-04-12T16:06:10Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.99316,-111.4196,8.27663,5.4048,4.64622,-19.71269,-1.48098,-0.35863,4.25686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.29707,2.727584,1.649971,1.077612,-2.46962,2.05889,-0.40833,-2.61561,5.43251,-2.84699,68.06558,5.11263,-56.7176,-2.51499,72.10638,-6.10105,5.5203,14.27661,-13.56861,-3.07536,-59.79536,9.22419,High,High,High,NA,NA,High,High,High
6,2025-04-12,12:06:39,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Fastball,NA,NA,89.90252,-2.225891,-2.809776,2221.573144,208.830375,01:00:00,5.47272,1.49863,5.02795,-20.19592,15.14776,7.78922,1.68586,-0.50562,83.25417,-5.936142,-1.435846,0.427885,-4.55264,8.36591,-1.23633,50,5.24358,6.04164,-130.40857,-5.82322,-7.95235,23.741,-17.56081,399d5d5a-adcf-485b-9f75-e6f0229dad0b,NA,NA,NA,NA,-2.909396,801360,"Hicks, Connor",3146.99026,NA,85.35858,Left,28.451318,109.55072,54.31421,-9.9306,262.56521,232.62776,4.532551,-11.202153,0.82855,1.71101,0.53741,NA,NA,NA,NA,NA,2,1,SOU_UNI,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,1e645ac0-17b8-11f0-a930-f1b7f54a8f09,88.09007,65.10492,NA,6.64835,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:06:39,2025-04-12T16:06:39Z,2025-04-12T16:06:39Z,FlyBall,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.47287,-131.40114,11.8705,5.47169,-5.08904,-8.7804,-1.49587,6.37411,-3.97617,164.846947,0.82814,109.93662,-25.12636,5.97493,-1.35075,0.29919,-0.05513,0.00638,-3.2e-4,1.71098,59.6485,-15.0224,0.55914,-0.0129,-0.03749,0.01416,-0.00198,1e-4,0.53736,-5.58588,-2.71527,0.64311,-0.14606,0.03267,-0.00606,7e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-04-12,12:07:13,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Curveball,NA,NA,77.0182,0.907363,-0.735807,2730.702299,40.131887,07:15:00,5.65014,1.52312,4.53021,-61.29905,-12.07642,-11.36445,1.40607,-0.12463,71.57024,-9.985956,-2.730375,0.504956,5.36516,-5.73496,-1.43493,50,5.68584,1.91299,-111.85383,-0.56776,6.83489,19.12622,-39.48003,75d560ad-7a5a-4e54-b11c-efb3b5b62d1a,NA,NA,NA,NA,NA,1000096340,"Collins, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SOU_UNI,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,32ef24c0-17b8-11f0-a930-f1b7f54a8f09,74.64495,NA,NA,5.44796,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:07:13,2025-04-12T16:07:13Z,2025-04-12T16:07:13Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.97454,-112.87081,9.56311,5.66022,1.53148,-19.74002,-1.52699,1.54957,3.41744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-12,12:07:29,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Slider,NA,NA,80.07646,-1.270414,-3.416977,2766.507787,91.456531,09:00:00,5.47805,1.65759,4.95007,-43.51274,1.55878,-9.48567,0.6492,-2.36552,74.27503,-9.075603,-5.086884,0.483195,3.79839,1.51886,-1.31762,50,5.31866,7.32501,-116.04303,-4.17133,5.20515,20.7021,-30.09264,61e135e5-d5f5-4f68-8f10-1d181bf7a297,NA,NA,NA,NA,NA,1000096340,"Collins, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SOU_UNI,1,Top,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,3c5bdd00-17b8-11f0-a930-f1b7f54a8f09,78.00666,NA,NA,5.80143,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:07:29,2025-04-12T16:07:29Z,2025-04-12T16:07:29Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.5504,-117.02903,10.35105,5.4832,-2.73807,-15.04632,-1.66059,7.0771,2.60258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-12,12:07:45,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Fastball,NA,NA,89.21465,-2.031801,-2.716428,2232.651594,226.52789,01:30:00,5.67039,1.54635,5.20942,-20.41438,15.6493,15.28552,2.05552,0.26368,81.6049,-5.825674,-0.009887,0.432221,-8.33079,8.705,-1.30681,50,5.46723,5.42465,-129.28541,-5.30505,-14.1246,26.51606,-17.41496,229a3343-046a-462e-8169-7ee33a37368e,NA,NA,NA,NA,NA,1000096340,"Collins, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SOU_UNI,1,Top,2,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,45e963b0-17b8-11f0-a930-f1b7f54a8f09,87.2063,NA,NA,7.60975,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:07:45,2025-04-12T16:07:45Z,2025-04-12T16:07:45Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.28908,-130.36567,13.25803,5.66891,-4.59556,-8.70748,-1.53953,6.00008,-7.0623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-12,12:08:01,"Horner, Cameron",1000140045,Right,AVE_MAR,Undefined,Fastball,NA,NA,89.40133,-2.970351,-3.643097,2253.713186,200.830613,12:45:00,5.68724,1.43531,5.13714,-15.63198,20.33958,7.31217,1.57932,-1.39056,82.09454,-5.901023,-2.353148,0.431669,-4.55906,11.2117,-1.09918,50,5.39637,7.89477,-129.37282,-7.23028,-7.77971,25.25955,-13.04201,aa313afb-3066-4ffe-b3b9-c4e66ea76c30,NA,NA,NA,NA,NA,1000096340,"Collins, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,SOU_UNI,1,Top,2,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AVE_MAR,SOU_UNI,BowiesBallpark,NAIA,TSC,20250412-BowiesBallpark-1,4f45c840-17b8-11f0-a930-f1b7f54a8f09,87.31788,NA,NA,7.3068,NA,NA,NA,5100d5b2-08ae-4b2f-b907-78f68ef5331f,2025-04-12,16:08:01,2025-04-12T16:08:01Z,2025-04-12T16:08:01Z,NA,v3,NA,NA,NA,"Cabezza, Sebastian",1000366066,Right,AVE_MAR,55.36076,-130.41528,12.62977,5.68366,-6.69203,-6.52101,-1.43163,8.21584,-3.88986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
