PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-15,19:04:14,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,92.80811,-1.657044,-1.755981,2134.777723,196.761374,12:30:00,5.83997,1.35052,5.98131,-12.05418,20.81871,5.90363,3.29836,0.21432,83.36231,-4.030481,-0.695364,0.412658,-3.57618,11.53205,-1.21489,50,5.70224,3.85638,-134.49371,-4.17102,-6.44006,33.75144,-11.40699,465fa18a-ad74-4e63-adbd-50a3ddf8fb0e,NA,NA,NA,NA,NA,806508,"Sanderson, Case",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NEB,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,edd02310-1a4d-11f0-8139-47e201476834,91.34061,NA,NA,9.4458,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:04:14,2025-04-15T23:04:14Z,2025-04-15T23:04:14Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.51285,-135.62149,16.87572,5.83524,-3.78986,-5.7035,-1.34734,4.07157,-3.22003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-15,19:04:32,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,92.96556,-3.335192,-1.95613,2143.140951,207.104558,01:00:00,5.85992,1.19293,5.92438,-11.39855,21.45253,10.35713,1.80997,0.24021,83.73978,-5.576515,-0.097338,0.412521,-5.97512,12.4569,-1.04248,50,5.58659,4.14595,-134.61008,-8.12471,-10.78945,33.543,-9.68029,d9c19d37-17fe-4a6c-baee-1fd45297dc1c,NA,NA,NA,NA,-122.172615,806508,"Sanderson, Case",3162.564589,NA,73.20726,Left,27.905402,NA,NA,NA,NA,31.95083,NA,NA,2.08932,1.75188,-0.13406,NA,NA,NA,NA,NA,1,2,NEB,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,f8474670-1a4d-11f0-8139-47e201476834,91.37091,16.49709,NA,9.22578,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:04:32,2025-04-15T23:04:32Z,2025-04-15T23:04:32Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.5733,-135.7449,16.7715,5.85593,-7.79721,-4.84014,-1.18892,4.51098,-5.39472,NA,2.09344,-50.67851,-3.42368,NA,NA,NA,NA,NA,NA,1.75662,50.07376,-24.34116,NA,NA,NA,NA,NA,NA,-0.13633,-80.23112,9.85934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
3,2025-04-15,19:04:53,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,91.31249,-0.546166,-0.918927,2082.597006,198.695545,12:30:00,5.95093,1.04337,6.00697,-14.68032,18.2182,5.85965,4.22148,0.68024,84.41171,-3.339127,0.134876,0.412819,-3.21977,9.7763,-0.97429,50,5.8997,1.88064,-132.83625,-1.68453,-5.83337,24.73247,-14.46202,29f15189-5796-47ea-ab6f-e1f236c4c9a8,NA,NA,NA,NA,NA,806508,"Sanderson, Case",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NEB,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,048dd2a0-1a4e-11f0-8139-47e201476834,91.30498,NA,NA,6.90078,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:04:53,2025-04-15T23:04:53Z,2025-04-15T23:04:53Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.49162,-133.66992,12.36624,5.94826,-1.19705,-7.23101,-1.04099,2.07726,-2.91669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-15,19:05:10,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,92.4391,-1.313877,-1.419144,2084.588427,198.362028,12:30:00,5.88944,1.11328,6.05568,-13.5378,18.72206,5.8974,3.54455,0.29087,84.9711,-3.909628,-0.357817,0.408792,-3.39311,10.26953,-1.00607,50,5.77984,3.07505,-134.35603,-3.45241,-6.24767,27.11424,-13.26488,243c090e-4e1c-4481-aa26-98cedfa0ee90,NA,NA,NA,NA,NA,806508,"Sanderson, Case",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NEB,1,Top,0,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,0f22de40-1a4e-11f0-8139-47e201476834,92.20438,NA,NA,7.468,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:05:10,2025-04-15T23:05:10Z,2025-04-15T23:05:10Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.44256,-135.24961,13.55712,5.88641,-3.01525,-6.63244,-1.1108,3.28094,-3.12384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.89265,NA,NA,0.813184,NA,NA,NA,4.2485,5.91296,3.22505,64.132320000000007,3.90324,60.64756,4.28907,81.25301,-9.48756,5.90996,5.7121,-10.05556,3.244,74.80892,-5.21783,High,High,High,NA,NA,High,High,High
5,2025-04-15,19:05:52,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,93.707,-3.19601,-3.070511,2202.895191,205.592145,12:45:00,5.86139,1.23015,6.24235,-12.15635,19.10824,8.70477,1.89318,-0.87929,86.30944,-5.536042,-1.501064,0.402437,-5.27544,11.00131,-1.00545,50,5.61657,6.92294,-135.93727,-7.91066,-9.95933,27.31044,-11.40501,e5366641-b5aa-49b6-9983-4edbce07dfd0,NA,NA,NA,NA,NA,1000112684,"Brumbaugh, Cayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NEB,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,28430ee0-1a4e-11f0-8139-47e201476834,93.6605,NA,NA,7.39757,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:05:52,2025-04-15T23:05:52Z,2025-04-15T23:05:52Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.25645,-136.78974,13.65522,5.85794,-7.55467,-5.7025,-1.22639,7.23381,-4.97967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-15,19:06:06,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,93.29997,-1.581418,-2.196862,2196.894774,206.291261,01:00:00,5.87459,1.04129,6.07053,-11.30808,20.39088,9.60414,3.46742,-0.19225,85.6534,-3.776831,-0.469064,0.405223,-5.5404,11.23544,-0.87626,50,5.74593,4.79226,-135.55705,-4.03143,-10.37271,27.92617,-11.13907,eaea8b31-67e9-43ff-8ca4-ffaedd27cac2,NA,NA,NA,NA,113.255201,1000112684,"Brumbaugh, Cayden",5058.484809,NA,78.37013,Right,59.008649,NA,NA,NA,NA,40.87466,NA,NA,1.23955,3.4633,0.21268,NA,NA,NA,NA,NA,2,2,NEB,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,30813230-1a4e-11f0-8139-47e201476834,93.01658,61.03163,NA,7.64656,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:06:06,2025-04-15T23:06:06Z,2025-04-15T23:06:06Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.42911,-136.46645,13.96308,5.8713,-3.6687,-5.56953,-1.03781,5.13004,-5.18636,330.222128,1.23955,-23.36863,-8.38075,2.80607,1.06615,-3.87872,4.90535,-3.26364,0.91133,3.4633,98.53382,-30.41337,3.98761,-0.37595,-0.81164,1.119,-0.7405,0.20373,0.21268,54.37656,-8.92398,1.26907,-0.29879,0.3417,-0.42822,0.29403,-0.08493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-04-15,19:06:25,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,92.4822,-1.726322,-1.584611,2160.942433,203.431261,12:45:00,5.91448,0.84599,6.10557,-12.8767,19.8382,8.10343,3.24392,0.05553,83.66466,-4.237996,-0.124962,0.411665,-4.68004,11.11339,-0.72847,50,5.77507,3.36666,-134.19322,-4.37039,-8.44309,31.9262,-12.12481,ab3cfc69-f442-455e-a3be-78acd44f0ef4,NA,NA,NA,NA,9.137974,1000112684,"Brumbaugh, Cayden",4346.218195,NA,85.85492,Right,42.034197,106.9103,87.67045,25.88754,272.921,271.64636,5.30567,19.328773,1.4145,3.279,-0.02354,NA,NA,NA,NA,NA,2,3,NEB,1,Top,1,0,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,3bcbab20-1a4e-11f0-8139-47e201476834,91.5609,101.9544,NA,8.81754,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:06:25,2025-04-15T23:06:25Z,2025-04-15T23:06:25Z,FlyBall,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.39188,-135.23406,15.9631,5.91111,-3.9751,-6.06241,-0.84271,3.64192,-4.22155,203.160746,1.42187,92.19385,-20.40064,4.36745,-0.45927,-0.05753,0.02653,-0.00321,1.3e-4,3.27715,84.33711,-21.00223,1.61718,-0.09364,-0.08258,0.03406,-0.00524,2.9e-4,-0.02509,14.88468,2.61106,-1.04576,0.22682,-0.0291,0.00203,-1.1e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-04-15,19:07:02,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,92.27866,-1.499457,-1.140515,2120.111546,214.12086,01:15:00,5.92936,1.07242,6.03922,-13.64146,19.49288,12.38394,3.40363,1.04827,82.97516,-4.160381,1.08816,0.414296,-6.65055,10.80701,-0.98957,50,5.80482,2.10374,-133.79297,-3.83989,-11.86053,33.20871,-12.90096,102d906e-44c0-4026-8829-6afa4feb0629,NA,NA,NA,NA,NA,822404,"Buettenback, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NEB,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,5201b420-1a4e-11f0-8139-47e201476834,90.97953,NA,NA,9.30351,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:07:02,2025-04-15T23:07:02Z,2025-04-15T23:07:02Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.45457,-134.89411,16.60436,5.92505,-3.41212,-6.45048,-1.06585,2.49701,-5.93027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-15,19:07:18,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Fastball,NA,NA,93.47269,-1.366969,-1.266775,2240.744894,201.051112,12:45:00,5.90314,1.16966,5.92123,-13.56229,18.86745,6.80524,3.5039,0.56105,84.04838,-4.003972,-0.044975,0.409867,-3.85358,10.40032,-1.07191,50,5.78594,2.68219,-135.49607,-3.59025,-7.05193,33.92761,-13.14174,9ed9b6fb-d5d5-4ce1-92aa-6cce216d17ca,NA,NA,NA,NA,NA,822404,"Buettenback, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NEB,1,Top,2,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,5b277850-1a4e-11f0-8139-47e201476834,91.96257,NA,NA,9.42432,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:07:18,2025-04-15T23:07:18Z,2025-04-15T23:07:18Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.57252,-136.63622,16.9638,5.89917,-3.14862,-6.57087,-1.16603,2.91917,-3.52596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-15,19:07:35,"Wendt, Shea",1000137603,Right,CRE_BLU,Undefined,Curveball,NA,NA,74.46018,0.947242,0.312564,1670.256652,33.816553,07:15:00,5.85367,1.03313,5.773,-64.1783,-12.98394,-9.87166,1.38703,0.50135,68.08037,-10.768513,-1.462284,0.514971,5.16044,-6.48906,-1.05281,50,5.89294,-0.23922,-108.13905,-0.21932,6.01513,21.60908,-39.73785,99ec1f62-1ce6-4adc-ab5b-9f4f3da29ec3,NA,NA,NA,NA,NA,822404,"Buettenback, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NEB,1,Top,2,1,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,NEB,TDAmeritrade,D1,BEAST,20250415-TDAmeritrade-1,655d25e0-1a4e-11f0-8139-47e201476834,73.19337,NA,NA,6.37981,NA,NA,NA,e270b6c3-2e64-4ffc-86df-99e8669b8469,2025-04-15,23:07:35,2025-04-15T23:07:35Z,2025-04-15T23:07:35Z,NA,v3,471278,4865,15 April 2025 19:00-nebraska@creighton,"Capece, Connor",806487,Right,CRE_BLU,54.72924,-109.07999,10.80454,5.86481,1.511,-19.86892,-1.03669,-0.50114,3.00757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
