PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-25,14:01:46,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,87.13297,-4.410558,-3.600582,2502.044725,199.856323,12:45:00,6.2134,1.38828,6.06893,-19.20934,17.78261,5.96796,0.51485,-1.45082,79.61256,-8.030613,-2.528552,0.437749,-4.10721,10.81564,-1.11203,50,5.86003,7.68406,-125.95841,-10.27747,-6.57401,26.46835,-14.86247,2ae7aac0-f5bb-42b8-8f56-46f45734b8a2,NA,NA,NA,NA,NA,10294357,"Clear, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RIV_CIT,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,5d293a50-09bc-11f0-9e45-c70966fad4d8,86.10521,NA,NA,7.52041,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:01:46,2025-03-25T21:01:46Z,2025-03-25T21:01:46Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.4295,-126.88579,13.23418,6.211,-9.75673,-7.43123,-1.3853,7.9144,-3.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-25,14:02:05,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,88.59187,-3.04201,-1.808228,2583.564493,214.590511,01:15:00,6.34087,1.44013,6.05883,-16.6354,19.19473,12.35442,2.13487,0.79543,80.22816,-6.232776,0.415783,0.43082,-6.88851,11.18666,-1.30601,50,6.09535,3.53392,-128.36987,-7.26955,-11.36646,29.33648,-13.71531,766f8feb-64ad-4348-b4d9-5ef48223fc67,NA,NA,NA,NA,NA,10294357,"Clear, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RIV_CIT,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,68650d40-09bc-11f0-9e45-c70966fad4d8,87.49001,NA,NA,8.3637,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:02:05,2025-03-25T21:02:05Z,2025-03-25T21:02:05Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.43881,-129.3803,14.66824,6.3376,-6.79716,-6.85766,-1.43448,3.92542,-5.68323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-25,14:02:24,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,87.76192,-3.717279,-2.572463,2505.877585,204.57213,12:45:00,6.24907,1.44403,5.87746,-19.60729,17.19863,7.26685,1.15433,-0.3412,79.70063,-7.417192,-1.26955,0.436647,-4.49418,10.3167,-1.24016,50,5.93669,5.39945,-126.98841,-8.83963,-7.26868,28.31933,-15.48822,ce9a284d-e9a7-4e2b-b267-5f329ecec29f,NA,NA,NA,NA,NA,10294357,"Clear, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RIV_CIT,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,73affb60-09bc-11f0-9e45-c70966fad4d8,86.32249,NA,NA,8.06129,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:02:24,2025-03-25T21:02:24Z,2025-03-25T21:02:24Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.62031,-128.01463,14.15967,6.24685,-8.27838,-7.74411,-1.4406,5.66285,-3.63434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-25,14:02:46,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,87.43813,-4.669816,-2.361412,2618.216433,218.319124,01:15:00,6.25256,1.30879,6.0689,-17.13965,19.91615,14.64261,0.48946,0.34248,79.03527,-7.947722,0.274574,0.438127,-8.29374,12.16489,-1.13339,50,5.88056,4.61265,-126.38871,-10.7842,-13.21378,29.37354,-12.79266,b7e55434-0e82-4156-9855-a1aac533f19e,NA,NA,NA,NA,NA,10294357,"Clear, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,RIV_CIT,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,80bb8540-09bc-11f0-9e45-c70966fad4d8,86.03093,NA,NA,8.40286,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:02:46,2025-03-25T21:02:46Z,2025-03-25T21:02:46Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.42931,-127.41396,14.68677,6.24918,-10.33769,-6.39633,-1.30243,5.07386,-6.60689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-25,14:03:15,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,88.80238,-2.087985,-1.465139,2417.939101,184.234202,12:15:00,6.20208,1.45784,6.02006,-18.08477,17.62481,1.21047,2.75949,0.2013,80.29074,-5.543422,-1.247418,0.430095,-1.0885,10.10678,-1.34371,50,6.02869,3.24346,-128.76952,-5.21011,-1.80334,30.05638,-15.42973,16340bad-1f4d-4dc1-8123-604079b88df5,NA,NA,NA,NA,158.050664,10294357,"Clear, Logan",3514.472264,NA,68.61751,Right,34.748686,NA,NA,NA,NA,44.03669,NA,NA,1.21935,2.84875,-0.166,NA,NA,NA,NA,NA,1,5,RIV_CIT,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,9254ad90-09bc-11f0-9e45-c70966fad4d8,87.63755,27.75677,NA,8.51164,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:03:15,2025-03-25T21:03:15Z,2025-03-25T21:03:15Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.47825,-129.81058,15.02819,6.1999,-4.67566,-7.71487,-1.45714,3.30593,-0.90167,310.272391,1.21935,-76.69705,5.37228,0.54814,-0.14227,-0.09382,0.36292,-0.44445,0.21304,2.84875,57.36189,-26.90481,3.48458,-0.57889,-0.42712,1.29772,-1.55188,0.74105,-0.166,30.90874,-10.18977,1.08611,-0.13185,-0.26093,0.62825,-0.73785,0.35149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-03-25,14:03:39,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,88.10073,-2.672413,-1.290005,2466.374718,189.743566,12:15:00,6.26176,1.39593,6.18986,-15.14843,20.95682,3.37347,2.52952,0.48578,79.55766,-5.61403,-0.681285,0.432471,-2.16169,12.09107,-1.30036,50,6.05249,2.74024,-127.72959,-6.33292,-3.51962,29.85429,-12.48745,d244129d-bea9-44bd-b704-4cb917d598db,NA,NA,NA,NA,15.191676,10294357,"Clear, Logan",NA,NA,69.71032,Right,52.040329,104.76792,87.06372,33.52133,205.88754,198.56931,4.7022,18.08206,1.35365,2.505,-0.49452,NA,NA,NA,NA,NA,1,6,RIV_CIT,1,Top,0,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,a05322f0-09bc-11f0-9e45-c70966fad4d8,87.15607,87.07381,NA,8.54308,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:03:39,2025-03-25T21:03:39Z,2025-03-25T21:03:39Z,Popup,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.30819,-128.73261,14.92715,6.25821,-5.91338,-6.24373,-1.39441,2.85849,-1.75981,200.622195,1.36987,60.30859,-8.35446,-0.67819,2.42409,-1.32999,0.35381,-0.04644,0.0024,2.50144,80.66518,-22.47883,2.04875,-0.1152,-0.20029,0.095,-0.01723,0.00112,-0.50159,16.63124,-0.68724,0.66152,-0.71615,0.33488,-0.07829,0.00886,-3.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-25,14:04:20,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Fastball,NA,NA,87.45247,-2.23125,-2.480172,2453.858312,192.280697,12:30:00,6.22302,1.44197,5.95032,-17.57434,19.28824,3.91744,2.68605,-0.53334,79.267,-5.590797,-1.777265,0.436983,-2.7774,10.96922,-1.24678,50,6.03556,5.32904,-126.74422,-5.43021,-4.47236,28.34019,-14.51059,d3491b9e-3a88-4644-8a50-d80a16d83ded,NA,NA,NA,NA,160.322607,1000242473,"Sobiesiak, Parker",3315.061157,NA,69.54986,Right,33.881154,NA,NA,NA,NA,43.80114,NA,NA,1.29164,2.80611,0.56687,NA,NA,NA,NA,NA,2,1,RIV_CIT,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,b92ed080-09bc-11f0-9e45-c70966fad4d8,86.25611,27.11171,NA,8.18546,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:04:20,2025-03-25T21:04:20Z,2025-03-25T21:04:20Z,NA,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.54825,-127.75717,14.1701,6.22038,-4.91157,-7.2553,-1.44011,5.48889,-2.23618,302.366168,1.29163,-79.73984,5.67338,-0.04739,-0.27567,0.57903,-1.01752,0.95124,-0.31683,2.80611,56.86569,-25.49381,2.90171,-0.69859,0.49072,-0.73278,0.61262,-0.15674,0.56687,28.5156,-10.48502,2.88168,-1.04277,1.4139,-2.44017,2.16737,-0.63861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
8,2025-03-25,14:05:03,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Slider,NA,NA,81.26837,-1.26246,-1.377943,2365.874207,124.546787,10:15:00,6.11781,1.45096,5.54941,-38.09915,4.91032,-5.10945,1.7626,-0.26273,74.52989,-8.240129,-2.290251,0.472012,2.2041,3.23217,-1.32814,50,5.9832,3.03757,-117.94127,-3.87455,3.09028,23.39399,-27.64233,c6d00a35-9ada-4381-8a62-40bfe5b6acdf,NA,NA,NA,NA,-97.965277,1000242473,"Sobiesiak, Parker",NA,NA,72.98021,Right,-63.216839,NA,NA,NA,2.63853,2.63853,0.020263,-16.68038,2.66329,1.9413,0.21311,NA,NA,NA,NA,NA,2,2,RIV_CIT,1,Top,1,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,d290ec20-09bc-11f0-9e45-c70966fad4d8,79.85477,1.9413,NA,6.73848,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:05:03,2025-03-25T21:05:03Z,2025-03-25T21:05:03Z,GroundBall,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.95131,-118.91932,11.69699,6.12103,-2.71888,-13.82117,-1.45243,2.90838,1.54514,NA,2.66335,-6.70143,NA,NA,NA,NA,NA,NA,NA,1.94213,-95.80709,NA,NA,NA,NA,NA,NA,NA,0.21352,-47.89374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-03-25,14:05:40,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Slider,NA,NA,77.18005,-0.266113,-1.092185,2298.222169,128.892976,10:15:00,6.18871,1.48738,5.25633,-38.16864,10.31772,-10.72575,2.7579,-0.43277,70.25369,-7.278637,-2.994944,0.501166,5.06981,5.70441,-1.37883,50,6.13637,2.55065,-111.90542,-1.75466,6.36063,22.19428,-25.0172,b4b6aec3-ca36-4d06-9bf4-f1d3127b2989,NA,NA,NA,NA,-87.496732,1000152695,"Nguyen, Ian",NA,NA,82.44064,Right,-36.480973,NA,NA,NA,5.84454,3.56011,0.043302,-51.480703,3.45538,3.12313,-0.35319,NA,NA,NA,NA,NA,3,1,RIV_CIT,1,Top,2,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,e8b8c450-09bc-11f0-9e45-c70966fad4d8,75.20955,3.12313,NA,6.92636,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:05:40,2025-03-25T21:05:40Z,2025-03-25T21:05:40Z,GroundBall,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,55.24312,-112.9405,11.09714,6.19099,-0.58792,-12.5086,-1.49087,2.25401,3.18031,NA,3.45529,4.26011,NA,NA,NA,NA,NA,NA,NA,3.12477,-72.12437,NA,NA,NA,NA,NA,NA,NA,-0.35097,-97.44514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-03-25,14:06:05,"McGuire, Tommy",1000242452,Right,CYP_CHR,Undefined,Cutter,NA,NA,81.09741,-0.517317,-1.269963,2428.013169,93.284036,09:00:00,6.29436,1.43408,5.59684,-41.18601,1.57732,-5.29142,2.37907,-0.19277,74.90128,-8.039359,-2.215592,0.47066,2.3702,1.26032,-1.32158,50,6.22286,2.81576,-117.84403,-2.44668,3.34342,21.74219,-30.39627,5ad550c6-321c-4dba-8739-2bb6006e5773,NA,NA,NA,NA,15.744161,1000152695,"Nguyen, Ian",NA,NA,54.3696,Right,-17.332283,NA,NA,NA,10.96825,10.83057,0.102299,11.616714,3.38265,2.62705,0.09172,NA,NA,NA,NA,NA,3,2,RIV_CIT,1,Top,2,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,CYP_CHR,RIV_CIT,CypressCollege,JUCO,NJCAA,20250325-CypressCollege-1,f78b0470-09bc-11f0-9e45-c70966fad4d8,80.08425,2.62705,NA,6.19613,NA,NA,NA,b31bc4e4-41f7-47e3-8931-d87a47f83269,2025-03-25,21:06:05,2025-03-25T21:06:05Z,2025-03-25T21:06:05Z,GroundBall,v3,CYP,NA,NA,"Norman, Nate",1000299441,R,CYP_CHR,54.90563,-118.74567,10.8711,6.29819,-1.18616,-15.19814,-1.43548,2.67711,1.67171,330.464992,3.38269,73.26084,-12.7731,NA,NA,NA,NA,NA,NA,2.62717,-23.77167,-18.67756,NA,NA,NA,NA,NA,NA,0.0917,20.65824,0.34513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
