PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-18,18:05:23,"Harris, Grayden",1000390608,Left,SOU_GOL,Undefined,Fastball,NA,NA,92.78858,-2.301015,5.256151,2082.921102,123.648607,10:00:00,5.02608,-2.463,6.78443,-21.28289,10.54394,-14.19009,1.14192,1.16631,84.23083,-6.352196,2.680141,0.406039,9.15957,6.6078,2.12555,50,4.86777,-11.81471,-134.30115,-6.01968,16.58065,31.4971,-20.21264,c4110ab9-e787-47ad-9770-be773ffc9e5b,NA,NA,NA,NA,NA,831241,"Maginnis, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GEO_PAN,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,9c503bc0-1ca9-11f0-aeb9-5f0d11b20b29,92.8295,NA,NA,8.55774,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:05:23,2025-04-18T23:05:23Z,2025-04-18T23:05:23Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Odom, Lawson",1000320688,Right,SOU_GOL,53.71469,-135.16954,15.74855,5.02605,-5.46241,-10.10632,2.45759,-12.27184,8.29033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-18,18:05:37,"Harris, Grayden",1000390608,Left,SOU_GOL,Undefined,Fastball,NA,NA,91.18991,0.4611,4.62066,1960.197118,135.13326,10:30:00,4.93411,-2.63867,6.80882,-19.57312,13.29296,-12.10796,3.72514,0.5777,82.40824,-3.306269,2.420648,0.412615,7.87367,7.23563,2.34393,50,4.95648,-10.22741,-132.18467,0.55513,13.78396,30.95033,-19.50708,cd11ff86-c78c-4810-af19-b49f7b260426,NA,NA,NA,NA,-40.057935,831241,"Maginnis, Michael",2549.531427,NA,112.58734,Right,13.643566,81.0722,20.58498,-74.34576,253.13733,246.71968,2.033964,-46.58847,2.14643,3.72978,-0.40573,NA,NA,NA,NA,NA,1,2,GEO_PAN,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,a468fcc0-1ca9-11f0-aeb9-5f0d11b20b29,91.35008,21.15512,NA,8.78167,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:05:37,2025-04-18T23:05:37Z,2025-04-18T23:05:37Z,LineDrive,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Odom, Lawson",1000320688,Right,SOU_GOL,53.6895,-133.04574,15.47517,4.93348,1.09784,-9.75354,2.6338,-10.610900000000001,6.89198,NA,2.14644,122.8211,-29.76317,8.28582,-2.17938,0.53989,-0.1172,0.01842,-0.00149,3.72978,38.95065,-23.6179,2.33119,-0.364,0.04866,-0.00575,5.4e-4,1e-5,-0.40572,-103.27136,8.0792,-0.88801,-0.00886,0.04029,-0.01315,0.00257,-2.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-04-18,18:05:59,"Harris, Grayden",1000390608,Left,SOU_GOL,Undefined,Fastball,NA,NA,91.5294,-0.511095,4.228662,1954.91065,115.834296,09:45:00,5.0055,-2.44597,6.83909,-23.08297,9.09075,-16.71836,2.61454,0.024140000000000002,83.7938,-4.891497,1.183442,0.408246,10.07402,5.26422,2.1804,50,4.96409,-9.20824,-132.91241,-1.84264,18.05018,28.05147,-22.74182,010f6f19-8542-415c-a80c-b90444bd9bfc,NA,NA,NA,NA,-39.102336,831241,"Maginnis, Michael",NA,NA,106.41665,Right,-7.93405,NA,NA,NA,18.64396,17.54535,0.112643,-35.477532,2.09679,2.70724,0.07599,NA,NA,NA,NA,NA,1,3,GEO_PAN,1,Top,0,1,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,b1afbae0-1ca9-11f0-aeb9-5f0d11b20b29,92.32776,2.70724,NA,7.7356,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:05:59,2025-04-18T23:05:59Z,2025-04-18T23:05:59Z,GroundBall,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Odom, Lawson",1000320688,Right,SOU_GOL,53.66132,-133.6829,14.02573,5.00613,-1.21799,-11.37091,2.44013,-9.70403,9.02509,59.151625,2.09728,119.90321,-33.21225,NA,NA,NA,NA,NA,NA,2.70756,-21.58109,-21.82423,NA,NA,NA,NA,NA,NA,0.07607,-97.50557,6.81866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-04-18,18:06:32,"Harris, Grayden",1000390608,Left,SOU_GOL,Undefined,Fastball,NA,NA,92.40814,-0.389373,3.822646,1955.47997,110.62303,09:45:00,5.09165,-2.41693,6.81062,-24.38352,7.20485,-16.54292,2.70362,-0.3024,84.58378,-5.002585,0.808372,0.404515,9.84367,4.22193,2.17549,50,5.05737,-8.34257,-134.24159,-1.63224,17.98121,28.77848,-24.4619,e2cf1131-bd40-4c3d-bc2f-db5ec8766dfb,NA,NA,NA,NA,NA,807461,"Freeman, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GEO_PAN,1,Top,1,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,c5363440-1ca9-11f0-aeb9-5f0d11b20b29,93.17927,NA,NA,7.82436,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:06:32,2025-04-18T23:06:32Z,2025-04-18T23:06:32Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Odom, Lawson",1000320688,Right,SOU_GOL,53.68951,-135.03022,14.38924,5.09291,-0.9619,-12.23095,2.41086,-8.83532,8.9906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-18,18:07:07,"Harris, Grayden",1000390608,Left,SOU_GOL,Undefined,Fastball,NA,NA,92.01567,-0.800182,3.910682,1990.858392,122.521262,10:00:00,4.86591,-2.47916,6.96332,-22.01324,9.68378,-13.63879,2.30174,-0.05236,84.20952,-4.993105,1.419455,0.40521,8.40221,5.68548,2.24112,50,4.80861,-8.64193,-133.66744,-2.47362,15.20627,28.72533,-21.88453,83d7b13b-df31-4a0e-93ef-e51c8a99c4d9,NA,NA,NA,NA,-13.367226,831240,"Hynek, Colin",NA,NA,98.61389,Right,-30.863333,NA,NA,NA,4.92066,4.92066,0.030647,-9.776287,1.1413,2.27761,0.04557,NA,NA,NA,NA,NA,3,1,GEO_PAN,1,Top,2,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,da465ae0-1ca9-11f0-aeb9-5f0d11b20b29,93.01944,2.27761,NA,7.80616,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:07:07,2025-04-18T23:07:07Z,2025-04-18T23:07:07Z,GroundBall,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Odom, Lawson",1000320688,Right,SOU_GOL,53.53676,-134.42535,14.36266,4.86626,-1.8962,-10.94226,2.47443,-9.04314,7.60313,NA,1.14032,120.98678,NA,NA,NA,NA,NA,NA,NA,2.27822,-74.31735,NA,NA,NA,NA,NA,NA,NA,0.0458,-28.74999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-04-18,18:10:08,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.52611,-1.180288,3.045706,1978.066199,154.931522,11:15:00,5.58437,-1.6282,6.81562,-16.55497,17.11143,-7.50851,3.12628,0.52746,81.85349,-4.379976,1.677132,0.417609,4.80292,9.70938,1.43409,50,5.50152,-6.63667,-130.05592,-3.07278,8.22902,27.19198,-15.53865,97821b31-6a69-48a4-9e2a-b88d093e5000,NA,NA,NA,NA,NA,1000187787,"Cook, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_GOL,1,Bottom,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,461402e0-1caa-11f0-aeb9-5f0d11b20b29,90.25776,NA,NA,7.67262,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:10:08,2025-04-18T23:10:08Z,2025-04-18T23:10:08Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Hynek, Colin",831240,Right,GEO_PAN,53.68158,-130.8234,13.59599,5.58206,-2.63421,-7.76932,1.62469,-6.86893,4.11451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-18,18:10:27,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.97984,-3.005617,2.119712,2148.533481,139.230655,10:45:00,5.6226,-1.71158,6.83736,-15.6204,17.31477,-13.93158,1.57547,-0.93854,82.47614,-6.041593,-0.425236,0.413049,8.06634,10.47323,1.58023,50,5.42373,-4.36221,-132.03466,-7.29946,14.07457,31.15025,-13.89981,3522d1d5-6e85-4da4-ab32-18d48bf7786c,NA,NA,NA,NA,NA,1000187787,"Cook, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SOU_GOL,1,Bottom,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,5177a920-1caa-11f0-aeb9-5f0d11b20b29,91.25419,NA,NA,8.5037,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:10:27,2025-04-18T23:10:27Z,2025-04-18T23:10:27Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Hynek, Colin",831240,Right,GEO_PAN,53.66057,-132.89548,15.57513,5.62014,-6.91534,-6.94991,1.70615,-4.75115,7.03729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-18,18:10:44,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.30416,-1.687862,3.693997,2046.431495,145.326105,10:45:00,5.6534,-1.66029,6.73416,-17.43784,15.97099,-10.27949,2.65427,0.86324,82.18507,-5.048386,1.824701,0.416009,6.4676,9.2489,1.42,50,5.53483,-8.05677,-130.99886,-4.3012,11.18691,28.86506,-16.1764,a956a243-a161-47ce-aa70-bc40c356d559,NA,NA,NA,NA,NA,1000187787,"Cook, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SOU_GOL,1,Bottom,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,5b984810-1caa-11f0-aeb9-5f0d11b20b29,90.60497,NA,NA,8.11909,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:10:44,2025-04-18T23:10:44Z,2025-04-18T23:10:44Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Hynek, Colin",831240,Right,GEO_PAN,53.7624,-131.82528,14.43253,5.65134,-3.83806,-8.0882,1.65525,-8.37706,5.59346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-18,18:11:06,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.85758,-0.556844,3.628404,2107.730068,147.558504,11:00:00,5.60088,-1.91625,7.05422,-18.15635,14.98422,-8.86339,3.5811,0.64482,82.1037,-4.063448,2.007013,0.414335,5.75863,8.49315,1.69966,50,5.56092,-7.96196,-130.5501,-1.69986,9.93297,27.62153,-17.52436,272cad77-88b1-4586-910d-29928208ca97,NA,NA,NA,NA,4.032051,1000187787,"Cook, Jake",NA,NA,94.03477,Left,-19.337892,NA,NA,NA,10.77584,10.77584,0.080461,1.011192,0.44808,3.563,-0.64486,NA,NA,NA,NA,NA,1,4,SOU_GOL,1,Bottom,0,1,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,68c62700-1caa-11f0-aeb9-5f0d11b20b29,90.97098,3.563,NA,7.75387,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:11:06,2025-04-18T23:11:06Z,2025-04-18T23:11:06Z,GroundBall,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Hynek, Colin",831240,Right,GEO_PAN,53.4442,-131.2768,13.81076,5.59957,-1.23881,-8.76218,1.91257,-8.22328,4.96648,211.791792,0.4481,129.81019,-18.31606,NA,NA,NA,NA,NA,NA,3.56282,-45.64105,16.95331,NA,NA,NA,NA,NA,NA,-0.64499,9.17201,15.03013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-18,18:11:45,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,91.16064,0.458555,2.359522,2019.845015,141.91767,10:45:00,5.66793,-1.67972,6.7329,-18.36257,14.3852,-10.42284,4.55711,-0.39095,82.6854,-3.081641,0.460968,0.411872,6.15378,7.7702,1.52743,50,5.69067,-5.04151,-132.42533,0.58713,10.85425,30.05114,-18.46872,23a6db87-955b-47a1-aa0d-b31bbfa487bb,NA,NA,NA,NA,NA,823809,"Monistere, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_GOL,1,Bottom,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,GEO_PAN,HillDensonField,D1,SBELT,20250418-HillDensonField-1,7fc94400-1caa-11f0-aeb9-5f0d11b20b29,91.51495,NA,NA,8.47524,NA,NA,NA,69dc27a8-ea9d-4899-b9a9-329ea802beea,2025-04-18,23:11:45,2025-04-18T23:11:45Z,2025-04-18T23:11:45Z,NA,v3,471449,471304,18 April 2025 19:00-georgiast@smiss,"Hynek, Colin",831240,Right,GEO_PAN,53.76301,-133.27653,15.02557,5.66663,1.11025,-9.23436,1.67459,-5.34896,5.42713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
