PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-19,13:03:52,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000390892,"Miller, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,COL_CUG,1,Top,0,0,0,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,449ce210-1d40-11f0-b810-d300c93bed67,NA,NA,NA,NA,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:03:52,2025-04-19T17:03:52Z,2025-04-19T17:03:52Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-04-19,13:03:53,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,ChangeUp,NA,NA,76.91215,0.668543,1.215102,1983.801062,68.097841,08:15:00,6.40124,0.51032,4.99681,-50.10798,-1.22858,-6.89693,2.85694,1.08295,70.64958,-8.393166,-0.004184,0.503193,3.7504,-0.31252,-0.62136,50,6.42486,-2.08639,-111.58801,-0.46974,4.72376,20.2801,-32.56768,8ee24471-69fd-4501-a5ac-0c93093673a1,NA,NA,NA,NA,NA,1000390892,"Miller, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COL_CUG,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,47702650-1d40-11f0-b810-d300c93bed67,74.90658,NA,NA,6.26257,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:03:53,2025-04-19T17:03:53Z,2025-04-19T17:03:53Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,55.50356,-112.58379,10.14005,6.40866,1.12938,-16.28384,-0.51323,-2.31833,2.36188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-19,13:04:04,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,86.57583,-3.585677,0.20695,2065.860311,226.797296,01:30:00,6.58088,0.36969,5.31757,-21.79848,16.48359,16.21406,1.39467,1.9151,79.32442,-7.61407,3.087804,0.445317,-8.05784,9.66193,-0.40052,50,6.24025,-1.16626,-125.41867,-8.58867,-12.80791,25.8576,-16.81639,dbb5dde2-2903-47cf-98e1-bbec80dee7ce,NA,NA,NA,NA,NA,1000390892,"Miller, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,COL_CUG,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,4e1ed000-1d40-11f0-b810-d300c93bed67,84.64183,NA,NA,7.25141,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:04:04,2025-04-19T17:04:04Z,2025-04-19T17:04:04Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,55.18162,-126.48245,12.9288,6.57936,-7.89684,-8.4082,-0.36338,-0.63934,-6.40395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-19,13:04:20,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Curveball,NA,NA,77.11037,1.758207,0.411719,2045.910985,85.326653,08:45:00,6.38112,0.5082,5.23096,-47.55487,1.06827,-7.22063,4.07155,0.29351,70.03406,-6.935074,-0.869014,0.501872,3.69803,0.54807,-0.54062,50,6.50802,-0.50913,-111.76123,1.80343,4.63365,21.89699,-31.48729,0e61b27a-2eae-45c6-8bb3-3d5e17e7ab17,NA,NA,NA,NA,NA,1000390892,"Miller, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,COL_CUG,1,Top,0,2,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,579b3fb0-1d40-11f0-b810-d300c93bed67,75.10369,NA,NA,7.07631,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:04:20,2025-04-19T17:04:20Z,2025-04-19T17:04:20Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,55.26676,-112.7884,10.94849,6.38877,3.28049,-15.74365,-0.51163,-0.7265,2.31682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-19,13:04:34,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,86.93834,-2.121007,-0.309141,2097.394794,234.588284,01:45:00,6.50357,0.28053,5.61803,-22.68789,15.43438,19.67375,2.63248,1.63149,78.15214,-6.389952,3.205582,0.444386,-10.11359,8.96308,-0.2673,50,6.30833,-0.16151,-125.94256,-5.38321,-15.88644,30.82539,-18.09487,c4fd32b1-ba56-485c-9abd-2fbca7d4c1ec,NA,NA,NA,NA,-115.070378,1000390892,"Miller, Luke",4640.095415,NA,62.67377,Left,52.367593,NA,NA,NA,NA,23.96708,NA,NA,1.57921,2.85052,-1.77527,NA,NA,NA,NA,NA,1,5,COL_CUG,1,Top,0,3,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,60340620-1d40-11f0-b810-d300c93bed67,84.81905,29.43656,NA,8.78621,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:04:34,2025-04-19T17:04:34Z,2025-04-19T17:04:34Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,54.88034,-127.13145,15.41269,6.5025,-4.68532,-9.04743,-0.27288,0.45121,-7.94322,NA,1.58323,-23.91072,-1.64376,NA,NA,NA,NA,NA,NA,2.85975,72.50478,-23.20034,NA,NA,NA,NA,NA,NA,-1.7797,-50.69901,5.57602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-04-19,13:04:51,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,88.50282,-2.380699,-0.984498,2102.998996,219.533912,01:15:00,6.56407,0.37754,5.69692,-18.60505,17.91139,13.6715,2.79345,0.59929,79.78628,-5.916993,1.461108,0.434926,-7.28634,10.27166,-0.30365,50,6.35281,1.61403,-128.2335,-5.89228,-11.93224,30.60175,-15.35302,f155aed5-b0fb-4266-a47b-8f1557becfbd,NA,NA,NA,NA,5.082097,1000390892,"Miller, Luke",1576.502297,NA,98.89084,Left,26.372582,109.61892,48.93031,9.14679,381.30914,375.74825,4.441059,4.117635,2.19701,2.90864,-0.56673,NA,NA,NA,NA,NA,1,6,COL_CUG,1,Top,0,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,6a885f40-1d40-11f0-b810-d300c93bed67,86.66399,67.59423,NA,8.71655,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:04:51,2025-04-19T17:04:51Z,2025-04-19T17:04:51Z,FlyBall,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,54.80124,-129.3742,15.30088,6.56178,-5.31999,-7.67651,-0.37211,2.05881,-5.96612,183.975114,2.19675,129.44177,-21.36405,5.2277,-1.23956,0.29589,-0.06131,0.00823,-4.8e-4,2.90992,64.39474,-17.52822,0.62865,0.25693,-0.186,0.05637,-0.00817,4.6e-4,-0.56703,11.51937,-1.31542,-0.10091,0.04168,0.01089,-0.00748,0.0014,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-19,13:05:23,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Curveball,NA,NA,78.68332,0.379476,0.470669,2160.735186,64.783612,08:15:00,6.31682,0.5992,5.30878,-46.93329,-0.77803,-4.74878,2.76194,0.64528,72.24306,-8.160945,-0.373894,0.48897,2.50189,-0.01768,-0.63838,50,6.31734,-0.74637,-114.22446,-0.87427,3.30014,21.35415,-32.19735,5ef29377-27a4-4251-a2b0-0af7b8b0a2ed,NA,NA,NA,NA,NA,10012101,"Rubin, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,COL_CUG,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,7d4742e0-1d40-11f0-b810-d300c93bed67,77.08543,NA,NA,6.44026,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:05:23,2025-04-19T17:05:23Z,2025-04-19T17:05:23Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,55.19103,-115.19083,10.67708,6.32393,0.58281,-16.09868,-0.60123,-0.89572,1.65007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-19,13:05:34,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Curveball,NA,NA,74.57977,-0.033492,-0.851894,2357.59096,68.01505,08:15:00,6.14403,0.72824,5.20925,-52.63723,-0.61736,-5.93028,1.7261,-0.56714,68.18094,-9.590448,-1.905258,0.519106,2.69701,0.22957,-0.64481,50,6.10144,1.83624,-108.15058,-1.80737,3.15972,20.76996,-31.90509,450a1677-55e6-4b55-b455-7a7b9604df2a,NA,NA,NA,NA,NA,10012101,"Rubin, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,COL_CUG,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,83c14800-1d40-11f0-b810-d300c93bed67,72.61031,NA,NA,6.39884,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:05:34,2025-04-19T17:05:34Z,2025-04-19T17:05:34Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,55.29022,-109.16182,10.38498,6.15162,-0.25399,-15.95254,-0.73047,1.6824,1.57986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-19,13:05:46,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,88.49153,-1.958866,-0.761173,2106.871644,219.228951,01:15:00,6.59902,0.15359,5.55671,-19.03324,17.79064,13.3882,3.18178,0.55802,79.48449,-5.574661,1.627393,0.436753,-7.04004,10.05193,-0.09698,50,6.41766,1.11391,-128.17793,-4.97233,-11.4791,31.41285,-15.78391,811b5ff7-7e6f-4b0c-8138-889d0a41e4b8,NA,NA,NA,NA,-167.780231,10012101,"Rubin, Andrew",5129.884956,NA,72.25358,Right,72.080877,NA,NA,NA,NA,19.53939,NA,NA,1.75268,3.28493,-0.54114,NA,NA,NA,NA,NA,2,3,COL_CUG,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,8b0b4750-1d40-11f0-b810-d300c93bed67,86.30145,53.76067,NA,9.00703,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:05:46,2025-04-19T17:05:46Z,2025-04-19T17:05:46Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,54.94085,-129.38313,15.70642,6.59681,-4.36676,-7.89196,-0.14817,1.55432,-5.73955,2.916001,1.75268,-31.86664,-4.20307,2.12166,1.91386,-9.84247,20.09411,-20.07612,7.90348,3.28493,100.83092,-33.36372,4.65199,0.32632,-4.88126,10.04028,-9.90809,3.85147,-0.54114,-6.90123,0.64782,-0.0085,0.12662,-0.56991,1.16797,-1.17504,0.46554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-04-19,13:06:01,"Wilson, Bradley",10008532,Right,GEO_COL1,Undefined,Fastball,NA,NA,89.25616,-0.92511,-1.417269,2179.829169,177.813542,12:00:00,6.7416,0.09377,5.83239,-14.14135,21.40521,-0.76941,4.7029,-1.28802,80.57175,-3.672921,-1.555108,0.429111,-0.05264,11.52615,0.02233,50,6.65769,3.23607,-129.41746,-2.44301,-0.08825,29.87518,-12.848,262ce6fc-1d3d-4a43-b956-7ee46dda47be,NA,NA,NA,NA,NA,10012101,"Rubin, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,COL_CUG,1,Top,1,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_COL1,COL_CUG,JohnKurtzField,D2,Team,20250419-JohnKurtzField-1,93e00550-1d40-11f0-b810-d300c93bed67,87.83836,NA,NA,8.68442,NA,NA,NA,dbd01f17-2e10-4921-a830-5b2ba3a1810a,2025-04-19,17:06:01,2025-04-19T17:06:01Z,2025-04-19T17:06:01Z,NA,v3,NA,NA,NA,"Bestermann, Rand",1000411026,Right,GEO_COL1,54.66277,-130.48939,14.93759,6.73708,-1.98202,-6.424,-0.09384,3.23923,-0.04412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
