PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-19,15:36:17,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,94.8294,-3.662699,-4.538688,2459.983966,229.171012,01:45:00,6.54148,2.26306,5.19287,-16.5595,15.35717,16.64265,1.70044,-0.62858,87.26715,-6.735837,-1.601621,0.406612,-9.44611,8.8843,-1.85431,50,6.18793,10.07605,-137.09097,-9.41,-18.14298,27.68116,-15.11012,38e333ab-d45d-476f-b55f-87d139113df1,NA,NA,NA,NA,NA,10296755,"Walker, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ULM_WAR,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,f24222f0-1d5d-11f0-822b-f516a4c6a76d,92.69878,NA,NA,7.56225,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:36:17,2025-04-19T20:36:17Z,2025-04-19T20:36:17Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.30863,-138.15872,13.84058,6.53966,-8.82716,-7.55506,-2.25647,10.77588,-9.07149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-19,15:36:34,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Slider,NA,NA,87.84752,-2.756395,-2.569278,2415.87779,159.892727,11:15:00,6.38438,2.38001,5.19776,-33.65254,3.23284,-0.80551,0.98267,-0.10545,81.71852,-8.822933,-2.712062,0.437118,-0.22709,2.58768,-2.14109,50,6.10275,5.7528,-127.41991,-7.43392,-0.37753,23.44609,-27.87232,3876f657-53aa-42fa-b6f0-0385d5632d4e,NA,NA,NA,NA,NA,10296755,"Walker, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ULM_WAR,1,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,fc575030-1d5d-11f0-822b-f516a4c6a76d,86.22946,NA,NA,6.129,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:36:34,2025-04-19T20:36:34Z,2025-04-19T20:36:34Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.30463,-128.39229,11.72304,6.38709,-6.27798,-13.93616,-2.38,5.76845,-0.18877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-19,15:36:49,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Slider,NA,NA,88.99495,-3.965,-3.940736,2380.693633,194.595674,12:30:00,6.35289,2.40804,5.1273,-29.87647,6.33985,1.38299,0.11391,-1.19416,82.79349,-9.33615,-3.696524,0.433135,-1.66492,4.43236,-2.03851,50,5.95573,8.80715,-128.7363,-10.09899,-2.82602,23.86333,-24.65064,a73a3180-f6b0-4f5b-81be-4b8d00d5692e,NA,NA,NA,NA,NA,10296755,"Walker, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ULM_WAR,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,052de2f0-1d5e-11f0-822b-f516a4c6a76d,87.02229,NA,NA,6.20146,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:36:49,2025-04-19T20:36:49Z,2025-04-19T20:36:49Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.3751,-129.72884,11.93166,6.35445,-9.07371,-12.32532,-2.40727,8.92469,-1.41301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-19,15:37:07,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,95.21768,-1.058607,-3.655336,2405.694843,225.041533,01:30:00,6.46398,2.21747,5.14054,-16.14257,15.6056,14.61717,4.11982,-0.01104,86.90027,-4.081265,-1.07528,0.405537,-8.24674,8.34784,-1.88633,50,6.35257,8.08556,-137.92886,-3.13938,-15.92418,29.99961,-16.05465,fdcb7695-891a-4e42-89cf-40d6e09bbbfd,NA,NA,NA,NA,NA,10296755,"Walker, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ULM_WAR,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,1020ed10-1d5e-11f0-822b-f516a4c6a76d,92.94444,NA,NA,8.31741,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:37:07,2025-04-19T20:37:07Z,2025-04-19T20:37:07Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.35934,-139.08964,14.99981,6.46203,-2.51818,-8.02732,-2.2111,8.70171,-7.96209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-19,15:37:25,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,95.30577,-2.469491,-3.999751,2379.385009,226.615124,01:30:00,6.37247,2.39992,5.1211,-16.05099,15.6921,15.53272,2.7016,-0.07942,87.17211,-5.465943,-1.26,0.405505,-8.86607,8.79217,-2.03615,50,6.12761,8.89262,-137.94296,-6.55492,-17.13584,29.79938,-15.18106,d8a1ec56-25d1-48c2-9357-57ffa268cdca,NA,NA,NA,NA,-4.14287,10296755,"Walker, Isaiah",1324.455442,NA,97.95417,Right,-1.767669,NA,NA,NA,40.32957,38.06021,0.276628,-3.794182,1.94216,2.88793,0.05781,NA,NA,NA,NA,NA,1,5,ULM_WAR,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,1b1a86e0-1d5e-11f0-822b-f516a4c6a76d,92.95188,2.88793,NA,8.13366,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:37:25,2025-04-19T20:37:25Z,2025-04-19T20:37:25Z,GroundBall,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.38065,-139.10047,14.89969,6.37077,-5.96524,-7.59053,-2.3945,9.55824,-8.56792,354.555468,1.94403,143.13273,-16.97705,NA,NA,NA,NA,NA,NA,2.89046,-4.55307,-21.34546,NA,NA,NA,NA,NA,NA,0.05753,-10.36097,1.83145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
6,2025-04-19,15:38:04,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,94.48486,-3.30233,-5.464412,2295.252676,220.73205,01:15:00,6.42698,2.2527,5.35599,-15.88773,16.80536,13.4267,1.98829,-1.76885,85.13781,-6.309992,-3.094795,0.411528,-8.37504,9.78079,-1.76953,50,6.11746,12.35992,-136.12432,-8.41495,-15.52694,33.20758,-14.04085,11676683-3d0a-4ab1-9415-f959f9057f47,NA,NA,NA,NA,NA,1000121612,"Dupont, Kade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ULM_WAR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,3233c3f0-1d5e-11f0-822b-f516a4c6a76d,91.59139,NA,NA,9.34705,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:38:04,2025-04-19T20:38:04Z,2025-04-19T20:38:04Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.14064,-137.37266,16.60379,6.42387,-7.88713,-7.02042,-2.24513,12.94361,-7.76347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-19,15:39:40,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,93.3522,-2.356207,-4.464969,2186.283006,206.491987,01:00:00,6.47098,2.14774,5.4797,-12.69536,19.89745,9.41386,3.20037,-1.25412,85.58059,-4.776314,-2.7967,0.410896,-5.88268,10.9291,-1.76159,50,6.255,10.10876,-135.1062,-5.95376,-10.94384,27.64961,-11.8421,1c7c093c-b3fb-4bea-aec0-7cec3cf7d950,NA,NA,NA,NA,NA,1000121612,"Dupont, Kade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ULM_WAR,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,6b36cc10-1d5e-11f0-822b-f516a4c6a76d,91.73224,NA,NA,7.77161,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:39:40,2025-04-19T20:39:40Z,2025-04-19T20:39:40Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.01987,-136.12964,13.82481,6.46726,-5.51542,-5.92105,-2.14326,10.51384,-5.47192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-19,15:39:59,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,93.87422,-2.966199,-4.016417,2203.422675,225.839703,01:30:00,6.35978,2.39334,5.407,-17.79969,14.5743,13.95355,2.08791,-0.2133,86.0378,-6.282823,-1.541873,0.409515,-8.0528,8.42024,-2.04513,50,6.08257,8.87567,-135.84646,-7.68573,-15.11349,28.54928,-16.37096,e6387154-7285-4da6-91ec-0739dc8da69f,NA,NA,NA,NA,NA,1000121612,"Dupont, Kade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ULM_WAR,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,76c37e20-1d5e-11f0-822b-f516a4c6a76d,92.04172,NA,NA,7.83642,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:39:59,2025-04-19T20:39:59Z,2025-04-19T20:39:59Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.09293,-136.9126,14.27464,6.35817,-7.07437,-8.18548,-2.38712,9.44007,-7.55675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-19,15:40:19,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,93.91011,-2.44349,-3.38747,2138.696243,239.547422,02:00:00,6.27221,2.52917,5.2327,-20.78639,11.6441,18.10658,2.23769,0.85008,86.25873,-6.275504,-0.181549,0.409872,-10.00245,6.76473,-2.23127,50,6.03139,7.20274,-136.08938,-6.61137,-18.86045,28.34334,-19.41862,504411eb-e6b6-4671-a4af-40f9abea6afd,NA,NA,NA,NA,NA,1000121612,"Dupont, Kade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ULM_WAR,1,Top,0,2,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,823c3300-1d5e-11f0-822b-f516a4c6a76d,91.96153,NA,NA,7.65139,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:40:19,2025-04-19T20:40:19Z,2025-04-19T20:40:19Z,NA,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.26966,-137.1825,14.17167,6.27193,-5.86245,-9.70931,-2.52309,7.93013,-9.43022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-19,15:41:05,"Dill, Jay",701839,Right,TRO_TRJ,Undefined,Fastball,NA,NA,93.71483,-2.91055,-3.854821,2231.27542,230.181056,01:45:00,6.30562,2.43725,5.26563,-18.2284,14.43796,16.06741,2.04375,0.14936,85.81996,-6.298251,-1.011436,0.41136,-9.13225,8.33111,-2.09659,50,6.02538,8.38564,-135.64218,-7.57676,-17.06328,28.86524,-16.60766,0edd49a5-5f10-4063-8a63-78b1efcde1f1,NA,NA,NA,NA,-29.48329,1000121612,"Dupont, Kade",NA,NA,88.60104,Right,-19.362055,NA,NA,NA,7.51453,1.77308,0.048011,-23.922238,1.73602,2.07214,-0.14498,NA,NA,NA,NA,NA,2,5,ULM_WAR,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Out,2,0,NA,TRO_TRJ,ULM_WAR,RiddlePaceField,D1,SBELT,20250419-RiddlePaceField-1,9dd504c0-1d5e-11f0-822b-f516a4c6a76d,91.62894,2.07214,NA,7.89487,NA,NA,NA,961e4062-0507-428b-92fb-d5a367d2ec97,2025-04-19,20:41:05,2025-04-19T20:41:05Z,2025-04-19T20:41:05Z,GroundBall,v3,471470,471389,19 April 2025 16:33-ulamo@troy,"Hawkins, Jason",1000094188,Right,TRO_TRJ,55.23606,-136.7519,14.43262,6.3044,-6.93828,-8.30383,-2.43158,9.04163,-8.53164,NA,1.73453,106.91366,NA,NA,NA,NA,NA,NA,NA,2.07273,-43.15992,NA,NA,NA,NA,NA,NA,NA,-0.14415,-60.44769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
