PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-19,13:00:49,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,86.10404,-1.226282,-1.397041,2261.533218,213.582553,01:00:00,5.01124,1.71974,5.33675,-21.60029,17.4708,10.64816,2.06017,1.29609,77.56215,-5.294109,0.494299,0.449883,-5.77784,9.55788,-1.60153,50,4.88559,2.56982,-124.71571,-3.36467,-8.96042,28.67471,-17.35144,6b356731-1c91-485a-8c9c-adae2848fcda,NA,NA,NA,NA,NA,10061464,"Cruz, Jesus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,EC,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,d8b12ac0-1d3f-11f0-b658-ed7228632821,83.78283,NA,NA,8.5419,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:00:49,2025-04-19T17:00:49Z,2025-04-19T17:00:49Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,55.16192,-125.89695,14.33736,5.00948,-2.64988,-8.67572,-1.71499,2.93894,-4.48021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-19,13:01:05,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,86.6035,-3.638797,-2.205021,2282.713861,211.936465,01:00:00,4.95142,1.7439,5.52675,-21.12316,17.65749,10.04993,-0.21788,0.51888,77.67902,-7.622304,-0.413721,0.448207,-5.9828,10.6817,-1.55938,50,4.62091,4.40722,-125.18049,-8.62923,-9.25533,31.1724,-15.64958,6eaafa8a-fdf5-4727-bb89-515ffdb6cf61,NA,NA,NA,NA,NA,10061464,"Cruz, Jesus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,EC,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,e254d180-1d3f-11f0-b658-ed7228632821,84.096,NA,NA,8.92448,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:01:05,2025-04-19T17:01:05Z,2025-04-19T17:01:05Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.9757,-126.41347,15.5862,4.94999,-8.01023,-7.82479,-1.74094,4.7733,-4.62767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-19,13:01:26,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,87.05423,-0.453295,-2.512957,2323.179704,213.625344,01:00:00,4.94844,1.73333,5.60257,-19.01288,18.88056,11.6289,2.94043,0.35484,78.21918,-4.083178,-0.439807,0.443051,-6.64898,10.07237,-1.52549,50,4.89762,5.01837,-126.06906,-1.55762,-10.53219,29.39479,-16.21912,2682851b-653a-4dda-85b5-f06bf385a372,NA,NA,NA,NA,NA,10061464,"Cruz, Jesus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,EC,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,ee43eee0-1d3f-11f0-b658-ed7228632821,85.07476,NA,NA,8.83505,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:01:26,2025-04-19T17:01:26Z,2025-04-19T17:01:26Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.89504,-127.20529,14.6974,4.94571,-0.93069,-8.10956,-1.72734,5.42548,-5.26609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-19,13:01:50,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,86.61649,-0.950653,-4.1338,2273.432117,242.271133,02:00:00,5.07761,1.52221,5.55533,-26.96167,11.38654,19.01084,1.94011,-0.76293,78.14403,-5.977612,-0.752214,0.445701,-10.85138,6.45618,-1.17686,50,4.97772,8.22158,-125.29291,-2.9959,-17.02717,28.36083,-22.04347,58d91e69-efae-4148-b82c-dfc0eaf0880a,NA,NA,NA,NA,NA,10061464,"Cruz, Jesus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,EC,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,fca5b9f0-1d3f-11f0-b658-ed7228632821,84.56881,NA,NA,8.47247,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:01:50,2025-04-19T17:01:50Z,2025-04-19T17:01:50Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.94459,-126.4072,14.18042,5.07841,-2.12982,-11.02174,-1.51302,8.89057,-8.51358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-19,13:02:14,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,85.95409,-1.911665,-3.775778,2219.439155,205.497671,12:45:00,5.0574,1.39355,5.60833,-19.28454,19.59052,8.66792,1.66129,-1.41386,77.5684,-5.57604,-2.233375,0.448753,-5.53772,10.90008,-1.07567,50,4.88129,7.82625,-124.29661,-4.71896,-8.55617,27.79254,-15.33263,506dc921-de6a-4176-9578-7d93f57159dd,NA,NA,NA,NA,NA,10061464,"Cruz, Jesus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,EC,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,0afde810-1d40-11f0-b658-ed7228632821,83.99381,NA,NA,8.38569,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:02:14,2025-04-19T17:02:14Z,2025-04-19T17:02:14Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.8894,-125.3851,13.89627,5.05435,-4.11846,-7.66632,-1.38875,8.16135,-4.27808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-19,13:02:38,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,85.99807,-1.471775,-2.077031,2280.395601,224.494614,01:30:00,4.87706,1.61376,5.74945,-23.90907,15.49339,13.55245,1.51318,0.80852,75.97461,-6.027616,0.348476,0.451786,-7.72178,8.9213,-1.44963,50,4.74068,3.93439,-124.33741,-3.92017,-11.63101,33.70208,-18.73623,bc30234a-466e-48a4-8ff4-69ed3a3549ca,NA,NA,NA,NA,-89.637534,10061464,"Cruz, Jesus",4274.004663,NA,64.00684,Left,74.94513,NA,NA,NA,110.47637,33.67743,4.847966,-102.61813,3.64281,4.32082,-0.9141,NA,NA,NA,NA,NA,1,6,EC,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,19919890-1d40-11f0-b658-ed7228632821,83.42977,101.89467,NA,10.02346,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:02:38,2025-04-19T17:02:38Z,2025-04-19T17:02:38Z,Popup,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.74764,-125.61767999999999,16.85104,4.87608,-3.20842,-9.36812,-1.60748,4.37622,-5.81551,NA,3.64289,0.14343,-4.63166,1.43698,-0.15615,-0.05969,0.03086,-0.00544,3.4e-4,4.32078,90.64186,-25.20139,2.54706,-0.26439,-0.06608,0.02966,-0.00448,2.6e-4,-0.91858,-24.29176,-0.63932,1.06801,-0.60396,0.20605,-0.03792,0.0033,-1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-04-19,13:03:07,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,87.30576,-0.668723,-2.611643,2292.192532,219.389505,01:15:00,4.99903,1.43775,5.52678,-24.07682,13.88072,10.20934,2.36676,-0.15481,78.2233,-5.197779,-0.793788,0.443425,-6.08803,7.64422,-1.21768,50,4.92522,5.32532,-126.38956,-2.26978,-9.63552,30.93636,-20.07555,24ad42ea-a424-4a37-ab6c-d55c3f0edcaa,NA,NA,NA,NA,34.23305,10061464,"Cruz, Jesus",2139.076006,NA,89.98215,Left,6.309798,NA,NA,NA,105.20249,105.20249,0.884784,35.787298,3.24532,2.5536,0.24904,NA,NA,NA,NA,NA,1,7,EC,1,Top,0,3,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,2af81820-1d40-11f0-b658-ed7228632821,85.00289,5.05601,NA,9.08246,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:03:07,2025-04-19T17:03:07Z,2025-04-19T17:03:07Z,GroundBall,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.97334,-127.60108,15.46818,4.99871,-1.48359,-10.03777,-1.43362,5.70267,-4.81776,NA,3.24532,108.44903,-20.23188,3.40431,-0.71088,0.11699,-0.01699,0.00276,-3e-4,2.5536,14.50446,-22.03458,3.20784,-0.71543,0.17275,-0.0353,0.00661,-8.2e-4,0.24904,73.79337,-4.42561,-1.10858,0.46035,-0.15843,0.04,-0.00832,0.00107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-19,13:03:50,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Cutter,NA,NA,81.38236,0.948146,-2.449806,2338.24769,217.128734,01:15:00,4.90543,1.41121,5.07938,-38.61238,5.45654,2.95878,2.58246,-0.65311,73.61965,-6.122182,-1.927339,0.47779,-2.23469,2.85977,-1.18134,50,4.96523,4.91387,-117.818,0.56885,-3.10345,24.88701,-28.20251,7be7ae21-d4f2-4490-9528-cba6d72261b0,NA,NA,NA,NA,NA,1000276243,"Wollin, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,EC,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,44c8ad00-1d40-11f0-b658-ed7228632821,78.88905,NA,NA,7.76271,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:03:50,2025-04-19T17:03:50Z,2025-04-19T17:03:50Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,55.42027,-118.95743,12.44351,4.90963,1.86008,-14.10126,-1.40957,5.05596,-1.55173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-19,13:04:10,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,86.00464,-0.840963,-3.253022,2128.519075,214.614581,01:15:00,5.14674,1.34722,5.41553,-22.80253,16.28245,10.25524,2.45734,-0.84904,77.48973,-5.12707,-1.432736,0.449963,-6.22571,8.86764,-1.06524,50,5.0565,6.63302,-124.4782,-2.56834,-9.6254,28.39512,-18.46398,9273aa38-abc3-4ecc-bc2f-b623f32dc346,NA,NA,NA,NA,NA,1000276243,"Wollin, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,EC,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,509bddf0-1d40-11f0-b658-ed7228632821,83.76795,NA,NA,8.51491,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:04:10,2025-04-19T17:04:10Z,2025-04-19T17:04:10Z,NA,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,55.08467,-125.63273,14.19756,5.14566,-1.81761,-9.23199,-1.34289,7.02438,-4.8127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-19,13:04:33,"Gonsalves, Nick",1000252310,Right,SOU_WES1,Undefined,Fastball,NA,NA,86.24019,-0.151617,-2.65156,2111.352475,228.043278,01:30:00,5.20824,1.18463,5.50498,-23.94568,14.3952,14.58761,3.07081,-0.08148,78.3542,-4.629589,-0.055242,0.445659,-8.18162,7.68544,-0.9632,50,5.17915,5.17266,-125.05719,-1.12088,-12.886,26.5058,-20.06953,299a3452-0cd7-432a-8b87-c0e09c5b5a9c,NA,NA,NA,NA,-0.037791,1000276243,"Wollin, Brock",NA,NA,73.9251,Right,-22.653065,NA,NA,NA,9.48456,9.48456,0.071945,0.355517,2.25796,3.01592,0.06362,NA,NA,NA,NA,NA,2,3,EC,1,Top,0,0,2,Changeup,InPlay,Undefined,GroundBall,Out,2,0,NA,SOU_WES1,EC,SouthernWesleyan,D2,CC,20250419-SouthernWesleyan-1,5e19b1a0-1d40-11f0-b658-ed7228632821,84.57689,3.01592,NA,7.88599,NA,NA,NA,069c2b46-f607-4f8a-8dfe-330e116a024b,2025-04-19,17:04:33,2025-04-19T17:04:33Z,2025-04-19T17:04:33Z,GroundBall,v3,NA,10000011,NA,"Angle, Vinny",1000313117,Right,SOU_WES1,54.99696,-126.11185,13.2529,5.20786,-0.32232,-10.03476,-1.17922,5.68539,-6.443,180,2.2535,100.44422,NA,NA,NA,NA,NA,NA,NA,3.01779,-41.92009,NA,NA,NA,NA,NA,NA,NA,0.06362,-0.06625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
