PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-19,12:03:20,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Fastball,NA,NA,93.49004,-2.918875,-3.415866,2235.059685,210.427925,01:00:00,5.96994,2.39784,6.19086,-9.74997,22.29198,12.42264,2.45538,0.27553,84.49727,-4.868148,-1.179565,0.407409,-7.4017,12.69741,-2.14588,50,5.74406,7.52873,-135.3521,-7.0878,-13.59843,32.2052,-8.84636,6f28c035-a733-463d-aab1-8d600a5f090c,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,AUB_TIG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,3267eef0-1d40-11f0-a933-21f3dc508abd,92.51735,NA,NA,8.99277,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:03:20,2025-04-19T17:03:20Z,2025-04-19T17:03:20Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.3059,-136.37278,16.1026,5.96425,-6.80743,-4.42318,-2.39132,7.9597,-6.79922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-19,12:03:36,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Splitter,NA,NA,83.57024,-0.184119,-3.204413,1443.668879,246.186894,02:15:00,6.04659,2.26496,5.70941,-36.62746,3.99181,5.96114,2.8225,-0.22688,76.12505,-6.936961,-2.139592,0.458709,-3.96299,2.5248,-1.99999,50,6.00872,6.53434,-121.11952,-1.63664,-5.84771,25.12922,-28.44852,aad1348b-b854-44f2-9a32-8576180555d1,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,AUB_TIG,1,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,3c3341f0-1d40-11f0-a933-21f3dc508abd,82.17068,NA,NA,7.44519,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:03:36,2025-04-19T17:03:36Z,2025-04-19T17:03:36Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.78822,-122.10891,12.56461,6.05111,-0.51656,-14.22426,-2.26179,6.76458,-2.92386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
3,2025-04-19,12:03:57,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Slider,NA,NA,88.33194,-2.741338,-3.517814,2158.700834,168.745892,11:30:00,6.11619,2.32889,6.01947,-26.41151,8.98398,-1.59079,1.36928,-1.06622,82.05615,-7.607053,-3.803331,0.428199,-0.03854,5.61008,-2.05211,50,5.88631,7.94087,-128.15079,-7.01426,-0.06481,23.64272,-22.7379,eecf613a-6a9d-43f1-abac-b6a73d801e72,NA,NA,NA,NA,118.941303,702526,"Snow, Eric",3365.975293,NA,59.7617,Right,26.821487,NA,NA,NA,NA,30.89438,NA,NA,1.97399,0.67463,0.93693,NA,NA,NA,NA,NA,1,3,AUB_TIG,1,Top,0,0,2,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,4868b720-1d40-11f0-a933-21f3dc508abd,88.02559,11.70317,NA,6.2758,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:03:57,2025-04-19T17:03:57Z,2025-04-19T17:03:57Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.482,-128.97503,11.82136,6.11702,-6.22156,-11.36895,-2.32899,7.94313,-0.0324,NA,1.97552,-37.90349,3.39404,NA,NA,NA,NA,NA,NA,0.69015,39.0384,-29.65573,NA,NA,NA,NA,NA,NA,0.93319,68.57736,-5.32991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
4,2025-04-19,12:04:21,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Splitter,NA,NA,84.71207,0.970998,-2.504398,1318.376551,161.689293,11:30:00,6.12706,2.25862,5.63469,-32.18868,7.84815,-2.11402,4.35155,-0.2556,76.17938,-5.019676,-2.88127,0.455409,0.23642,4.11047,-2.04418,50,6.18964,5.45548,-122.64069,0.99111,0.35393,28.12942,-26.02088,7df60860-dfd9-4672-9618-27838899df40,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,AUB_TIG,1,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,56cfd960-1d40-11f0-a933-21f3dc508abd,82.76619,NA,NA,8.53269,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:04:21,2025-04-19T17:04:21Z,2025-04-19T17:04:21Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.8597,-123.75032,14.06471,6.1303,2.01755,-13.01044,-2.2591,5.44152,0.17697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.95872,NA,NA,1.339551,NA,NA,NA,1.86983,6.49109,2.76199,71.74222,8.40976,-53.06562,1.96755,57.51262,-4.04147,6.60619,21.43681,-14.98504,2.6983,-45.43541,2.83653,High,High,High,NA,NA,High,Medium,High
5,2025-04-19,12:04:51,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Splitter,NA,NA,85.04381,-0.879527,-4.642231,1213.021362,204.465698,12:45:00,6.09498,2.30404,5.95775,-27.36785,11.1928,4.56083,2.99595,-1.63029,78.19631,-5.964988,-3.826987,0.446934,-3.55606,6.34512,-1.93709,50,6.00958,9.82175,-123.20759,-2.75906,-5.49452,23.2915,-22.37014,2a8db292-3f4d-425b-9318-8fd7135ed5f9,NA,NA,NA,NA,NA,1000114553,"Rembert, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,AUB_TIG,1,Top,1,0,0,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,69276fb0-1d40-11f0-a933-21f3dc508abd,84.33555,NA,NA,6.84751,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:04:51,2025-04-19T17:04:51Z,2025-04-19T17:04:51Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.54098,-124.06306,11.64575,6.09583,-1.93743,-11.18507,-2.30154,10.02356,-2.74726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-19,12:05:07,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Slider,NA,NA,87.59376,-2.495616,-2.613853,2085.136705,182.324738,12:00:00,6.11627,2.37661,6.11413,-24.39521,11.43225,0.42264,1.7719800000000001,-0.00665,81.17769,-7.026404,-2.537747,0.430804,-0.86606,6.85461,-2.17627,50,5.91169,5.7901,-127.19647,-6.31517,-1.43406,23.47714,-20.82419,f005ee03-266c-4a37-8ef1-102b8c0d191a,NA,NA,NA,NA,NA,1000114553,"Rembert, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,AUB_TIG,1,Top,1,1,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,72300ef0-1d40-11f0-a933-21f3dc508abd,87.4933,NA,NA,6.41607,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:05:07,2025-04-19T17:05:07Z,2025-04-19T17:05:07Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.3862,-128.00348,11.73857,6.11647,-5.59934,-10.41209,-2.37615,5.8394,-0.71703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-19,12:05:27,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Splitter,NA,NA,86.24674,-2.371158,-3.858632,1526.754409,232.526065,01:45:00,6.1761,1.97775,5.78753,-29.61072,8.14075,9.09788,1.49634,-0.85929,79.41697,-7.8238,-2.232051,0.44222,-5.68713,5.14473,-1.66497,50,5.96237,8.05818,-124.97265,-6.18234,-9.02691,24.32744,-24.00804,c9dcc78f-0aeb-4993-a214-c1ed02d04a0c,NA,NA,NA,NA,NA,1000114553,"Rembert, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,AUB_TIG,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,7e2016b0-1d40-11f0-a933-21f3dc508abd,85.23458,NA,NA,6.82977,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:05:27,2025-04-19T17:05:27Z,2025-04-19T17:05:27Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.71268,-125.88669,12.16372,6.17771,-5.28031,-12.00402,-1.9741,8.39734,-4.51346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-19,12:05:45,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Curveball,NA,NA,79.9809,-1.044282,-2.047439,2439.179448,77.104762,08:30:00,6.05976,2.36072,5.77327,-45.94424,-2.36008,-15.63103,1.25858,-0.84795,74.48501,-9.39282,-4.84899,0.475156,7.49985,-0.59508,-2.18177,50,5.94532,4.73663,-116.25945,-3.62462,10.32342,20.63172,-32.99314,c1330aba-07dc-412c-ad24-1d143dfa3c97,NA,NA,NA,NA,NA,1000114553,"Rembert, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,AUB_TIG,1,Top,1,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,88f622f0-1d40-11f0-a933-21f3dc508abd,79.32653,NA,NA,5.49589,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:05:45,2025-04-19T17:05:45Z,2025-04-19T17:05:45Z,NA,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.73004,-117.09585,10.31586,6.06514,-2.2871,-16.49657,-2.36531,4.31812,5.16171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
9,2025-04-19,12:06:01,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Fastball,NA,NA,93.79123,-2.363034,-2.57167,2144.55305,195.736675,12:30:00,5.98949,2.42615,6.37744,-12.54717,18.7332,4.99288,2.76642,0.47464,85.58117,-4.799705,-1.668745,0.402538,-3.34331,10.76178,-2.24289,50,5.81287,5.90878,-136.12723,-5.93526,-6.26018,30.47274,-12.02323,48cf77d4-e32c-410d-823b-ed6ab67bf2ab,NA,NA,NA,NA,-4.392258,1000114553,"Rembert, Christopher",2972.006988,NA,100.05919,Right,22.409314,109.90756,43.15364,-4.50562,368.45667,368.27777,4.459136,2.102283,0.95611,2.69727,-0.47474,NA,NA,NA,NA,NA,2,5,AUB_TIG,1,Top,1,3,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,92afe9c0-1d40-11f0-a933-21f3dc508abd,93.63687,60.86175,NA,8.21006,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:06:01,2025-04-19T17:06:01Z,2025-04-19T17:06:01Z,LineDrive,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.12223,-137.0469,15.23637,5.98652,-5.5724,-6.01162,-2.42407,6.09771,-3.13009,208.195795,0.95554,135.2852,-24.65218,5.62671,-1.20349,0.25844,-0.05192,0.00715,-4.3e-4,2.69922,55.90129,-13.35742,-0.58668,0.55013,-0.23638,0.06429,-0.00913,5.1e-4,-0.47457,-10.38958,8.67399,-2.86008,0.66464,-0.11026,0.01372,-0.00127,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-19,12:06:38,"Riojas, Ruger",823162,Right,TEX_LON,Undefined,Fastball,NA,NA,94.93204,-2.656606,-3.288389,2257.70211,198.107084,12:30:00,5.97488,2.60273,6.34434,-11.19178,19.43525,6.02807,2.59077,0.07445,86.56926,-4.84404,-2.200187,0.398313,-4.10181,11.2169,-2.36636,50,5.77603,7.66097,-137.67004,-6.66856,-7.8524,31.27855,-10.70064,296b0aea-6d91-48b3-b28f-de260e439482,NA,NA,NA,NA,20.928211,702610,"Irish, Ike",3047.596271,NA,100.91945,Left,31.701491,103.21239,66.14282,38.04184,396.33011,296.82508,5.642844,20.722791,3.72664,3.54202,0.00388,NA,NA,NA,NA,NA,3,1,AUB_TIG,1,Top,2,0,0,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,TEX_LON,AUB_TIG,Texas,D1,SEC,20250419-Texas-1,a85b8d10-1d40-11f0-a933-21f3dc508abd,94.63031,104.45616,NA,8.36278,NA,NA,NA,b2c7c3aa-967d-411b-9782-944729702c7a,2025-04-19,17:06:38,2025-04-19T17:06:38Z,2025-04-19T17:06:38Z,FlyBall,v3,471466,471236,18 April 2025 00:00-auburn@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.15604,-138.61108,15.63928,5.97181,-6.34663,-5.35032,-2.60039,7.89721,-3.9262,179.961366,3.73076,117.54995,-23.79493,5.6367,-1.0648,0.16265,-0.02024,0.00184,-8e-5,3.54217,77.76993,-16.1258,0.22579,0.26789,-0.13296,0.03192,-0.00379,1.8e-4,0.00545,44.95427,-9.11039,2.15897,-0.40801,0.06234,-0.00776,7.1e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
