PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,12:01:06,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,91.40503,-1.350628,-2.409163,1951.824114,213.158618,01:00:00,6.00209,2.08194,6.28387,-13.38686,20.05458,12.30721,3.64042,0.8859,82.25014,-3.979649,-0.186225,0.416211,-7.09335,11.1493,-1.90961,50,5.89561,5.04676,-132.53303,-3.43038,-12.42704,32.29359,-12.64122,372c852f-e022-4677-bf6f-77d93ece36a3,NA,NA,NA,NA,NA,690081,"Caster, Kavi",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GEO_HOY,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,a9ffd280-22b7-11f0-b233-c7878bab4299,90.56082,NA,NA,9.15489,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:01:06,2025-04-26T16:01:06Z,2025-04-26T16:01:06Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.20991,-133.55489,16.1468,5.99783,-3.03037,-6.32061,-2.07552,5.43999,-6.21352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,12:01:23,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,90.08549,-3.259191,-4.077629,2040.568047,233.797354,01:45:00,6.03662,1.88779,6.44435,-20.17458,13.90024,17.40273,1.34996,-0.41492,82.0535,-7.088033,-0.92895,0.420134,-10.24422,8.56611,-1.60529,50,5.79559,8.59793,-130.43268,-8.01773,-17.55392,28.79773,-17.49567,0d9a0199-455a-4947-8dd1-f3f62532f155,NA,NA,NA,NA,NA,690081,"Caster, Kavi",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GEO_HOY,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,b42a5c80-22b7-11f0-b233-c7878bab4299,89.71519,NA,NA,8.03198,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:01:23,2025-04-26T16:01:23Z,2025-04-26T16:01:23Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.05271,-131.32442,14.39887,6.03547,-7.47597,-8.74783,-1.87994,9.1415,-8.77696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,12:01:40,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,ChangeUp,NA,NA,84.56354,-1.49064,-3.259604,1849.186489,242.128088,02:00:00,5.78835,2.42332,6.62065,-28.17801,10.1491,16.72434,2.07262,0.82883,76.97271,-6.815707,-0.218689,0.445579,-9.84776,6.17213,-2.2086,50,5.67548,6.39502,-122.74235,-3.97515,-14.8919,26.27896,-22.84049,02a6248e-fdcf-457e-9923-f1c8b1efe8ad,NA,NA,NA,NA,NA,690081,"Caster, Kavi",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GEO_HOY,1,Top,0,0,2,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,bdcc0770-22b7-11f0-b233-c7878bab4299,84.59207,NA,NA,7.59083,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:01:40,2025-04-26T16:01:40Z,2025-04-26T16:01:40Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,53.87788,-123.5698,13.13948,5.78933,-3.25596,-11.42024,-2.41734,6.86393,-7.44595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,12:02:01,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,ChangeUp,NA,NA,84.07046,-1.27026,-3.628329,1831.867985,245.591327,02:15:00,5.58181,2.47276,6.70142,-29.67171,8.86481,16.74123,1.94521,0.54592,76.79346,-6.867749,-0.581225,0.446794,-9.95256,5.4202,-2.23771,50,5.48556,7.15602,-122.05002,-3.52245,-14.93917,25.11586,-24.03815,b2b0b0a6-c38f-413b-a4b5-e4041c92e6ec,NA,NA,NA,NA,-143.784136,690081,"Caster, Kavi",3405.34362,NA,63.22227,Left,33.076826,-92.33913,25.21357,-59.77842,155.48105,61.97985,2.4277,-149.620378,1.95918,2.02959,-0.55682,NA,NA,NA,NA,NA,1,4,GEO_HOY,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,cae35120-22b7-11f0-b233-c7878bab4299,84.36196,29.31847,NA,7.27699,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:02:01,2025-04-26T16:02:01Z,2025-04-26T16:02:01Z,LineDrive,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,53.7976,-122.82902,12.55793,5.58325,-2.77689,-12.01908,-2.46685,7.61937,-7.46959,26.381351,1.95912,-62.68542,1.84438,0.52447,-0.06301,-0.0823,0.08957,-0.03361,0.00433,2.02976,50.59667,-26.04812,2.66147,-0.14885,-0.2262,0.12691,-0.02758,0.00211,-0.55695,-45.90078,5.55827,0.11238,-0.07523,-0.0514,0.10028,-0.04424,0.00615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-04-26,12:02:23,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,89.87971,-1.60205,-1.583549,1904.308375,250.308435,02:15:00,5.96356,2.02228,6.11065,-26.86765,7.18276,17.28855,2.24231,1.99841,82.96876,-6.588746,1.535322,0.419984,-9.31319,4.44666,-1.90946,50,5.82653,2.89828,-130.66968,-4.55277,-16.21352,25.75371,-24.43277,839e1d94-c1c9-4ec3-9580-543bce0df097,NA,NA,NA,NA,NA,690081,"Caster, Kavi",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,GEO_HOY,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,d7baaba0-22b7-11f0-b233-c7878bab4299,89.74737,NA,NA,6.91094,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:02:23,2025-04-26T16:02:23Z,2025-04-26T16:02:23Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.38839,-131.53175,12.87685,5.96524,-3.73492,-12.21638,-2.01555,3.441,-8.10676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,12:02:40,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Slider,NA,NA,80.45112,0.117241,-2.216636,2008.239533,97.283014,09:15:00,5.9584,2.04826,5.78674,-41.29227,1.48189,-2.61465,2.62653,-0.23278,74.89099,-7.435685,-2.684909,0.470719,0.81658,1.02047,-1.86396,50,5.94269,4.62471,-116.99478,-1.09626,1.14651,19.3814,-30.74123,2a1b91f3-6458-4827-9776-752be3051f63,NA,NA,NA,NA,53.89145,690081,"Caster, Kavi",4193.097427,NA,102.65126,Left,6.691257,NA,NA,NA,116.34798,108.20955,0.855143,58.485092,2.98641,2.65141,0.6061,NA,NA,NA,NA,NA,1,6,GEO_HOY,1,Top,0,1,2,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,e1c74d60-22b7-11f0-b233-c7878bab4299,80.0741,5.5966,NA,5.56014,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:02:40,2025-04-26T16:02:40Z,2025-04-26T16:02:40Z,LineDrive,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.71417,-117.77315,9.6907,5.96192,0.13832,-15.37061,-2.04877,4.57867,0.57325,NA,2.98641,88.12022,-28.77848,6.8201599999999996,-1.64672,0.35008,-0.07115,0.01282,-0.00135,2.65141,17.54254,-27.69524,5.05061,-1.27049,0.31778,-0.07424,0.01568,-0.00202,0.6061,120.80511,-5.09769,-2.36712,1.21058,-0.45404,0.13724,-0.03404,0.00489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
7,2025-04-26,12:03:02,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,91.1607,-2.291874,-4.383095,2073.817489,236.610458,02:00:00,5.93769,2.01739,6.38738,-20.68918,12.86493,17.68052,2.0981900000000002,-0.54874,82.35764,-6.229643,-1.190122,0.416912,-10.52556,7.77658,-1.70903,50,5.76283,9.37597,-131.93873,-5.89975,-18.32128,31.35327,-18.63781,f4bfc044-0dbd-415a-b7d3-ddc02d3a2416,NA,NA,NA,NA,NA,690081,"Caster, Kavi",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,GEO_HOY,1,Top,0,1,2,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,eec45850-22b7-11f0-b233-c7878bab4299,90.40864,NA,NA,8.80306,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:03:02,2025-04-26T16:03:02Z,2025-04-26T16:03:02Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.10845,-132.91146,15.67664,5.9369,-5.32152,-9.3189,-2.00873,9.94439,-9.16064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.78342,NA,1.736499,NA,-1.18397,1.80907,0.59919,-3.23063,4.62584,1.65972,NA,NA,NA,-2.99839,71.00477,-4.49245,4.82259,29.58305,-14.75378,1.54121,-25.34195,2.0404,High,High,High,NA,NA,High,Medium,Low
8,2025-04-26,12:03:34,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,91.01942,-3.875917,-3.647239,2149.213391,216.116257,01:15:00,6.02463,1.96687,6.22002,-14.81213,19.28867,13.12339,1.20111,-0.3095,81.84451,-6.750535,-1.283069,0.420295,-7.99185,11.64268,-1.69996,50,5.72628,7.83339,-131.54304,-9.30188,-13.74945,32.61895,-12.14355,0fd74589-0537-4cb2-a043-fa1d91e0ea6d,NA,NA,NA,NA,NA,10021092,"Sheffield, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GEO_HOY,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,01b4ac30-22b8-11f0-b233-c7878bab4299,89.68101,NA,NA,9.17491,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:03:34,2025-04-26T16:03:34Z,2025-04-26T16:03:34Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.27523,-132.59893,16.30947,6.02103,-8.90879,-6.07178,-1.96074,8.27847,-6.87472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-26,12:03:48,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Slider,NA,NA,81.12552,-0.049674,-3.443826,2217.417791,24.287702,06:45:00,5.95153,2.19513,5.61801,-46.30747,-3.39114,-2.11583,2.04613,-1.19898,74.82503,-8.47925,-3.821095,0.471501,0.12866,-1.3537,-1.8996,50,5.91718,7.16485,-117.69202,-1.68276,0.18061,22.16637,-34.0743,17912e37-21a1-4b3f-905c-c75054f2f63d,NA,NA,NA,NA,NA,10021092,"Sheffield, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,GEO_HOY,1,Top,1,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,0a988560-22b8-11f0-b233-c7878bab4299,79.94138,NA,NA,6.30049,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:03:48,2025-04-26T16:03:48Z,2025-04-26T16:03:48Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.88173,-118.60789,11.08319,5.95762,-0.27488,-17.03715,-2.19548,7.15739,0.09031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,12:05:36,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,90.69945,-3.984634,-3.820981,2083.555352,236.722805,02:00:00,6.04072,1.91966,6.27128,-21.35131,12.59824,17.39454,0.57412,-0.15836,82.54682,-8.004477,-0.681247,0.419361,-10.3326,8.11248,-1.64564,50,5.73471,8.08352,-131.24095,-9.80854,-17.86127,30.07937,-18.15055,c401e7f4-dc3b-41a2-9f86-d3f1df2a22a1,NA,NA,NA,NA,NA,10021092,"Sheffield, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,GEO_HOY,1,Top,1,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,GEO_HOY,HaydenField,D1,BEAST,20250426-HaydenField-1,4a9c75e0-22b8-11f0-b233-c7878bab4299,89.88056,NA,NA,8.15263,NA,NA,NA,3a728d73-6645-47c1-86e7-64401f7d8ad4,2025-04-26,16:05:36,2025-04-26T16:05:36Z,2025-04-26T16:05:36Z,NA,v3,471497,471302,26 April 2025 14:00-georgetown@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.22833,-132.2065,15.03969,6.04022,-9.22591,-9.07527,-1.91432,8.65687,-8.93063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
