PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,15:35:30,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,FourSeamFastBall,NA,NA,86.45861,-0.013369,2.70682,2195.24422,138.093302,10:30:00,5.72679,-2.28462,7.13886,-19.16639,17.6745,-14.48225,4.11746,-1.03531,76.40902,-3.81058,0.048727,0.436854,8.6463,9.85209,2.12764,50,5.71935,-5.37832,-125.32173,-0.4052,13.26749,33.60919,-17.05634,8c11bc5f-5622-40f9-8455-73667f1f9d99,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,COL_LION,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,c7fa9b20-239e-11f0-8742-238a88b5f803,86.28152,NA,NA,10.04958,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:35:30,2025-04-27T19:35:30Z,2025-04-27T19:35:30Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.3525,-126.21761,16.80459,5.72409,0.04945,-8.52817,2.27572,-5.73198,6.63374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,15:35:47,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,FourSeamFastBall,NA,NA,87.05041,-1.584939,2.173387,2326.074392,131.202418,10:15:00,5.7322,-2.41093,7.108,-19.68753,16.80339,-17.40277,2.65222,-1.88838,76.8869,-5.4673,-1.022247,0.434774,10.35658,10.11004,2.28683,50,5.63176,-4.19806,-126.2674,-3.91834,16.02582,35.638,-16.52973,db362a46-0985-4b82-b1e9-86c9505aef24,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COL_LION,1,Top,0,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,d1e7a6f0-239e-11f0-8742-238a88b5f803,86.69426,NA,NA,10.16351,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:35:47,2025-04-27T19:35:47Z,2025-04-27T19:35:47Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.39001,-127.2206,17.819,5.73065,-3.47622,-8.26487,2.40485,-4.6267,8.01291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,15:36:04,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,FourSeamFastBall,NA,NA,86.91483,-2.383717,5.13448,2300.940191,131.674661,10:30:00,5.77698,-2.33762,7.08393,-19.14525,17.23115,-17.74009,2.00791,0.85703,77.71521,-6.131357,1.894518,0.434092,11.24776,10.45225,2.03418,50,5.62735,-10.65739,-125.693,-5.66007,17.55796,31.231,-15.85791,34b34012-ce61-4547-bb60-02c45d05e189,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,COL_LION,1,Top,0,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,dc374520-239e-11f0-8742-238a88b5f803,86.83061,NA,NA,9.19961,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:36:04,2025-04-27T19:36:04Z,2025-04-27T19:36:04Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.41273,-126.53812,15.6155,5.7747,-5.23095,-7.92895,2.329,-11.13251,8.77898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,15:36:21,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,Sinker,NA,NA,82.34223,1.25839,5.349581,2099.628321,98.236815000000007,09:15:00,4.55115,-4.21234,6.86283,-36.23073,4.78488,-21.67308,2.6842,-1.12785,73.23155,-5.632454,1.409364,0.460942,13.25627,2.6087,3.87667,50,4.61944,-10.35255,-119.02998,1.6427,18.48797,28.78329,-28.53577,fd351a13-cabb-4625-8e1a-040019ba0f71,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,COL_LION,1,Top,0,2,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,e667c290-239e-11f0-8742-238a88b5f803,81.77268,NA,NA,9.11068,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:36:21,2025-04-27T19:36:21Z,2025-04-27T19:36:21Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.63297,-119.90527,14.39165,4.55629,2.51047,-14.26789,4.20004,-10.91476,9.24398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,15:36:39,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,Sinker,NA,NA,82.40378,0.296214,5.025161,2030.259005,100.992573,09:15:00,4.44692,-4.34903,6.74491,-35.64431,5.89048,-21.02666,1.74823,-1.49846,72.6657,-6.497488,1.205989,0.46385,13.0256,3.50831,4.02489,50,4.45346,-9.69962,-119.06944,-0.35388,17.96071,31.26816,-27.33651,288a4cc4-1eee-4807-920b-f43db0c5bcdc,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,COL_LION,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,f0f68ca0-239e-11f0-8742-238a88b5f803,81.25999,NA,NA,9.73808,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:36:39,2025-04-27T19:36:39Z,2025-04-27T19:36:39Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.75027,-120.05024,15.63408,4.45111,0.50359,-13.66826,4.33797,-10.263,8.98035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,15:36:56,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,Sinker,NA,NA,83.32494,1.200191,5.554215,2063.863523,101.87862,09:30:00,4.56889,-4.14488,6.86803,-34.07222,5.53481,-19.43568,2.82877,-0.68621,74.92765,-5.259848,2.02375,0.452958,12.12068,2.95917,3.79695,50,4.63353,-11.04447,-120.56423,1.62194,17.54823,27.02104,-27.88975,feb36f17-d4be-44b1-a323-fe1ba1ed95c5,NA,NA,NA,NA,NA,1000147222,"Snyder, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,COL_LION,1,Top,0,3,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,fb2890b0-239e-11f0-8742-238a88b5f803,83.21404,NA,NA,8.39729,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:36:56,2025-04-27T19:36:56Z,2025-04-27T19:36:56Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.63106,-121.3753,13.51052,4.57228,2.45908,-13.94488,4.13636,-11.5712,8.77411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.53677,2.12881,1.151539,0.977271,-0.89691,2.60912,0.60761,-1.11004,5.56983,-1.68117,68.93616,4.72473,-55.84486,-1.09188,75.24853,-3.67749,5.60253,13.15613,-14.38491,-1.73467,-62.00582,6.79788,High,High,High,NA,NA,High,High,High
7,2025-04-27,15:37:34,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,Curveball,NA,NA,73.42177,3.845377,1.125142,2127.068612,317.78885,04:30:00,5.70476,-2.43883,6.50156,-66.89433,-15.0878,15.39788,3.66569,-0.12283,66.20859,-8.591143,3.919239,0.51804,-7.55544,-8.46989,2.35462,50,5.94743,-2.61468,-106.45616,5.25359,-8.46257,22.35917,-41.66083,c3b483eb-ae3c-43eb-8ab8-16a9dd5793b4,NA,NA,NA,NA,NA,1000095857,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,COL_LION,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,1163f0e0-239f-11f0-8742-238a88b5f803,72.75966,NA,NA,7.21318,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:37:34,2025-04-27T19:37:34Z,2025-04-27T19:37:34Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,54.0001,-107.29302,11.17958,5.72162,6.81287,-20.83041,2.44656,-2.29795,-4.23128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,15:37:51,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,Sinker,NA,NA,83.66701,1.552602,4.805187,2090.581941,99.62163,09:15:00,4.56857,-4.34983,6.57288,-35.14691,4.50559,-18.10336,3.06814,-1.44364,75.26182,-5.070584,1.529645,0.453218,11.05694,2.27047,4.02609,50,4.66107,-9.51764,-121.11902,2.27877,16.16362,27.16519,-28.85495,0e245df2-d39e-41ba-80a4-0a1046696dea,NA,NA,NA,NA,157.151276,1000095857,"Miller, Sam",3784.234614,NA,68.48877,Right,37.812624,NA,NA,NA,NA,37.78684,NA,NA,1.1414,3.1333,1.51678,NA,NA,NA,NA,NA,2,2,COL_LION,1,Top,1,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,1bee7530-239f-11f0-8742-238a88b5f803,83.1663,26.25828,NA,8.40519,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:37:51,2025-04-27T19:37:51Z,2025-04-27T19:37:51Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.92603,-121.99639,13.5826,4.57242,3.21072,-14.42748,4.34192,-10.03969,8.08181,NA,1.1414,-73.13061,6.29223,1.40393,-0.68489,0.26159,-0.07844,0.02313,-0.00526,3.1333,61.58402,-34.8316,6.36742,-1.48979,0.33646,-0.06714,0.01269,-0.00117,1.51678,30.81448,-6.67819,0.61763,-0.02173,-0.03678,0.01689,-0.0063,0.00176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-04-27,15:38:16,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,ChangeUp,NA,NA,77.82722,0.721966,4.421513,1934.64116,70.944106,08:15:00,5.11163,-3.05594,6.37853,-51.22436,-4.93051,-19.26615,1.50916,-0.5856,70.23352,-8.800342,0.937523,0.489703,11.55753,-2.33791,2.74524,50,5.14063,-8.04295,-112.7248,-0.07387,14.55661,24.53172,-35.11865,147a987f-82fc-4412-9654-36dd6b3ebc8c,NA,NA,NA,NA,-37.391403,1000095857,"Miller, Sam",NA,NA,95.41592,Right,-15.215923,NA,NA,NA,8.24984,3.42012,0.045971,-21.948453,2.7137,1.69055,0.6908,NA,NA,NA,NA,NA,2,3,COL_LION,1,Top,1,0,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,2b01dd00-239f-11f0-8742-238a88b5f803,76.96994,1.69055,NA,7.5937,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:38:16,2025-04-27T19:38:16Z,2025-04-27T19:38:16Z,GroundBall,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,54.12197,-113.61831,12.26586,5.12003,1.20523,-17.55932,3.04783,-8.57313,7.2783,NA,2.71273,107.41887,NA,NA,NA,NA,NA,NA,NA,1.69088,-36.77396,NA,NA,NA,NA,NA,NA,NA,0.69154,-82.10239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-04-27,15:38:53,"Tobin, Will",1000191560,Left,PEN_QUA,Undefined,FourSeamFastBall,NA,NA,87.84385,-2.328663,2.42591,2118.433645,138.529303,10:30:00,5.77419,-2.39059,7.29091,-16.0308,19.09434,-15.6667,2.32996,-1.50165,78.6287,-5.511369,-0.459896,0.42656,9.17146,11.45166,2.25646,50,5.6377,-4.82851,-127.44308,-5.46582,14.71742,32.12037,-13.79759,221705bc-f956-409c-9c82-8b579e2336f5,NA,NA,NA,NA,NA,1000115018,"Palfrey, Griffin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,COL_LION,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_QUA,COL_LION,UofPennsylvania,D1,IVY,20250427-UofPennsylvania-2,40ccc820-239f-11f0-8742-238a88b5f803,88.36368,NA,NA,9.21515,NA,NA,NA,44f32d0e-9d21-440e-980c-d55a58f732db,2025-04-27,19:38:53,2025-04-27T19:38:53Z,2025-04-27T19:38:53Z,NA,v3,526523,471274,NA,"Echevarria, Ernie",10103583,Right,PEN_QUA,53.2035,-128.24794,16.06019,5.77033,-5.12008,-6.8988,2.38207,-5.19729,7.35871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
