PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,19:13:46,"Walsh, Will",801204,Left,NEB,Undefined,Fastball,NA,NA,87.02193,-1.466179,2.234736,1813.970722,151.642067,11:00:00,6.02598,-1.46432,6.05182,-23.20285,13.25146,-6.56827,2.73379,0.05815,80.17559,-5.80752,1.052972,0.434556,3.98839,7.55,1.29397,50,5.89922,-4.67638,-126.43746,-3.95409,6.49817,24.2179,-19.87311,1fcaef24-a4d4-493a-9e76-c212b8dccc3d,NA,NA,NA,NA,NA,822384,"Spanier, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIN_GOL,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,7b7e4f30-27b3-11f0-82c2-35caa859d794,86.73778,NA,NA,6.84633,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:13:46,2025-05-03T00:13:46Z,2025-05-03T00:13:46Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.45085,-127.28713,12.10895,6.02572,-3.25686,-9.93656,1.46204,-4.90437,3.24908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,19:14:02,"Walsh, Will",801204,Left,NEB,Undefined,ChangeUp,NA,NA,78.9082,-0.253174,2.062336,1414.0629,100.285903,09:15:00,5.81499,-1.58554,6.10236,-40.49223,4.5701599999999996,-16.41891,2.20633,-1.0456,71.62231,-7.785632,-0.899101,0.483146,9.20209,2.85803,1.43565,50,5.77422,-3.53502,-114.52886,-1.7088,12.04295,24.04966,-28.43367,706c7d94-bc8b-49c1-8b94-ce6e40a3c24e,NA,NA,NA,NA,-36.143814,822384,"Spanier, Jack",NA,NA,79.13154,Right,-5.107639,NA,NA,NA,26.79037,17.71961,0.214242,-29.611039,3.25452,2.21779,1.39735,NA,NA,NA,NA,NA,1,2,MIN_GOL,1,Top,0,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,85420110-27b3-11f0-82c2-35caa859d794,78.01457,2.21779,NA,7.28589,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:14:02,2025-05-03T00:14:02Z,2025-05-03T00:14:02Z,GroundBall,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.39981,-115.44907,12.02483,5.81879,-0.62084,-14.21683,1.57973,-3.99582,6.02148,180,3.2485,93.52509,NA,NA,NA,NA,NA,NA,NA,2.21845,-10.35177,NA,NA,NA,NA,NA,NA,NA,1.40175,-68.30928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
3,2025-05-02,19:14:35,"Walsh, Will",801204,Left,NEB,Undefined,Fastball,NA,NA,88.24181,-2.090438,2.023906,2016.210366,149.216561,11:00:00,6.03819,-1.42555,6.00516,-21.45359,14.3502,-7.86079,2.31142,-0.20459,80.70538,-6.123657,0.610342,0.430662,4.61776,8.32063,1.27069,50,5.86191,-4.20362,-128.06465,-5.33635,7.65867,26.77441,-18.3741,6dea8e90-f3e5-42a0-98c6-8ed5c4823135,NA,NA,NA,NA,12.423019,686574,"Fitzgerald, Josh",4362.708535,NA,95.69896,Right,48.615935,103.80249,117.17496,36.40027,290.1206,140.2355,6.12823,26.763099,1.03886,2.63819,0.13783,NA,NA,NA,NA,NA,2,1,MIN_GOL,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,9870bd80-27b3-11f0-82c2-35caa859d794,87.52217,142.52269,NA,7.53643,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:14:35,2025-05-03T00:14:35Z,2025-05-03T00:14:35Z,FlyBall,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.49584,-129.00117,13.38721,6.03732,-4.69366,-9.18705,1.4224,-4.4715,3.82934,202.936792,1.04473,90.48823,-23.96246,5.70748,-0.65903,-0.06425,0.03404,-0.00433,1.9e-4,2.6313,105.4105,-24.36489,2.54046,-0.48188,0.05629,0.003,-0.00152,1e-4,0.13489,20.02206,3.03035,-1.13508,0.08154,0.05967,-0.02004,0.00251,-1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
4,2025-05-02,19:15:10,"Walsh, Will",801204,Left,NEB,Undefined,Curveball,NA,NA,73.50077,1.578012,0.467873,2159.430211,298.870499,04:00:00,5.98758,-1.53948,5.20407,-56.31082,-3.02225,8.59918,2.77961,-0.38283,67.37482,-8.645247,1.993405,0.525398,-4.14173,-1.42618,1.48944,50,6.09128,-1.19902,-106.63486,1.07848,-4.74579,19.16775,-33.80821,24862495-bc16-43a5-850e-a80a8262fc10,NA,NA,NA,NA,NA,809730,"Neels, Weber",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIN_GOL,1,Top,2,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,ad6015b0-27b3-11f0-82c2-35caa859d794,71.74074,NA,NA,6.12595,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:15:10,2025-05-03T00:15:10Z,2025-05-03T00:15:10Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,55.29813,-107.58299,9.58387,5.99657,2.7508,-16.9041,1.54294,-0.96427,-2.3729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,19:15:22,"Walsh, Will",801204,Left,NEB,Undefined,Fastball,NA,NA,86.8901,-1.869156,2.009092,2015.62834,153.823788,11:15:00,6.09131,-1.40811,6.00589,-20.56096,16.40426,-7.4691,2.64438,-0.16827,79.32723,-5.754634,0.666216,0.43759,4.43622,9.34473,1.25429,50,5.93302,-4.12525,-126.10966,-4.7237,7.12271,26.36505,-17.17042,3734f076-ceb2-42ff-9226-30cbc47a007f,NA,NA,NA,NA,-29.066227,809730,"Neels, Weber",2022.327307,NA,107.63648,Right,19.329477,93.65154,34.5975,-57.7007,362.57323,345.85345,3.682358,-39.322873,1.67063,2.67257,0.24859,NA,NA,NA,NA,NA,3,2,MIN_GOL,1,Top,2,0,1,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,1,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,b4aa3c10-27b3-11f0-82c2-35caa859d794,86.13633,46.05388,NA,7.56286,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:15:22,2025-05-03T00:15:22Z,2025-05-03T00:15:22Z,LineDrive,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.49543,-127.04602,13.18253,6.08995,-4.11389,-8.58521,1.4053,-4.37822,3.56135,127.121877,1.67069,130.20329,-27.05481,6.21465,-1.31911,0.20501,-0.01468,-0.00142,2.8e-4,2.67249,52.25737,-17.26223,1.12252,-0.21607,0.0862,-0.03058,0.00637,-5.3e-4,0.24848,-72.36856,2.19464,0.75668,-0.39793,0.11864,-0.02394,0.00301,-1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-05-02,19:16:08,"Walsh, Will",801204,Left,NEB,Undefined,Slider,NA,NA,78.52949,0.43496,1.903775,2264.737655,287.603983,03:30:00,5.84565,-1.5208,5.57598,-46.26325,-0.2263,5.37764,2.39689,0.7062,71.96187,-8.027375,2.863574,0.488343,-2.15772,0.23461,1.35326,50,5.853,-3.99773,-113.95733,-0.67216,-2.82435,21.83801,-31.86696,26b0bbf6-2f04-421d-86eb-1981e9593790,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,MIN_GOL,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,cff95aa0-27b3-11f0-82c2-35caa859d794,77.1844,NA,NA,6.56762,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:16:08,2025-05-03T00:16:08Z,2025-05-03T00:16:08Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.92519,-114.89728,10.91901,5.85241,0.69947,-15.93348,1.52272,-3.87616,-1.41218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,19:16:19,"Walsh, Will",801204,Left,NEB,Undefined,ChangeUp,NA,NA,79.68967,-0.453275,1.840878,1335.83844,96.35802,09:15:00,5.81365,-1.53138,5.89987,-41.22282,2.84858,-12.87843,1.95737,-0.89494,73.09567,-8.051902,-0.474,0.477804,7.10142,2.04217,1.39049,50,5.75371,-3.22976,-115.72813,-2.22413,9.60222,22.19534,-29.41271,eaf7ea7c-8253-4a48-a478-7a47b6659b3b,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,MIN_GOL,1,Top,2,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,d6666770-27b3-11f0-82c2-35caa859d794,78.88683,NA,NA,6.594,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:16:19,2025-05-03T00:16:19Z,2025-05-03T00:16:19Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.60167,-116.60734,11.09767,5.81874,-1.05903,-14.70636,1.52596,-3.61013,4.80111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-02,19:16:28,"Walsh, Will",801204,Left,NEB,Undefined,Slider,NA,NA,79.04542,-0.817735,1.515179,2354.53198,276.603859,03:15:00,5.96176,-1.47022,5.42455,-45.15274,0.67756,7.26717,1.43275,0.55495,72.40331,-9.042442,2.810184,0.487245,-3.23232,0.97751999999999994,1.3304,50,5.8576,-3.31529,-114.67738,-3.15729,-4.26807,22.87688,-30.88331,ea52013f-9228-4a41-ada4-39811788337b,NA,NA,NA,NA,-67.07334,804994,"Berkland, Drew",NA,NA,78.8204,Right,70.931948,NA,NA,NA,NA,9.2016,NA,NA,3.32941,1.60179,-0.46447,NA,NA,NA,NA,NA,4,3,MIN_GOL,1,Top,2,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,dc4e17a0-27b3-11f0-82c2-35caa859d794,77.35821,22.66436,NA,6.64211,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:16:28,2025-05-03T00:16:28Z,2025-05-03T00:16:28Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,55.07789,-115.68592,11.43844,5.96678,-1.79577,-15.44166,1.4724,-3.12713,-2.13404,168.954721,3.33094,14.61163,-9.59873,NA,NA,NA,NA,NA,NA,1.60311,109.17437,-26.97891,NA,NA,NA,NA,NA,NA,-0.46603,-34.68102,10.99072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
9,2025-05-02,19:16:55,"Walsh, Will",801204,Left,NEB,Undefined,Fastball,NA,NA,89.05616,-3.351575,3.595539,2214.852681,149.12428,11:00:00,6.04735,-1.5182,6.10286,-17.28005,18.07229,-10.07603,1.49799,0.97183,81.00455,-6.645277,1.784543,0.427938,6.23225,10.66197,1.24636,50,5.7796,-7.67792,-128.88292,-8.03932,10.42022,28.27874,-14.34744,b7dc5f5e-b7f4-4d53-94d0-08f3f64929f1,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,MIN_GOL,1,Top,2,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,ec398ff0-27b3-11f0-82c2-35caa859d794,88.07931,NA,NA,8.05161,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:16:55,2025-05-03T00:16:55Z,2025-05-03T00:16:55Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.39662,-129.84402,14.13937,6.04454,-7.5517,-7.17372,1.51332,-8.03206,5.21011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,19:17:06,"Walsh, Will",801204,Left,NEB,Undefined,ChangeUp,NA,NA,78.98337,-1.567622,2.510045,1516.388524,105.923636,09:30:00,5.67222,-1.61052,5.98474,-38.66475,6.365,-16.91391,0.99536,-0.69195,72.137,-8.722109,-0.534574,0.482971,9.43087,4.21957,1.42136,50,5.52711,-4.39113,-114.56613,-4.31361,12.42399,22.90694,-26.61532,69d3dcb9-d473-4cfd-b58d-78d063462b1f,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,MIN_GOL,1,Top,2,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,NEB,MIN_GOL,UNebraska,D1,BIG10,20250502-UNebraska-1,f2a0f770-27b3-11f0-82c2-35caa859d794,78.04282,NA,NA,6.84637,NA,NA,NA,8675729b-7b46-4a0c-b8d5-ebf30a357070,2025-05-03,00:17:06,2025-05-03T00:17:06Z,2025-05-03T00:17:06Z,NA,v3,4865,471360,NA,"Helligso, Hogan",823087,Right,NEB,54.51626,-115.4656,11.45347,5.67597,-3.26852,-13.30766,1.60336,-4.87897,6.21199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.48536,NA,NA,1.217407,NA,NA,NA,-0.72659,4.2025,-4.5845,79.86881,4.4928,44.91905,-0.6746,74.75007,-7.18383,4.24788,19.48375,-15.96141,-4.58765,42.17526,-1.23157,High,High,High,NA,NA,High,Medium,Medium
