PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,12:09:33,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,90.87343,-2.58115,-4.201512,2150.445921,248.045098,02:15:00,5.21614,1.86872,6.58395,-26.63627,6.63453,13.70761,0.6231,-0.84617,82.94715,-7.577402,-1.714375,0.415148,-8.42339,4.58902,-1.58567,50,5.02782,9.1339,-131.67284,-6.77097,-14.70779,29.37987,-24.16132,1032c29e-ae29-4852-9e44-784385716053,NA,NA,NA,NA,NA,1000115740,"Kernodle, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PRI_TIG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,011b5220-2839-11f0-9cba-377ae3aca016,90.79274,NA,NA,7.92629,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:09:33,2025-05-03T16:09:33Z,2025-05-03T16:09:33Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,53.91477,-132.54345,14.68993,5.21785,-6.055,-12.08066,-1.8628,9.56974,-7.35389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-03,12:09:45,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,88.94035,-0.353775,-1.226107,2177.125297,245.807467,02:15:00,5.19543,1.81929,6.48165,-27.19431,7.14678,13.62875,2.60433,1.82905,81.77471,-5.454641,1.248727,0.421772,-7.4489,4.16335,-1.73862,50,5.15862,2.23998,-129.39557,-1.6351,-12.67632,26.05388,-25.089,5d553420-8a33-42ff-a493-c7db56f027f3,NA,NA,NA,NA,NA,1000115740,"Kernodle, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,PRI_TIG,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,083abf00-2839-11f0-9cba-377ae3aca016,89.36677,NA,NA,7.16564,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:09:45,2025-05-03T16:09:45Z,2025-05-03T16:09:45Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.0179,-130.20206,13.02694,5.19721,-0.85847,-12.5445,-1.81403,2.63237,-6.33816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-03,12:09:59,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,89.67831,-1.772207,-5.494427,2203.756429,256.330154,02:30:00,5.1722,1.8382,6.75247,-29.12265,4.59303,14.64973,1.11848,-1.97537,82.50406,-7.222782,-2.836438,0.417914,-9.16457,3.24563,-1.48173,50,5.04461,11.94074,-129.90965,-4.91455,-15.73275,26.0559,-26.60231,b183385b-b207-4d5e-9d31-5eec09d3f5b2,NA,NA,NA,NA,NA,1000115740,"Kernodle, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PRI_TIG,1,Top,0,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,10793070-2839-11f0-9cba-377ae3aca016,90.19178,NA,NA,7.17425,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:09:59,2025-05-03T16:09:59Z,2025-05-03T16:09:59Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,53.74731,-130.65909,13.02795,5.17496,-4.1494,-13.30116,-1.83169,12.39325,-7.86637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-03,12:10:19,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,88.91329,-1.829967,-3.716462,2048.25724,236.13235,01:45:00,5.06796,2.0664,6.47604,-26.55891,8.18327,10.51638,1.17017,-0.4748,81.31169,-6.81311,-1.811726,0.424229,-6.54134,5.15843,-1.80877,50,4.92727,7.96355,-128.95955,-4.93704,-10.98885,27.42873,-23.50834,b674c988-0e7c-493a-83be-6e64ee1406fe,NA,NA,NA,NA,NA,1000115740,"Kernodle, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,PRI_TIG,1,Top,0,3,0,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,1c3d1f20-2839-11f0-9cba-377ae3aca016,88.84934,NA,NA,7.6016,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:10:19,2025-05-03T16:10:19Z,2025-05-03T16:10:19Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.02207,-129.81219,13.71436,5.06938,-4.20627,-11.75417,-2.06163,8.30515,-5.49443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-03,12:10:47,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,89.05101,0.839687,-2.464105,2150.591636,251.235189,02:15:00,5.08677,2.0883,6.32724,-29.43797,5.30925,12.34776,3.40763,0.84674,81.14949,-4.675426,-0.231508,0.424259,-7.09681,2.87492,-1.91383,50,5.13431,5.06537,-129.33268,0.94996,-11.98308,27.75539,-27.3197,46edb771-20bc-44c0-922e-419a042cc59c,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PRI_TIG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,2d219d70-2839-11f0-9cba-377ae3aca016,88.84294,NA,NA,7.90152,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:10:47,2025-05-03T16:10:47Z,2025-05-03T16:10:47Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.171,-130.22472,13.8777,5.08967,1.828,-13.65985,-2.08282,5.4505,-5.99154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-03,12:11:23,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,89.64433,-0.885216,-2.558495,2124.337066,210.922888,01:00:00,5.04962,2.14343,6.51007,-20.60352,13.31233,7.34402,2.51944,0.40596,82.08302,-4.798645,-1.226423,0.419153,-4.525,7.53878,-1.96764,50,4.97865,5.52884,-130.24158,-2.59563,-7.78468,26.94947,-19.20452,3c33183b-f246-4831-b202-7343a89a5b0b,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PRI_TIG,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,429281b0-2839-11f0-9cba-377ae3aca016,89.92525,NA,NA,7.5613,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:11:23,2025-05-03T16:11:23Z,2025-05-03T16:11:23Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,53.9875,-131.06407,13.47473,5.04892,-2.00952,-9.60226,-2.14001,5.76643,-3.89234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-03,12:11:42,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,88.89168,-2.006914,-3.817954,2222.639539,238.672915,02:00:00,5.00507,2.13208,6.61271,-23.84793,10.79445,15.84469,1.17477,-0.04958,81.07289,-6.519847,-0.940707,0.423619,-9.44788,6.61162,-1.87815,50,4.85841,8.00045,-128.93199,-5.20861,-15.82926,27.97626,-21.09673,1f4977cb-8d29-4658-936b-0dc5b5cff799,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PRI_TIG,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,4e119f30-2839-11f0-9cba-377ae3aca016,88.97727,NA,NA,7.81879,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:11:42,2025-05-03T16:11:42Z,2025-05-03T16:11:42Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,53.88636,-129.77253,13.98813,5.00538,-4.57477,-10.54837,-2.12566,8.47604,-7.91463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-03,12:12:00,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Slider,NA,NA,76.79842,0.84629,-0.553975,2457.735009,93.310697,09:00:00,5.20477,2.0995,6.35915,-43.94994,2.11929,-14.44611,2.32123,0.3858,71.23723,-7.299942,-3.171286,0.488514,7.38052,1.31484,-2.0531,50,5.2457,1.57018,-111.78568,0.40594,9.41478,18.61863,-30.49681,cb0356dd-e124-4aa9-9ab6-163c5e816e16,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,PRI_TIG,1,Top,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,58967e30-2839-11f0-9cba-377ae3aca016,77.15734,NA,NA,5.56119,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:12:00,2025-05-03T16:12:00Z,2025-05-03T16:12:00Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.14174,-112.47339,9.30932,5.2099,1.5324,-15.24841,-2.10467,1.22242,4.70739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-03,12:12:21,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,90.12712,-0.614454,-1.496215,2204.463668,240.527738,02:00:00,5.0063,2.17633,6.27337,-25.18312,9.10934,13.98182,2.34108,1.96192,81.47257,-5.36633,1.032244,0.421474,-7.65933,5.29189,-2.07184,50,4.94885,2.82699,-130.81996,-2.19768,-13.09726,31.01301,-23.12506,b0fc2341-acc1-40a0-93dd-bd828e315744,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,PRI_TIG,1,Top,0,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,65044170-2839-11f0-9cba-377ae3aca016,89.43008,NA,NA,8.65455,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:12:21,2025-05-03T16:12:21Z,2025-05-03T16:12:21Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.22254,-131.81718,15.50651,5.00756,-1.4541,-11.56253,-2.16951,3.24813,-6.54863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-03,12:12:39,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Slider,NA,NA,75.97244,-0.086043,0.371427,2361.335439,97.489197,09:15:00,5.18922,2.09577,6.16907,-43.83569,3.66205,-17.47091,1.45677,0.98293,70.45966,-8.179236,-2.78591,0.49603,9.19808,2.31563,-2.11496,50,5.16016,-0.12832,-110.56366,-1.42012,11.45218,18.6357,-29.29093,34cdedbc-e098-487f-ad90-bcd5019b7e59,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,PRI_TIG,1,Top,0,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,700be500-2839-11f0-9cba-377ae3aca016,75.98822,NA,NA,5.51279,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:12:39,2025-05-03T16:12:39Z,2025-05-03T16:12:39Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,54.33259,-111.29153,9.31785,5.19329,-0.27608,-14.64546,-2.10122,-0.57562,5.72609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-03,12:13:09,"Mayfield, Carson",1000239175,Right,COR_BRE,Undefined,Fastball,NA,NA,89.67668,-0.723083,-2.548233,2260.292124,240.741642,02:00:00,5.07672,2.05292,6.70833,-25.0456,8.86402,13.78835,2.32784,0.87074,81.49621,-5.474873,-0.036189,0.419115,-8.04969,5.2391,-1.88867,50,5.01892,5.27311,-130.27659,-2.36619,-13.71764,29.52386,-23.24598,91bcf4dd-6212-4dfe-a389-eb9af2c6248e,NA,NA,NA,NA,NA,1000222082,"Bold, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,PRI_TIG,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COR_BRE,PRI_TIG,BoothBaseballField,D1,IVY,20250503-BoothBaseballField-1,81eff900-2839-11f0-9cba-377ae3aca016,89.93351,NA,NA,8.18048,NA,NA,NA,c17e205c-aa14-4645-b72b-04985b461428,2025-05-03,16:13:09,2025-05-03T16:13:09Z,2025-05-03T16:13:09Z,NA,v3,471277,princeton,03 May 2025 15:30-princeton@cornell,"Quatrani, Mark",10286482,Right,COR_BRE,53.79024,-131.13274,14.76193,5.07776,-1.6921,-11.62299,-2.04736,5.6709,-6.85882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
