PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,15:05:22,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,94.79563,-2.488819,-2.772716,1814.888409,235.819028,01:45:00,6.05594,1.57876,5.88228,-21.56726,9.51894,12.598,1.94328,0.05172,87.01757,-6.499429,-0.513034,0.401287,-7.21587,5.84028,-1.3622,50,5.84224,6.10164,-137.52315,-6.74595,-13.85878,29.67877,-20.95725,402c9058-5839-43dd-b2fe-1c44fa7462ff,NA,NA,NA,NA,-49.046886,1000154044,"Bogenpohl, Caden",4958.765664,NA,88.35677,Left,33.588148,63.31398,56.94854,-89.95167,226.11366,140.18759,3.927297,-62.264508,0.73613,1.89496,-0.18316,NA,NA,NA,NA,NA,1,1,MIS_BEA,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,f3498f10-2859-11f0-93df-17ce41bada69,93.92887,62.18096,NA,7.77806,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:05:22,2025-05-03T20:05:22Z,2025-05-03T20:05:22Z,FlyBall,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.61709,-138.51598,14.83938,6.05618,-6.04488,-10.47863,-1.57407,6.56525,-6.92939,NA,0.73681,70.74078,-22.39233,5.87679,-1.45257,0.32145,-0.06995,0.01131,-7.9e-4,1.89508,71.68605,-25.54533,3.22664,-0.54108,0.02545,0.01931,-0.00509,4e-4,-0.18345,-81.52822,8.27563,0.31871,-0.32503,0.04667,0.01812,-0.00621,5.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-05-03,15:05:41,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,96.09015,-2.031672,-2.390377,2083.374644,245.838951,02:15:00,6.11186,1.56295,5.87487,-22.93619,7.9043,15.07316,2.31112,0.59764,86.48159,-6.324593,0.314527,0.399698,-8.48548,5.04709,-1.37832,50,5.93435,5.11086,-139.19067,-5.76829,-16.3434,36.55678,-22.45317,b4c4debf-5b19-4a27-a401-bc8c94d333d0,NA,NA,NA,NA,-122.262474,1000154044,"Bogenpohl, Caden",3448.805391,NA,73.46461,Left,28.653681,NA,NA,NA,NA,43.46374,NA,NA,0.37048,2.34115,-1.0944,NA,NA,NA,NA,NA,1,2,MIS_BEA,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,fe79a230-2859-11f0-93df-17ce41bada69,94.30231,22.29647,NA,9.60856,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:05:41,2025-05-03T20:05:41Z,2025-05-03T20:05:41Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.62159,-140.39922,18.27839,6.11278,-5.02599,-11.22658,-1.55622,5.65116,-8.1717,NA,0.36894,-50.43269,3.93714,NA,NA,NA,NA,NA,NA,2.35962,51.16107,-22.04072,NA,NA,NA,NA,NA,NA,-1.12196,-79.19845,15.74824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
3,2025-05-03,15:05:56,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,95.54509,0.119356,-2.208955,1900.008816,261.626782,02:45:00,6.19494,1.36429,5.80218,-27.76383,3.11374,14.20824,3.99238,0.49287,86.82169,-5.024922,0.336506,0.399938,-7.86268,1.87579,-1.19122,50,6.18833,4.68565,-138.65559,-0.7735,-15.21379,32.76206,-28.54449,37614e3c-1314-4f72-a453-915bf416cc6b,NA,NA,NA,NA,NA,1000154044,"Bogenpohl, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIS_BEA,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,07badda0-285a-11f0-93df-17ce41bada69,94.24562,NA,NA,8.7234,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:05:56,2025-05-03T20:05:56Z,2025-05-03T20:05:56Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.6956,-139.76068,16.38103,6.19819,0.18933,-14.27224,-1.35793,5.19882,-7.6069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-03,15:06:11,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Slider,NA,NA,83.54869,-0.576739,0.753198,2288.542503,107.682477,09:30:00,5.94339,1.49722,6.03831,-33.77836,5.92193,-14.74501,2.59445,0.96591,76.78428,-6.838246,-1.903599,0.453491,7.77044,3.60331,-1.54829,50,5.8803,-1.01986,-121.4469,-2.3003,11.61571,23.58541,-26.7876,a27295cd-9b04-418b-b4b8-36b0a7aa7594,NA,NA,NA,NA,NA,1000154044,"Bogenpohl, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MIS_BEA,1,Top,0,1,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,103c2470-285a-11f0-93df-17ce41bada69,83.11626,NA,NA,6.76441,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:06:11,2025-05-03T20:06:11Z,2025-05-03T20:06:11Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.46027,-122.31003,11.79271,5.94654,-1.31997,-13.3938,-1.50319,-1.44495,5.80785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-03,15:06:40,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Splitter,NA,NA,85.20592,-2.11715,-3.009824,1675.356915,267.742756,03:00:00,5.77033,1.45133,6.27792,-36.50014,2.0352,16.61965,0.77362,0.05948,77.34525,-8.896195,-0.00174,0.446788,-9.62686,2.14091,-1.23679,50,5.59637,5.85661,-123.51808,-5.72656,-14.63607,28.25201,-28.91915,35595385-9a7a-4d99-ba53-f2e8ee90965f,NA,NA,NA,NA,NA,823795,"Rodriguez, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIS_BEA,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,21d302d0-285a-11f0-93df-17ce41bada69,84.36321,NA,NA,7.86067,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:06:40,2025-05-03T20:06:40Z,2025-05-03T20:06:40Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.2206,-124.4797,14.12601,5.77453,-4.74222,-14.45958,-1.44461,6.35478,-7.31804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-03,15:06:54,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,93.93144,-1.502166,-3.959135,1970.0674,263.316525,02:45:00,6.09389,1.39304,6.03519,-29.18478,2.61051,13.17599,2.26722,-1.18086,85.50936,-6.909554,-1.592373,0.405838,-7.94221,2.12055,-1.09055,50,5.96074,8.83883,-136.09962,-4.63669,-14.79734,31.73332,-28.22321,09e8d0ed-dbb0-4a3d-b789-ef3b2f7a0238,NA,NA,NA,NA,NA,823795,"Rodriguez, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MIS_BEA,1,Top,1,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,29ee34d0-285a-11f0-93df-17ce41bada69,92.87558,NA,NA,8.42208,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:06:54,2025-05-03T20:06:54Z,2025-05-03T20:06:54Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.46304,-137.13628,15.86666,6.09715,-3.7147,-14.1116,-1.38719,9.32223,-7.39867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-03,15:07:09,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,93.3593,-1.324357,-3.3408350000000002,1910.561627,263.518326,02:45:00,5.91727,1.52492,5.82769,-29.7273,2.71894,14.2219,2.20657,-0.39906,84.86063,-6.817404,-0.79308,0.409971,-8.30103,2.10134,-1.26041,50,5.79137,7.26877,-135.32164,-4.23608,-15.26016,31.89762,-28.31105,7fa90f65-eab9-4619-beaa-9dd706f63ee0,NA,NA,NA,NA,37.953834,823795,"Rodriguez, Nick",NA,NA,98.65697,Left,-21.001728,NA,NA,NA,7.64203,3.24578,0.043745,30.984679,1.88465,2.27217,0.29405,NA,NA,NA,NA,NA,2,3,MIS_BEA,1,Top,1,2,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,32feea60-285a-11f0-93df-17ce41bada69,91.9392,2.27217,NA,8.49868,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:07:09,2025-05-03T20:07:09Z,2025-05-03T20:07:09Z,GroundBall,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.67122,-136.41829,15.94881,5.92027,-3.26274,-14.15553,-1.51933,7.79342,-7.63008,NA,1.88346,106.68379,NA,NA,NA,NA,NA,NA,NA,2.27275,-51.94093,NA,NA,NA,NA,NA,NA,NA,0.29312,83.21217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-05-03,15:07:48,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Sinker,NA,NA,94.30969,-3.40806,-2.520425,1908.810574,253.918104,02:30:00,5.97534,1.45639,5.92006,-25.78915,6.43796,17.97674,0.65682,0.61403,84.63173,-8.210611,0.711123,0.408585,-10.05375,4.8602,-1.26453,50,5.68762,5.18288,-136.37873,-9.05179,-18.47249,36.81821,-23.24408,bc0ce785-3550-4f59-945c-02905f41c8e4,NA,NA,NA,NA,NA,823817,"McCutcheon, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIS_BEA,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,4a684340-285a-11f0-93df-17ce41bada69,92.25123,NA,NA,9.67796,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:07:48,2025-05-03T20:07:48Z,2025-05-03T20:07:48Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.57574,-137.6085,18.4091,5.977,-8.27541,-11.62204,-1.44795,5.79989,-9.23624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-03,15:08:04,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Splitter,NA,NA,84.05718,-1.0151,-2.603819,1528.070584,289.528994,03:45:00,5.78302,1.63835,6.39991,-43.09435,-3.32445,13.70765,1.25727,0.38451,75.57432,-9.038292,-0.115287,0.453888,-8.05056,-0.88677,-1.45728,50,5.69138,5.01578,-121.85569,-3.52464,-11.77543,30.01544,-33.47112,29ebe59e-18a9-4f21-b53c-da89a171b542,NA,NA,NA,NA,NA,823817,"McCutcheon, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MIS_BEA,1,Top,2,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,540b9be0-285a-11f0-93df-17ce41bada69,83.04348,NA,NA,8.48286,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:08:04,2025-05-03T20:08:04Z,2025-05-03T20:08:04Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,54.09676,-122.86066,15.00772,5.79063,-2.40397,-16.73556,-1.63182,5.41004,-5.88771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-03,15:08:21,"Chadwick, Tyrelle",1000132758,Right,ILL_RED,Undefined,Splitter,NA,NA,83.45773,-0.45236,-2.509106,1518.678207,272.390283,03:00:00,5.7775,1.65999,6.61439,-38.90845,0.85957,14.74028,2.12042,0.58887,75.25502,-7.755448,0.17504,0.453877,-8.55111,1.08114,-1.49457,50,5.73157,4.75981,-121.10473,-2.10998,-12.43054,28.31943,-30.6024,66a9654c-b288-4b0f-9089-0a7222162daa,NA,NA,NA,NA,NA,823817,"McCutcheon, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,MIS_BEA,1,Top,2,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ILL_RED,MIS_BEA,IllinoisStateUniversity,D1,MVC,20250503-IllinoisStateUniversity-1,5dbfe470-285a-11f0-93df-17ce41bada69,83.04546,NA,NA,8.20271,NA,NA,NA,3a45da34-084e-4cbf-b760-a7a639b98c8a,2025-05-03,20:08:21,2025-05-03T20:08:21Z,2025-05-03T20:08:21Z,NA,v3,471316,471451,03 May 2025 16:00-missourist@illinoisst,"Contreras, Daniel",10058285,Right,ILL_RED,53.88219,-122.00917,14.15972,5.78336,-1.13262,-15.3012,-1.65293,5.1568,-6.21527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
