PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,18:36:04,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,FourSeamFastBall,NA,NA,89.65569,-2.26176,-0.885723,2295.726692,214.752082,01:15:00,5.67096,1.01264,5.38364,-20.0506,15.23245,9.82036,1.87869,1.00072,82.43287,-5.98586,0.861081,0.427518,-5.16362,8.58028,-0.94058,50,5.45471,1.56934,-130.1202,-5.83079,-8.90081,25.91897,-17.38381,964d4e28-4bde-440e-875b-306305650a0d,NA,NA,NA,NA,NA,10289624,"Beck, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,IND_SYC,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,5fdb52c0-2d2e-11f0-ba34-d7c4f887a3c2,88.16574,NA,NA,7.22281,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:36:04,2025-05-09T23:36:04Z,2025-05-09T23:36:04Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.11411,-131.13494,12.95949,5.66967,-5.15021,-8.6919,-1.00885,1.91781,-4.45041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-09,18:36:21,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,ChangeUp,NA,NA,84.53258,-0.762732,-0.731848,1968.528063,271.100419,03:00:00,5.28624,1.56383,4.61169,-39.91093,0.9048,16.44481,1.23501,2.23834,78.01201,-7.920295,2.156153,0.459817,-8.22894,1.01988,-1.50454,50,5.17089,0.8092,-122.68111,-3.25029,-12.60088,23.18895,-30.61229,df904aa9-132a-4209-8ace-f0546f230e7c,NA,NA,NA,NA,NA,10289624,"Beck, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,IND_SYC,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,69f90b80-2d2e-11f0-ba34-d7c4f887a3c2,81.97265,NA,NA,6.52057,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:36:21,2025-05-09T23:36:21Z,2025-05-09T23:36:21Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.88801,-123.78904,11.59448,5.29124,-1.78768,-15.30615,-1.55759,1.41125,-6.30044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-09,18:36:38,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,ChangeUp,NA,NA,85.47908,-0.878326,-2.36092,2022.933598,277.620158,03:15:00,5.29438,1.49753,4.90654,-40.16498,-0.78102,14.35894,1.11593,0.4602,79.12926,-8.104546,0.172857,0.45168,-7.71481,0.17071,-1.27935,50,5.17454,4.47314,-124.07371,-3.49545,-12.12837,22.84714,-31.90566,2aad75cf-f6bb-4de3-a5a2-41c69a79596d,NA,NA,NA,NA,NA,10289624,"Beck, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,IND_SYC,1,Top,0,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,74084550-2d2e-11f0-ba34-d7c4f887a3c2,83.44938,NA,NA,6.34982,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:36:38,2025-05-09T23:36:38Z,2025-05-09T23:36:38Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.59418,-125.09959,11.42357,5.29933,-2.06282,-15.95283,-1.49243,5.01773,-6.06419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-09,18:36:55,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,Curveball,NA,NA,78.3912,1.481188,-0.332003,3031.863662,40.92628,07:15:00,5.77264,1.09077,4.45507,-61.98881,-13.80343,-13.30528,2.01963,-0.33459,71.93116,-9.558144,-2.663208,0.499608,6.43122,-6.84126,-1.04179,50,5.86781,1.22733,-113.68098,0.52527,8.3636,22.05366,-41.07089,1c3e5f37-393e-4c30-bde6-853bce0dd185,NA,NA,NA,NA,NA,10289624,"Beck, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,IND_SYC,1,Top,0,1,2,Curveball,InPlay,Undefined,Bunt,Single,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,7e6d8e60-2d2e-11f0-ba34-d7c4f887a3c2,75.44406,NA,NA,6.46004,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:36:55,2025-05-09T23:36:55Z,2025-05-09T23:36:55Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,56.04778,-114.84823,11.02683,5.78248,2.69906,-20.53544,-1.09504,0.78466,4.1818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-09,18:37:35,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,Slider,NA,NA,80.23701,1.605606,-1.305627,3108.013906,68.039957,08:15:00,5.17967,1.84108,4.75196,-50.08066,-4.88441,-15.46021,2.52977,-0.6857,73.88457,-7.390261,-4.022111,0.483863,7.23095,-2.41725,-1.69558,50,5.29657,3.32219,-116.41234,1.34311,9.94386,21.41877,-35.49822,5c1e1c8c-e34e-45a9-9108-4b366a832c94,NA,NA,NA,NA,NA,10316329,"Emerich, Thomas",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,IND_SYC,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,964ba210-2d2e-11f0-ba34-d7c4f887a3c2,77.89895,NA,NA,6.35244,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:37:35,2025-05-09T23:37:35Z,2025-05-09T23:37:35Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.74867,-117.46527,10.70939,5.18765,3.08819,-17.74911,-1.84689,2.83336,4.97193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-09,18:38:16,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,Slider,NA,NA,80.89979,1.4232070000000001,0.475138,2886.949282,104.633465,09:30:00,5.15554,1.6746,4.59685,-40.3127,4.38607,-11.55658,3.15005,1.16345,74.17709,-5.858304,-1.5504,0.481193,5.79217,2.14295,-1.71214,50,5.26504,-0.46503,-117.33588,1.37606,8.09775,21.61827,-29.17808,018daf6b-6d73-4bb7-afe2-2a66135d6232,NA,NA,NA,NA,NA,10316329,"Emerich, Thomas",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,IND_SYC,1,Top,0,0,1,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,ae9d1100-2d2e-11f0-ba34-d7c4f887a3c2,78.33124,NA,NA,6.7227,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:38:16,2025-05-09T23:38:16Z,2025-05-09T23:38:16Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.90199,-118.41828,10.80914,5.15957,2.83698,-14.58904,-1.6787,-0.87047,4.04887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-09,18:38:59,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,Curveball,NA,NA,77.21164,0.695157,-0.691172,3004.20543,58.358517,08:00:00,5.62436,1.24156,4.53981,-57.51653,-8.17044,-15.74343,1.49323,-0.72847,71.16201,-9.563558,-3.453082,0.505589,7.51989,-3.78937,-1.15371,50,5.64182,2.01227,-112.02008,-0.81512,9.53017,20.73193,-36.97642,b1d657ae-d8be-49da-9f59-2b59c016df89,NA,NA,NA,NA,NA,695557,"Pena, Carlos",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,IND_SYC,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,c82b6cc0-2d2e-11f0-ba34-d7c4f887a3c2,74.5515,NA,NA,6.04963,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:38:59,2025-05-09T23:38:59Z,2025-05-09T23:38:59Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.96197,-113.1181,10.36596,5.63314,1.14325,-18.48821,-1.24692,1.50753,4.76509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-09,18:39:18,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,ChangeUp,NA,NA,84.81959,-1.732433,-1.90087,1975.689521,269.27153,03:00:00,5.29071,1.61206,4.91901,-38.53282,1.29492,15.00682,0.44031,1.0648,78.94339,-8.652531,0.749805,0.454218,-7.92363,1.37705,-1.43987,50,5.08919,3.42963,-123.16817,-5.22854,-12.32556,21.57166,-30.03198,66ca8fe7-aedd-4d66-96cb-aa61b1ded574,NA,NA,NA,NA,NA,695557,"Pena, Carlos",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,IND_SYC,1,Top,1,0,1,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,d37a2b70-2d2e-11f0-ba34-d7c4f887a3c2,82.98319,NA,NA,5.8762,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:39:18,2025-05-09T23:39:18Z,2025-05-09T23:39:18Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.5822,-124.14198,10.78583,5.29462,-3.8728,-15.01599,-1.60725,3.98605,-6.16278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-09,18:39:42,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,ChangeUp,NA,NA,86.00379,-0.953526,-1.130684,1995.002578,252.044914,02:30:00,5.28276,1.58858,4.9355,-32.54128,6.16626,15.67418,1.6695,1.82594,79.71193,-6.844076,1.636096,0.447785,-8.03457,3.62221,-1.49225,50,5.16306,1.75941,-124.93369,-3.34096,-12.84976,22.36647,-26.38099,c7e13e19-fff2-4613-8cc1-c81f9d3f5b67,NA,NA,NA,NA,NA,695557,"Pena, Carlos",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,IND_SYC,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,e2094810-2d2e-11f0-ba34-d7c4f887a3c2,84.17537,NA,NA,6.29186,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:39:42,2025-05-09T23:39:42Z,2025-05-09T23:39:42Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.56435,-125.92592,11.18324,5.28532,-2.17064,-13.1905,-1.58295,2.32945,-6.42488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-09,18:40:03,"Schaaf, Jason",1000268879,Right,MIS_BEA,Undefined,ChangeUp,NA,NA,85.91671,-1.12894,-2.148831,2050.552898,249.272112,02:15:00,5.29645,1.56813,4.88044,-31.37765,7.87,17.5645,1.61265,0.99783,78.884,-6.832557,0.946627,0.450898,-9.24449,4.55587,-1.37268,50,5.15925,3.87318,-124.60058,-3.66481,-14.57438,24.37226,-24.99152,1a6b895a-2faf-48e8-9f9c-e995d1c9f28f,NA,NA,NA,NA,NA,695557,"Pena, Carlos",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,IND_SYC,1,Top,1,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIS_BEA,IND_SYC,Hammons,D1,MVC,20250509-Hammons-1,ee5ec860-2d2e-11f0-ba34-d7c4f887a3c2,83.59419,NA,NA,7.03271,NA,NA,NA,7768e854-71f9-4ab5-9c91-261d7d2c282e,2025-05-09,23:40:03,2025-05-09T23:40:03Z,2025-05-09T23:40:03Z,NA,v3,471451,471319,09 May 2025 19:30-indianast@missourist,"Bergman, Carter",1000138588,Right,MIS_BEA,55.61831,-125.69473,12.18613,5.29859,-2.54286,-12.49576,-1.56124,4.52747,-7.28719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
