PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-10,14:05:26,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,91.75074,-1.282219,-2.859919,2076.298167,218.94254,01:15:00,6.14785,2.17811,6.10947,-17.78277,15.36493,11.51383,3.47865,0.49091,83.31484,-4.671461,-0.787839,0.414379,-6.74709,8.62571,-1.96417,50,6.03993,6.15061,-133.0787,-3.50679,-12.02719,30.15627,-16.79809,25ef673a-1684-41f5-90d5-3c317f50ee33,NA,NA,NA,NA,NA,1000249350,"Whitley, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RIC_SPI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,5a4b5c10-2dc9-11f0-b362-f1d6323c3d6e,90.9612,NA,NA,8.43589,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:05:26,2025-05-10T18:05:26Z,2025-05-10T18:05:26Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.38659,-134.06904,15.07814,6.14604,-2.95514,-8.39904,-2.17264,6.54558,-6.0136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-10,14:05:44,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,92.24486,-1.860269,-2.539922,2147.390939,204.971476,12:45:00,6.3225,1.86609,6.02311,-14.26328,18.46702,8.10973,3.40865,0.18794,84.20055,-4.598212,-1.082698,0.411762,-4.93189,10.38249,-1.67181,50,6.16912,5.60057,-133.88404,-4.75722,-8.93955,29.27514,-13.3548,cd823f4e-2b7a-46a1-8858-c59b32091c4e,NA,NA,NA,NA,168.243094,1000249350,"Whitley, Aaron",3529.295767,NA,74.05255,Right,28.929332,NA,NA,NA,NA,48.23035,NA,NA,1.87271,3.50715,-0.20107,NA,NA,NA,NA,NA,1,2,RIC_SPI,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,64a5cfb0-2dc9-11f0-b362-f1d6323c3d6e,91.53936,24.70281,NA,8.04432,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:05:44,2025-05-10T18:05:44Z,2025-05-10T18:05:44Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.47597,-134.85921,14.63757,6.32017,-4.31237,-6.6774,-1.86332,5.89835,-4.46977,313.201183,1.87271,-93.06325,6.58086,0.3313,-0.43745,1.01575,-2.02268,2.19598,-0.93401,3.50715,52.53817,-27.46698,3.57291,-1.17793,1.80358,-3.5421,3.76242,-1.54218,-0.20107,19.36899,-9.52859,2.19122,-0.92617,1.82001,-3.69618,3.94476,-1.62378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-05-10,14:06:10,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,Slider,NA,NA,84.08648,0.655188,-3.57119,1014.034137,273.913257,03:15:00,6.04427,1.96001,6.45132,-38.52372,0.84847,8.3839,3.43708,-0.62646,75.85676,-6.555986,-2.053645,0.451613,-5.49315,0.72618,-1.71011,50,6.07449,7.27965,-121.8625,0.20392,-8.12208,27.68794,-31.10031,db947ab8-3f49-45d4-84f1-8227545c514e,NA,NA,NA,NA,NA,1000249350,"Whitley, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RIC_SPI,1,Top,0,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,749120f0-2dc9-11f0-b362-f1d6323c3d6e,83.46186,NA,NA,8.22972,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:06:10,2025-05-10T18:06:10Z,2025-05-10T18:06:10Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.04359,-122.77779,13.84397,6.05075,1.23201,-15.55015,-1.95519,7.54815,-4.06104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-10,14:06:29,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,92.57503,-3.038409,-4.01954,2062.526947,207.237124,01:00:00,6.25425,1.6966,6.31705,-13.79469,18.55489,8.99571,2.29663,-1.26202,84.35255,-5.702169,-2.398043,0.40936,-5.793,10.81713,-1.40614,50,6.02441,9.03804,-134.0377,-7.47861,-10.51101,29.68774,-12.54698,49e05cd8-5bae-4325-9996-7bb2343ae3d7,NA,NA,NA,NA,NA,1000249350,"Whitley, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,RIC_SPI,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,7fa128f0-2dc9-11f0-b362-f1d6323c3d6e,92.0764,NA,NA,8.22248,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:06:29,2025-05-10T18:06:29Z,2025-05-10T18:06:29Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.17919,-134.96017,14.84387,6.25073,-7.08875,-6.27349,-1.69204,9.36465,-5.25551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-10,14:06:53,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,91.14767,-3.383515,-3.295319,1981.509974,212.621172,01:00:00,6.11906,1.65625,6.11186,-16.63265,16.82737,10.08457,1.59568,-0.55368,83.51429,-6.537516,-1.481295,0.416327,-6.11406,9.94591,-1.40845,50,5.85006,7.18491,-132.07033,-8.30369,-10.81564,27.71967,-14.57998,17b46451-4e7a-43aa-8a50-0149a567652c,NA,NA,NA,NA,NA,1000249350,"Whitley, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,RIC_SPI,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,8dfed550-2dc9-11f0-b362-f1d6323c3d6e,90.53566,NA,NA,7.63338,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:06:53,2025-05-10T18:06:53Z,2025-05-10T18:06:53Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.38626,-132.98776,13.85984,6.11689,-7.82114,-7.28999,-1.65218,7.54288,-5.40782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-10,14:07:25,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,89.76275,-3.113878,-5.005336,2074.508394,213.574901,01:00:00,6.24033,1.9657,5.97146,-16.54851,18.36308,11.41772,1.96057,-1.73501,81.90606,-6.261305,-2.964774,0.425262,-7.21689,10.62438,-1.57464,50,5.98339,10.87202,-129.73046,-7.55097,-12.29242,27.27662,-14.0777,8ce5c774-e95e-46db-a3a9-2f173823838f,NA,NA,NA,NA,NA,811757,"Jaffe, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RIC_SPI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,a0e4c8f0-2dc9-11f0-b362-f1d6323c3d6e,88.63354,NA,NA,7.8567,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:07:25,2025-05-10T18:07:25Z,2025-05-10T18:07:25Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.52483,-130.67836,13.63831,6.2373,-7.06175,-7.03885,-1.95988,11.2992,-6.14621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-10,14:07:48,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,Slider,NA,NA,81.72643,1.513111,-2.482301,2501.914458,166.047686,11:30:00,5.57458,2.27562,5.7433,-34.96242,7.35867,-1.48591,4.07149,-0.16083,74.37851,-4.97084,-2.747707,0.46822,0.0272,3.74067,-2.06826,50,5.67937,5.19671,-118.48992,1.99964,0.03851,23.61168,-26.88042,0ead9a19-908f-45be-8bac-44af741d840a,NA,NA,NA,NA,NA,811757,"Jaffe, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,RIC_SPI,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,aea1a170-2dc9-11f0-b362-f1d6323c3d6e,80.50161,NA,NA,7.34791,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:07:48,2025-05-10T18:07:48Z,2025-05-10T18:07:48Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.75212,-119.43312,11.80584,5.57805,3.07342,-13.44021,-2.27582,5.19517,0.01926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-10,14:08:08,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,92.27085,-3.299918,-4.63209,2150.214952,217.493256,01:15:00,6.21363,1.81206,6.2242,-15.59753,17.21737,12.34477,1.85575,-1.44243,83.89839,-6.28831,-2.412793,0.412294,-7.71233,10.20571,-1.47087,50,5.95799,10.28374,-133.42072,-8.14393,-13.83367,30.0197,-13.86799,c6439ea9-3034-464c-9548-bd6facda74d3,NA,NA,NA,NA,NA,811757,"Jaffe, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,RIC_SPI,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,ba8ca020-2dc9-11f0-b362-f1d6323c3d6e,91.42124,NA,NA,8.37246,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:08:08,2025-05-10T18:08:08Z,2025-05-10T18:08:08Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.2723,-134.37855,15.00985,6.21078,-7.70145,-6.934,-1.80603,10.72513,-6.91684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.00431,2.019352,0.734464,1.284888,-1.27573,1.55448,1.55322,-2.24977,6.26134,2.17029,127.27902,1.4264,5.54318,-2.07983,114.74082,-11.04835,6.30297,12.38543,-12.62133,2.0797,-2.23546,3.89136,High,High,High,NA,NA,High,Medium,Medium
9,2025-05-10,14:08:39,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,92.89571,-2.985208,-5.421925,2216.546264,211.583752,01:00:00,6.15707,1.85116,6.36889,-15.01517,16.98249,9.81784,2.14415,-2.33457,85.0989,-5.856813,-3.656649,0.407128,-6.53241,9.9419,-1.4626,50,5.933,12.33819,-134.32792,-7.43748,-11.9791,28.10484,-13.94266,1b40a043-704d-45bf-a315-08f86df5e4b3,NA,NA,NA,NA,NA,811757,"Jaffe, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,RIC_SPI,1,Top,0,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,cd24e8f0-2dc9-11f0-b362-f1d6323c3d6e,92.58136,NA,NA,7.79681,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:08:39,2025-05-10T18:08:39Z,2025-05-10T18:08:39Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.1282,-135.18888,14.05242,6.15429,-7.01036,-6.97133,-1.84618,12.70515,-5.98955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-10,14:10:04,"Roarty, Riley",1000195498,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,90.68158,-3.32894,-2.417781,2161.27858,210.49709,01:00:00,6.13979,2.21039,6.24445,-15.31737,18.45253,10.19768,1.78681,0.82892,82.6302,-6.268614,-0.576764,0.41825,-6.03028,10.91087,-2.03548,50,5.8841,5.14017,-131.46934,-8.06353,-10.50074,29.19057,-13.17456,4c003560-ce8a-4f76-9efa-9b0029f11510,NA,NA,NA,NA,NA,1000248956,"Bernstein, Phillip",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RIC_SPI,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,RIC_SPI,TheDiamond,D1,A10,20250510-TheDiamond-1,ffdd8770-2dc9-11f0-b362-f1d6323c3d6e,90.11936,NA,NA,8.05138,NA,NA,NA,11f23117-4e90-45f2-becb-7a8a23090302,2025-05-10,18:10:04,2025-05-10T18:10:04Z,2025-05-10T18:10:04Z,NA,v3,471479,471420,10 May 2025 14:00-richmond@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,54.25382,-132.41047,14.59529,6.13723,-7.63878,-6.58728,-2.20665,5.47872,-5.25037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
