PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-11,16:51:22,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,85.41785,-1.091834,-2.48664,1971.606091,238.460163,02:00:00,5.5345,1.99673,5.60362,-26.44879,12.59079,18.32836,2.3101,1.20129,77.56989,-6.022989,0.784368,0.449701,-10.0876,7.0963,-1.79619,50,5.42405,4.61679,-123.85802,-3.23094,-15.53566,26.72184,-21.24519,3027ca1d-19c3-4a3d-a310-1d40fad839f3,NA,NA,NA,NA,-16.815912,823247,"Barr, Chris",3408.942911,NA,91.05616,Left,22.276859,102.66746,37.6864,-39.48829,313.40505,305.85905,3.672709,-27.153101,1.12057,2.34446,-1.21364,NA,NA,NA,NA,NA,1,1,ARM_BLA,1,Top,0,0,0,Changeup,InPlay,Undefined,LineDrive,Out,1,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,b2253920-2ea9-11f0-9dcc-8b42fe99ae61,83.81664,44.87354,NA,7.84796,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:51:22,2025-05-11T20:51:22Z,2025-05-11T20:51:22Z,LineDrive,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.89626,-124.90991,13.36092,5.53477,-2.39464,-10.6226,-1.98996,5.22833,-7.76783,132.673606,1.11977,118.32361,-21.57456,5.13942,-1.31934,0.3734,-0.09474,0.01502,-9.9e-4,2.34528,50.59858,-15.80842,0.17276,0.37134,-0.20802,0.06389,-0.00969,5.5e-4,-1.21376,-35.74513,-3.63836,1.88169,-0.56294,0.11501,-0.0158,0.00116,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-05-11,16:51:51,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,84.87323,-2.944481,-2.341817,2126.434617,233.28156,01:45:00,5.54866,2.04047,5.75267,-25.55163,14.03642,16.89576,0.67356,1.26718,76.92066,-7.718385,0.684039,0.452849,-9.49245,8.50993,-1.85702,50,5.28854,4.35799,-122.92752,-7.12821,-14.31536,27.64993,-19.34044,3cf179e7-e65e-4011-90d8-7f7b376ef962,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARM_BLA,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,c3e2d960-2ea9-11f0-9dcc-8b42fe99ae61,83.23399,NA,NA,7.95257,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:51:51,2025-05-11T20:51:51Z,2025-05-11T20:51:51Z,NA,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.74791,-123.99086,13.82496,5.54837,-6.38442,-9.67022,-2.0352,4.90852,-7.15768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-11,16:52:04,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,85.327,-1.043823,-3.742564,2105.28631,234.590207,01:45:00,5.51891,2.0296,5.56559,-25.06954,14.2395,18.08942,2.45246,0.03581,77.28451,-5.733439,-0.522641,0.45125,-10.38099,7.92059,-1.71897,50,5.4125,7.33385,-123.56489,-3.06802,-15.89306,26.86525,-20.04777,46c387f3-33da-4ad3-b263-74c4e167ebc7,NA,NA,NA,NA,-75.393187,1000235153,"Ainsworth, Addison",4269.950474,NA,72.52713,Left,66.031185,4.14737,102.87821,-109.92178,168.51017,74.79358,4.989336,-90.088384,3.82775,2.58959,0.38012,NA,NA,NA,NA,NA,2,2,ARM_BLA,1,Top,1,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,cb757a70-2ea9-11f0-9dcc-8b42fe99ae61,83.52888,108.98865,NA,8.04249,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:52:04,2025-05-11T20:52:04Z,2025-05-11T20:52:04Z,Popup,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.93459,-124.63314,13.43263,5.51865,-2.27085,-10.02388,-2.02315,7.96581,-7.94653,NA,3.83195,10.78386,-7.26588,1.35296,0.47763,-0.41249,0.12278,-0.01697,9e-4,2.60147,96.94123,-26.08226,1.321,1.00165,-0.63807,0.16598,-0.02094,0.00105,0.37436,-41.7103,1.15984,0.71777,-0.43036,0.10123,-0.00257,-0.00223,2.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
4,2025-05-11,16:52:24,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,86.74829,-0.251142,-3.182823,2011.120955,231.923481,01:45:00,5.55171,2.1546,5.60569,-24.95438,12.60509,14.57146,3.23738,0.39469,79.27241,-4.898284,-0.585971,0.441094,-8.30835,6.80898,-1.89192,50,5.51415,6.38757,-125.83847,-1.38443,-13.33008,25.3966,-21.24962,9fe364f2-5b34-442c-ab3b-ffc6a2137792,NA,NA,NA,NA,-144.58282,1000235153,"Ainsworth, Addison",3457.248988,NA,65.62632,Left,28.28581,-92.91314,23.84212,-58.88173,161.99586,61.23594,2.305823,-149.494917,2.11989,3.25329,-0.34652,NA,NA,NA,NA,NA,2,3,ARM_BLA,1,Top,1,1,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,d777aaa0-2ea9-11f0-9dcc-8b42fe99ae61,85.45219,26.73962,NA,7.47588,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:52:24,2025-05-11T20:52:24Z,2025-05-11T20:52:24Z,FlyBall,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.8949,-126.8225,12.6983,5.55184,-0.56107,-10.62481,-2.14942,6.90407,-6.66504,41.760457,2.12002,-69.08243,2.56684,0.21214,0.40435,-0.51051,0.3008,-0.08453,0.00912,3.2533,45.61082,-24.28072,2.48533,-0.53313,0.12486,-0.03656,0.01119,-0.00156,-0.3464,-49.12716,7.68886,-1.4406,0.76575,-0.56762,0.30305,-0.0852,0.0094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-05-11,16:52:42,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Curveball,NA,NA,77.24173,-1.234056,-3.285411,1829.675877,260.420958,02:45:00,5.4417,2.25278,5.8508,-45.24428,3.08595,6.81414,0.52258,-0.23557,69.34978,-9.600406,-2.063159,0.500358,-4.74162,2.4814600000000002,-1.98967,50,5.3148,6.16806,-111.74544,-3.77999,-5.81228,25.86677,-29.13226,3d24a3a2-6e11-4b10-b0c5-5f5cc60dfd35,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ARM_BLA,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,e22bfe10-2ea9-11f0-9dcc-8b42fe99ae61,75.33095,NA,NA,7.89195,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:52:42,2025-05-11T20:52:42Z,2025-05-11T20:52:42Z,NA,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.64777,-112.81617,12.93338,5.44632,-2.57408,-14.56613,-2.24997,6.40866,-2.90614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-11,16:53:02,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,87.4159,-2.23628,-4.054761,1958.705687,220.633977,01:15:00,5.52272,1.882,5.79655,-20.06903,16.99997,13.49828,1.76393,-0.77102,79.46866,-6.0261,-1.644041,0.438205,-8.13886,9.72264,-1.55651,50,5.3265,8.4147,-126.54555,-5.56419,-13.11759,27.28628,-16.50383,38799fc2-49db-46e8-bc40-e0a10de73881,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,ARM_BLA,1,Top,1,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,ede4a220-2ea9-11f0-9dcc-8b42fe99ae61,86.01563,NA,NA,7.94724,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:53:02,2025-05-11T20:53:02Z,2025-05-11T20:53:02Z,NA,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.70341,-127.55569,13.64314,5.52118,-4.95322,-8.25191,-1.877,8.90031,-6.5588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-11,16:53:17,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,86.20982,-1.340982,-3.874093,1905.447431,228.607952,01:30:00,5.42351,2.00312,5.588,-22.60269,15.77276,16.40635,2.28465,-0.25283,78.30032,-5.581053,-0.953839,0.44586,-9.54721,8.7776,-1.68137,50,5.29368,7.77537,-124.85509,-3.6523,-14.97246,26.66623,-18.40858,4167de99-363b-462b-b3ad-49d75a9080b2,NA,NA,NA,NA,22.538024,1000235153,"Ainsworth, Addison",2533.713844,NA,100.16746,Left,27.513248,101.26451,53.67677,42.95903,375.80835,367.16637,4.96833,24.36457,3.53976,2.53691,0.2523,NA,NA,NA,NA,NA,2,6,ARM_BLA,1,Top,1,3,2,Changeup,InPlay,Undefined,FlyBall,Triple,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,f6c287e0-2ea9-11f0-9dcc-8b42fe99ae61,84.53882,79.64538,NA,7.9095,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:53:17,2025-05-11T20:53:17Z,2025-05-11T20:53:17Z,FlyBall,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.91258,-125.89993,13.33311,5.42265,-2.931,-9.20429,-1.99752,8.36203,-7.48623,193.769282,3.5415,120.31094,-24.86121,6.01498,-1.18578,0.19899,-0.03048,0.00363,-2e-4,2.53823,67.83128,-15.78662,0.06808,0.3947,-0.21237,0.05963,-0.00824,4.4e-4,0.2527,49.93518,-6.86971,0.97861,-0.09696,0.00737,-0.00189,4.8e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-05-11,16:54:05,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,85.94222,-1.047034,-4.296389,2104.496288,236.236418,01:45:00,5.51247,2.01057,5.79936,-24.26852,14.59843,19.59576,2.51338,-0.36007,76.97896,-5.63696,-0.796466,0.448706,-11.35985,8.20906,-1.66843,50,5.41199,8.49776,-124.24412,-3.02233,-17.40125,29.54003,-19.59922,b3170ecf-a16d-4b50-be69-6a4db7fd460b,NA,NA,NA,NA,NA,10284379,"Parker, William",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARM_BLA,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,13ac6ab0-2eaa-11f0-9dcc-8b42fe99ae61,84.00258,NA,NA,8.96327,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:54:05,2025-05-11T20:54:05Z,2025-05-11T20:54:05Z,NA,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.69704,-125.35591,14.77002,5.51186,-2.28469,-9.79961,-2.00058,9.15268,-8.70063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-11,16:54:20,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Curveball,NA,NA,76.16975,0.207767,-2.733369,1983.511169,201.506415,12:45:00,5.32164,2.17779,5.68145,-40.56853,9.49985,2.93886,2.13483,-0.1272,67.91878,-7.359067,-2.208588,0.509276,-2.52941,5.26512,-1.94933,50,5.3141,5.15184,-110.17911,-0.80531,-3.00926,25.43764,-25.91006,bb963d23-0f8a-409c-96bf-9306050b3ad9,NA,NA,NA,NA,-26.019427,10284379,"Parker, William",2765.313457,NA,103.88675,Right,24.635648,98.76031,47.42224,-48.43936,416.1571,411.82674,4.808833,-28.495765,2.62554,2.24768,0.12935,NA,NA,NA,NA,NA,3,2,ARM_BLA,1,Top,1,0,1,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,1c581ce0-2eaa-11f0-9dcc-8b42fe99ae61,74.01183,73.71807,NA,8.25097,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:54:20,2025-05-11T20:54:20Z,2025-05-11T20:54:20Z,FlyBall,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.81535,-111.2853,12.71882,5.32462,0.32142,-12.95503,-2.17621,5.2827,-1.50463,168.593279,2.62517,124.4699,-23.2848,5.78665,-1.34886,0.30212,-0.05536,0.00641,-3.2e-4,2.24921,63.47888,-14.58416,-0.17327,0.42628,-0.1942,0.04824,-0.00612,3.1e-4,0.1297,-60.76445,8.7224,-2.00631,0.46339,-0.11224,0.02265,-0.00279,1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-05-11,16:55:06,"Grenn, Tyler",810001,Right,NAV_MID,Undefined,Fastball,NA,NA,85.70368,-1.478888,-3.534488,2127.090625,233.626108,01:45:00,5.48938,2.06216,5.84447,-23.98249,14.43804,17.82603,2.11355,0.25881,77.92913,-5.9828,-0.343387,0.446121,-10.16764,8.20024,-1.78479,50,5.35481,6.94388,-124.2017,-3.95402,-15.78612,26.28406,-19.4425,e0fc51e0-16fc-42b3-95dd-7b8209ab06a9,NA,NA,NA,NA,-63.645365,1000136807,"Lehman, Justin",3299.697268,NA,95.41751,Right,6.992277,42.15052,6.96777,-101.60346,169.69496,124.70288,1.47033,-69.566782,-0.35168,2.03732,-0.26762,NA,NA,NA,NA,NA,4,1,ARM_BLA,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,ARM_BLA,USNavalAcademy,D1,PAT,20250511-USNavalAcademy-2,380d0220-2eaa-11f0-9dcc-8b42fe99ae61,84.48921,7.58814,NA,7.77455,NA,NA,NA,6603de47-20f4-492b-9db4-e09232cade86,2025-05-11,20:55:06,2025-05-11T20:55:06Z,2025-05-11T20:55:06Z,LineDrive,v3,471474,4744,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.65507,-125.18294,13.14203,5.48887,-3.22818,-9.72125,-2.05502,7.53322,-7.89306,NA,-0.35168,61.66334,-18.44558,3.67432,-0.81536,0.18061,-0.03846,0.00664,-6.2e-4,2.03732,17.03634,-13.61982,0.94023,-0.1889,0.04784,-0.00968,0.00167,-1.6e-4,-0.26762,-124.46735,14.09973,-2.58121,0.56021,-0.12302,0.02641,-0.00459,4.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
