PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,12:59:25,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,92.2403,-0.916984,-2.923542,2311.675526,234.679965,01:45:00,6.0985,1.6762,5.61081,-21.64966,12.04477,15.27619,3.43725,0.21799,83.095,-4.98304,-0.19926,0.417783,-8.66689,6.74142,-1.43624,50,6.00634,6.12329,-133.60148,-2.89098,-15.43836,32.66865,-20.16552,a194f3af-c4d3-44e4-8174-8eb4c9da0af3,NA,NA,NA,NA,154.960878,828657,"Robbins, Aiden",4276.720108,NA,78.36451,Right,37.209308,NA,NA,NA,NA,35.55061,NA,NA,0.38832,3.19616,-0.08892,NA,NA,NA,NA,NA,1,1,SET_PIR,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,4a194920-3340-11f0-8198-05ded8b5e451,90.22021,26.44961,NA,9.1453,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,16:59:25,2025-05-17T16:59:25Z,2025-05-17T16:59:25Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,54.88745,-134.79127,16.33432,6.09825,-2.15655,-10.08276,-1.66949,6.68555,-7.71918,NA,0.38844,-82.94228,7.11018,NA,NA,NA,NA,NA,NA,3.21634,68.84673,-30.83958,NA,NA,NA,NA,NA,NA,-0.07669,38.34299,-11.21474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
2,2025-05-17,12:59:42,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Curveball,NA,NA,80.88857,1.03779,-1.264483,2379.546073,220.638067,01:15:00,5.81297,2.0495,5.29929,-40.89105,2.84138,1.24508,3.38005,0.96592,73.97168,-6.438807,-1.043415,0.475963,-0.97555,1.58866,-1.93546,50,5.87781,2.53811,-117.3523,0.68282,-1.35862,22.48599,-29.96164,b792f20c-7f65-4fcf-8134-95a9726e2127,NA,NA,NA,NA,NA,828657,"Robbins, Aiden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SET_PIR,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,546fec30-3340-11f0-8198-05ded8b5e451,79.19197,NA,NA,6.91689,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,16:59:42,2025-05-17T16:59:42Z,2025-05-17T16:59:42Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.19911,-118.34432,11.243,5.81853,2.00464,-14.98082,-2.04875,2.59805,-0.67931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-17,13:00:02,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Slider,NA,NA,79.72675,1.395478,-1.008577,2584.128484,72.625354,08:30:00,5.69679,1.90791,4.8297,-48.75621,-2.76921,-13.62005,2.95581,-0.18236,72.83858,-7.406576,-3.405959,0.488078,6.45772,-1.40693,-1.7954,50,5.79288,2.60831,-115.59843,1.00412,8.68354,22.80823,-34.0659,2020b2fc-dfd7-4e1b-8556-e28a82fca15a,NA,NA,NA,NA,-13.080202,828657,"Robbins, Aiden",2113.532508,NA,103.59865,Right,9.493971,106.17595,5.21349,-28.75126,137.83402,136.88653,1.05053,-15.674916,0.69557,2.84331,0.23394,NA,NA,NA,NA,NA,1,3,SET_PIR,1,Top,0,1,1,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,60373640-3340-11f0-8198-05ded8b5e451,77.2263,8.3171,NA,6.88817,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:00:02,2025-05-17T17:00:02Z,2025-05-17T17:00:02Z,LineDrive,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.67209,-116.7122,11.40411,5.70323,2.66762,-17.03295,-1.91241,2.1842800000000002,4.34177,41.593447,0.69557,145.97571,-22.62886,3.87918,-1.05995,0.53121,-0.17237,-0.05717,0.04071,2.8433,25.06335,-30.68617,5.18146,-1.70916,1.02719,-0.51531,0.08527,0.01677,0.23394,-33.91452,-4.27411,3.54811,-1.97964,1.75378,-1.12177,0.32499,-0.01765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-05-17,13:00:36,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,90.76146,0.615088,-3.498568,2269.693398,240.139021,02:00:00,5.88293,1.80306,5.44837,-23.51131,11.24225,17.55174,4.50062,-0.01388,82.26386,-3.766337,-0.381699,0.424298,-9.78001,5.81847,-1.50592,50,5.92144,7.21877,-131.46937,0.57369,-17.0325,29.15713,-22.04082,2b791c8e-5f93-44bc-b718-72fb660d5e8a,NA,NA,NA,NA,NA,831009,"Pacheco, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SET_PIR,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,748a9c90-3340-11f0-8198-05ded8b5e451,88.83478,NA,NA,8.4976,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:00:36,2025-05-17T17:00:36Z,2025-05-17T17:00:36Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.04996,-132.58461,14.57856,5.88337,1.41675,-11.02041,-1.7945,7.87025,-8.51625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-17,13:00:55,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,89.67379,-1.095357,-3.658271,2245.03473,240.984227,02:00:00,5.84908,1.721,5.39347,-24.23261,11.33296,18.32946,2.80092,-0.18474,81.754,-5.586788,-0.405202,0.429226,-10.27091,6.34776,-1.40752,50,5.73428,7.484,-129.927,-3.35802,-17.52596,27.67035,-21.34242,1403ec2f-83ff-4828-8f99-d4c78616f31e,NA,NA,NA,NA,-0.812661,831009,"Pacheco, Dylan",1758.920521,NA,97.89452,Right,18.047975,109.97189,32.0771,2.47111,341.73195,330.93981,3.623723,4.769385,0.8972,2.80998,0.18714,NA,NA,NA,NA,NA,2,2,SET_PIR,1,Top,0,1,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,7f952650-3340-11f0-8198-05ded8b5e451,87.81486,40.31574,NA,7.91979,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:00:55,2025-05-17T17:00:55Z,2025-05-17T17:00:55Z,LineDrive,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.107170000000004,-131.01015,13.83517,5.84938,-2.52257,-10.67121,-1.7139,8.17005,-8.76298,213.803491,0.89692,136.50815,-20.93192,4.46889,-0.9983,0.25307,-0.06148,0.00964,-6.3e-4,2.81013,44.47943,-13.53084,0.02607,0.21314,-0.11151,0.03633,-0.0056,3.1e-4,0.18681,-1.92473,6.48738,-2.11592,0.49966,-0.09391,0.01652,-0.00224,1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-05-17,13:01:40,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,91.58867,-0.183276,-1.711115,2370.754133,238.990084,02:00:00,5.83605,1.92281,5.64168,-20.23005,13.53828,20.66765,3.97916,2.0484,83.22529,-3.985896,1.98044,0.418241,-10.89142,7.23933,-1.79047,50,5.80773,3.02056,-132.92257,-1.10587,-19.38787,29.83072,-19.28729,b5576a0c-49ab-4209-9d5b-3bc8884f2001,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SET_PIR,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,9a523e10-3340-11f0-8198-05ded8b5e451,90.12142,NA,NA,8.36338,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:01:40,2025-05-17T17:01:40Z,2025-05-17T17:01:40Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,54.85724,-134.0082,14.91536,5.83521,-0.40394,-9.64365,-1.91324,3.72615,-9.69393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-17,13:02:00,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,90.95579,-0.95925,-3.384969,2183.220641,244.482986,02:15:00,5.89654,1.69421,5.56374,-24.55525,9.77237,18.12714,2.95246,0.03878,82.93616,-5.516328,-0.156074,0.42169,-10.21123,5.53831,-1.41439,50,5.79754,7.00306,-131.87829,-3.09006,-17.93885,28.68945,-22.44446,f11304a7-f488-4e69-9a7c-91b4233549fb,NA,NA,NA,NA,-156.99792,831004,"Soldra, AJ",2835.253893,NA,75.9354,Left,30.87241,NA,NA,NA,NA,37.98946,NA,NA,1.63457,2.88278,0.06422,NA,NA,NA,NA,NA,3,2,SET_PIR,1,Top,1,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,a686eff0-3340-11f0-8198-05ded8b5e451,89.38424,21.42092,NA,8.01963,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:02:00,2025-05-17T17:02:00Z,2025-05-17T17:02:00Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,54.93784,-132.94816,14.34473,5.89716,-2.25308,-11.22223,-1.68802,7.67202,-8.96943,25.95175,1.63761,-88.0898,6.81493,NA,NA,NA,NA,NA,NA,2.90522,56.44839,-31.62732,NA,NA,NA,NA,NA,NA,0.05615,-37.10274,8.79508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
8,2025-05-17,13:02:23,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Curveball,NA,NA,80.95891,1.406722,-0.923734,2323.307577,181.163811,12:00:00,5.79972,1.9345,5.1309,-39.9653,4.24296,0.05591,3.79454,1.06913,73.50996,-5.907236,-0.913841,0.478545,-0.30449,2.15725,-1.84785,50,5.90118,1.88942,-117.33226,1.45065,-0.42127,23.75618,-29.18932,9b3edf42-68a5-41c2-a1b3-07f5f43b7a69,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SET_PIR,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,b3eb9650-3340-11f0-8198-05ded8b5e451,78.7646,NA,NA,7.44895,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:02:23,2025-05-17T17:02:23Z,2025-05-17T17:02:23Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.36645,-118.41381,11.87809,5.80488,2.77956,-14.59466,-1.93431,1.9086,-0.21063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-17,13:02:43,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,90.78243,-0.244717,-1.952791,2224.948507,236.457251,02:00:00,5.84203,1.69149,5.71071,-24.18178,10.13788,13.56702,3.59875,1.00202,82.48014,-4.759915,0.473378,0.421641,-7.44449,5.56721,-1.53636,50,5.80669,3.885,-131.72389,-1.40269,-13.00291,29.51742,-22.4501,32e2c881-e50d-4e04-9857-f7ffa565299b,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,SET_PIR,1,Top,1,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,bfffc7e0-3340-11f0-8198-05ded8b5e451,89.39457,NA,NA,8.30229,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:02:43,2025-05-17T17:02:43Z,2025-05-17T17:02:43Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,54.78791,-132.79245,14.75871,5.84275,-0.58997,-11.22505,-1.68552,4.35572,-6.50146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-17,13:03:02,"McCollough, Luke",1000259842,Right,VIL_WIL,Undefined,Fastball,NA,NA,89.91188,0.203848,-1.578673,2227.277275,232.579781,01:45:00,5.93305,1.66976,5.44207,-23.90033,11.4856,13.45288,4.13231,1.31226,81.52327,-4.251162,0.815232,0.428141,-7.195,6.0704,-1.53954,50,5.9349,2.97429,-130.39702,-0.38304,-12.30255,29.18773,-21.79441,b4618cd2-1dbb-4c1f-a17f-44be04e3d8e9,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,SET_PIR,1,Top,1,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,VIL_WIL,SET_PIR,Villanova,D1,BEAST,20250517-Villanova-1,cb5d2c90-3340-11f0-8198-05ded8b5e451,88.0375,NA,NA,8.38861,NA,NA,NA,f623ece2-c87e-42a4-ba61-49c796f29d92,2025-05-17,17:03:02,2025-05-17T17:03:02Z,2025-05-17T17:03:02Z,NA,v3,471478,471438,17 May 2025 13:00-setonhall@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,55.0556,-131.52379,14.59387,5.93345,0.45831,-10.89721,-1.66353,3.44922,-6.15127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
