PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-31,19:07:38,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,91.85223,-0.820382,-1.610792,2292.429884,209.350194,01:00:00,5.70409,2.66939,5.76808,-13.93331,19.69722,10.41067,3.77916,2.0375,82.89212,-3.518402,0.252581,0.417386,-5.74886,10.58867,-2.54227,50,5.62785,3.26846,-133.18938,-2.28323,-10.21177,31.5767,-13.36522,97538ecc-403c-4ea7-9dd2-48a055ad33aa,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BRY_BUL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,9f243d10-1fa2-11ef-ade2-a95211ef97af,90.30585,NA,NA,8.96011,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:07:38,2024-05-31T23:07:38Z,2024-05-31T23:07:38Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.72626,-134.30521,15.78835,5.70019,-1.81094,-6.68261,-2.66415,3.62932,-5.10589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2024-05-31,19:07:55,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,91.69916,-3.19686,-3.792966,2288.839241,207.342074,01:00:00,5.6744,2.53145,5.77188,-14.01961,20.15946,9.74607,1.52158,-0.19114,82.29834,-5.913766,-2.053332,0.420777,-6.25894,11.73205,-2.22371,50,5.40138,8.35416,-132.48939,-7.79984,-10.91236,33.35451,-11.71944,b47d580d-a56b-4868-a151-c195cd2868c7,NA,NA,NA,NA,-155.38287,1000240490,"Zyons, Zac",3943.439697,NA,79.39486,Left,54.708828,NA,NA,NA,NA,39.45507,NA,NA,3.09464,1.43683,0.23636,NA,NA,NA,NA,NA,1,2,BRY_BUL,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,a943a380-1fa2-11ef-ade2-a95211ef97af,89.57825,49.2876,NA,9.40082,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:07:55,2024-05-31T23:07:55Z,2024-05-31T23:07:55Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.72441,-133.67348,16.67725,5.67089,-7.3838,-5.85972,-2.52716,8.74155,-5.45618,358.348203,3.09464,-61.15988,1.17144,1.85063,-0.74171,0.23765,-0.0637,0.01511,-0.00212,1.43683,95.046,-35.26704,5.68972,-1.25321,0.24885,-0.04787,0.00838,-7.6e-4,0.23636,-28.0233,0.0362,1.17321,-0.44386,0.13832,-0.03686,0.00885,-0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2024-05-31,19:08:19,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,91.11515,-0.886711,-3.600503,2288.992727,200.6006,12:45:00,5.7015,2.4996,5.88103,-13.91705,20.23887,7.15067,3.71659,-0.25256,82.14328,-3.589818,-2.321628,0.420634,-4.73894,10.92981,-2.21252,50,5.62168,7.97916,-131.91691,-2.40124,-8.25402,31.09459,-13.13717,ee079b68-d2a6-4a6f-9c7a-e7c88d6aa905,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BRY_BUL,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,b7c5eee0-1fa2-11ef-ade2-a95211ef97af,89.6086,NA,NA,8.97187,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:08:19,2024-05-31T23:08:19Z,2024-05-31T23:08:19Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.61278,-132.99976,15.5473,5.69733,-1.94375,-6.56858,-2.49539,8.2666,-4.12701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2024-05-31,19:08:37,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,90.83956,-0.897126,-4.360002,2294.010229,207.925922,01:00:00,5.62378,2.60064,6.08937,-16.18556,17.80682,8.82178,3.44264,-0.70511,82.277,-4.005953,-2.778242,0.419626,-5.81355,9.76359,-2.26828,50,5.54573,9.64682,-131.51915,-2.50814,-10.10993,29.7528,-15.19492,d673b7e0-9f97-44ab-9fb5-4757b7d3897b,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BRY_BUL,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,c2655ac0-1fa2-11ef-ade2-a95211ef97af,89.82391,NA,NA,8.56256,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:08:37,2024-05-31T23:08:37Z,2024-05-31T23:08:37Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.40589,-132.51212,14.8764,5.62097,-2.00102,-7.59746,-2.59586,9.98423,-5.05496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2024-05-31,19:08:56,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,90.70644,-2.442175,-2.359032,2275.208831,198.190186,12:30:00,5.82081,2.29345,6.03386,-14.8567,19.43332,5.9765,2.31803,0.60582,81.83854,-5.315604,-1.284722,0.421459,-3.73595,11.02835,-2.11191,50,5.62138,5.13705,-131.33599,-5.97612,-6.4462,30.96701,-13.14515,32b61a6f-c5c0-4afe-a75a-b179a0ecf82e,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,BRY_BUL,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,cd68dfa0-1fa2-11ef-ade2-a95211ef97af,89.43324,NA,NA,8.8679,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:08:56,2024-05-31T23:08:56Z,2024-05-31T23:08:56Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.45663,-132.38262,15.4835,5.81586,-5.53183,-6.57258,-2.28922,5.35492,-3.2231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2024-05-31,19:09:22,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,90.89354,-3.483669,-2.767179,2299.482708,207.470947,01:00:00,5.72956,2.57108,5.89716,-14.73087,19.71536,9.58575,1.26006,0.79891,81.95567,-6.323934,-1.048903,0.422418,-5.75819,11.54946,-2.35367,50,5.44029,5.93011,-131.46513,-8.40548,-9.9311,31.64412,-12.25474,6a0c5eee-bc66-436d-a5b8-e2f85682b11b,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,BRY_BUL,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,dd3fbe80-1fa2-11ef-ade2-a95211ef97af,89.23024,NA,NA,8.93787,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:09:22,2024-05-31T23:09:22Z,2024-05-31T23:09:22Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.597410000000004,-132.56712,15.82206,5.72558,-7.97871,-6.12737,-2.5662,6.27595,-4.96555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2024-05-31,19:09:57,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,90.50285,-2.844149,-2.503405,2325.891065,205.872966,12:45:00,5.69828,2.52074,5.90293,-15.31501,19.40344,8.78414,1.77718,0.92742,81.50071,-5.797031,-0.928239,0.424084,-5.28851,11.21075,-2.32444,50,5.46075,5.34266,-130.99915,-6.92929,-9.04414,31.76739,-13.00199,b40e6a14-838a-4f2f-bc23-18fd9a1fdab7,NA,NA,NA,NA,NA,1000156051,"Noriega, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BRY_BUL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,f1b15b30-1fa2-11ef-ade2-a95211ef97af,88.87973,NA,NA,9.00213,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:09:57,2024-05-31T23:09:57Z,2024-05-31T23:09:57Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.59187,-132.10799,15.88369,5.6947,-6.47546,-6.501,-2.51644,5.65834,-4.52207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2024-05-31,19:10:17,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,91.61953,-1.906774,-2.6633,2342.031547,211.586503,01:00:00,5.67254,2.41005,5.64254,-16.00343,18.16761,10.39567,2.55766,0.79018,82.43545,-4.971609,-0.808512,0.420727,-6.00166,10.10741,-2.18995,50,5.5003,5.66844,-132.57778,-4.88409,-10.53262,32.04328,-14.43603,8dc298de-50dc-40be-850f-42a598f04596,NA,NA,NA,NA,-171.888463,1000156051,"Noriega, Gavin",1023.828604,NA,75.54023,Right,13.973777,NA,NA,NA,NA,49.5398,NA,NA,3.13232,2.22684,-0.61941,NA,NA,NA,NA,NA,2,2,BRY_BUL,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,fdb930b0-1fa2-11ef-ade2-a95211ef97af,89.58883,11.07374,NA,9.18408,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:10:17,2024-05-31T23:10:17Z,2024-05-31T23:10:17Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.8486,-133.74453,16.02164,5.66856,-4.35845,-7.21802,-2.40333,6.05195,-5.26631,286.044009,3.13232,-106.43779,11.05515,-0.89761,0.4285,-1.07941,2.35722,-2.66448,1.21691,2.22684,26.7539,-19.37102,1.70099,-1.06689,4.12858,-9.51659,11.02354,-5.11572,-0.61941,-15.17018,-0.16515,0.24435,-0.49675,2.33888,-5.46369,6.34376,-2.94739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2024-05-31,19:10:44,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,92.13758,-1.382791,-3.826959,2387.706011,209.95434,01:00:00,5.73895,2.44353,5.88147,-14.18103,19.07351,10.3354,3.26994,-0.25439,83.4844,-4.117114,-1.97862,0.415047,-6.45244,10.51949,-2.14029,50,5.61907,8.4782,-133.46532,-3.62587,-11.55357,30.68506,-13.33816,a86e5ca5-90bc-4fe8-b364-6e81d4d675ac,NA,NA,NA,NA,-140.32698,1000156051,"Noriega, Gavin",4487.163172,NA,64.76941,Right,62.780777,NA,NA,NA,NA,25.50527,NA,NA,1.99092,3.22793,0.27328,NA,NA,NA,NA,NA,2,3,BRY_BUL,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,0e4aad00-1fa3-11ef-ade2-a95211ef97af,90.81491,45.16845,NA,8.65318,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:10:44,2024-05-31T23:10:44Z,2024-05-31T23:10:44Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.61604,-134.52241,15.34253,5.73606,-3.16637,-6.66908,-2.43922,8.87621,-5.77678,14.994221,1.99092,-33.444,-3.84353,2.33537,-1.66666,5.71942,-12.20258,12.52295,-5.03311,3.22793,84.47541,-30.11955,4.03441,-1.44286,3.36681,-6.80672,6.83464,-2.71272,0.27328,-27.73898,3.17093,-0.14609,-0.16282,0.72435,-1.61953,1.70523,-0.69566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2024-05-31,19:11:10,"Highfill, Sam",1000036984,Right,NOR_WOL,Undefined,Fastball,NA,NA,92.39859,-0.226105,-3.027511,2271.546984,196.781261,12:30:00,5.68608,2.52436,6.01184,-12.22209,20.83773,5.92752,4.45782,0.21109,83.1265,-2.631138,-1.963842,0.41383,-3.9852,11.08138,-2.28975,50,5.66153,6.81676,-133.8832,-0.81181,-7.13348,32.63035,-12.33842,473a7182-16f4-443b-b811-3ed605b175d2,NA,NA,NA,NA,NA,1000156051,"Noriega, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,BRY_BUL,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,BRY_BUL,DoakField,D1,ACC,20240531-DoakField-2,1d7609a0-1fa3-11ef-ade2-a95211ef97af,91.082,NA,NA,9.27208,NA,NA,NA,46b10928-81fb-479e-8d6b-fdd3148de1e5,2024-05-31,23:11:10,2024-05-31T23:11:10Z,2024-05-31T23:11:10Z,NA,v3,471387,471248,31 May 2024 19:00-bryant@ncstate,"Cozart, Jacob",695524,Right,NOR_WOL,54.48241,-134.97124,16.31518,5.68174,-0.4004,-6.16921,-2.52101,7.05462,-3.56674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
